class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Graph,getAllEdges(sourceVertex targetVertex),ConditionKind.PARAM,sourceVertex,ConditionKind.PARAM,sourceVertex,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
Graph,getAllEdges(sourceVertex targetVertex),ConditionKind.PARAM,targetVertex,ConditionKind.PARAM,targetVertex,,assert (args[1]==null) == false;,AssertionRelation.UNEXPECTED,
Graph,getAllEdges(sourceVertex targetVertex),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Graph,getEdge(sourceVertex targetVertex),ConditionKind.PARAM,sourceVertex,ConditionKind.PARAM,sourceVertex,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
Graph,getEdge(sourceVertex targetVertex),ConditionKind.PARAM,targetVertex,ConditionKind.PARAM,targetVertex,,assert (args[1]==null) == false;,AssertionRelation.UNEXPECTED,
Graph,getEdge(sourceVertex targetVertex),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert (methodResultID == null) == (args[0] == null || args[1] == null || !receiverObjectID.containsEdge(args[0], args[1]));",AssertionRelation.UNEXPECTED,
Graph,getEdgeFactory(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
Graph,addEdge(sourceVertex targetVertex),ConditionKind.PARAM,sourceVertex,ConditionKind.PARAM,sourceVertex,,,AssertionRelation.EMPTY,
Graph,addEdge(sourceVertex targetVertex),ConditionKind.PARAM,targetVertex,ConditionKind.PARAM,targetVertex,,,AssertionRelation.EMPTY,
Graph,addEdge(sourceVertex targetVertex),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert receiverObjectID.contains(arg[0])==false || receiverObjectID.contains(arg[1])==false;,assert !receiverObjectID.containsVertex(args[0]) || !receiverObjectID.containsVertex(args[1]);,AssertionRelation.INCOMPARABLE,
Graph,addEdge(sourceVertex targetVertex),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null || args[1]==null;,assert args[0]==null || args[1]==null;,AssertionRelation.IDENTICAL,
Graph,addEdge(sourceVertex targetVertex),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Graph,addEdge(sourceVertex targetVertex e),ConditionKind.PARAM,sourceVertex,ConditionKind.PARAM,sourceVertex,,assert sourceVertex != null;,AssertionRelation.UNEXPECTED,
Graph,addEdge(sourceVertex targetVertex e),ConditionKind.PARAM,targetVertex,ConditionKind.PARAM,targetVertex,,assert targetVertex != null;,AssertionRelation.UNEXPECTED,
Graph,addEdge(sourceVertex targetVertex e),ConditionKind.PARAM,e,ConditionKind.PARAM,e,,assert e != null;,AssertionRelation.UNEXPECTED,
Graph,addEdge(sourceVertex targetVertex e),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert receiverObjectID.contains(arg[0])==false || receiverObjectID.contains(arg[1])==false;,assert !receiverObjectID.containsVertex(args[0]) || !receiverObjectID.containsVertex(args[1]);,AssertionRelation.INCOMPARABLE,
Graph,addEdge(sourceVertex targetVertex e),ConditionKind.THROWS,ClassCastException,ConditionKind.THROWS,ClassCastException,,assert !(e.getClass() == receiverObjectID.getEdgeFactory().getClass());,AssertionRelation.UNEXPECTED,
Graph,addEdge(sourceVertex targetVertex e),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null || args[1]==null;,assert args[0] == null || args[1] == null || args[2] == null;,AssertionRelation.STRONGER,
Graph,addEdge(sourceVertex targetVertex e),ConditionKind.RETURN,,ConditionKind.RETURN,,"assert (receiverObjectID.containsEdge(args[0],args[1]))==false?methodResultID==true:methodResultID==false;",assert methodResult == !containsEdge(e);,AssertionRelation.INCOMPARABLE,
Graph,addVertex(v),ConditionKind.PARAM,v,ConditionKind.PARAM,v,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
Graph,addVertex(v),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
