class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Graphs,addEdge(g sourceVertex targetVertex weight),ConditionKind.PARAM,g,ConditionKind.PARAM,g,,assert g != null;,AssertionRelation.UNEXPECTED,
Graphs,addEdge(g sourceVertex targetVertex weight),ConditionKind.PARAM,sourceVertex,ConditionKind.PARAM,sourceVertex,,assert sourceVertex != null;,AssertionRelation.UNEXPECTED,
Graphs,addEdge(g sourceVertex targetVertex weight),ConditionKind.PARAM,targetVertex,ConditionKind.PARAM,targetVertex,,assert targetVertex != null;,AssertionRelation.UNEXPECTED,
Graphs,addEdge(g sourceVertex targetVertex weight),ConditionKind.PARAM,weight,ConditionKind.PARAM,weight,,assert !Double.isNaN(weight) && weight >= 0;,AssertionRelation.UNEXPECTED,
Graphs,addEdge(g sourceVertex targetVertex weight),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert (methodResultID != null) == !g.containsEdge(sourceVertex, targetVertex);",AssertionRelation.UNEXPECTED,
Graphs,addEdgeWithVertices(g sourceVertex targetVertex),ConditionKind.PARAM,g,ConditionKind.PARAM,g,,assert (args[0] != null);,AssertionRelation.UNEXPECTED,
Graphs,addEdgeWithVertices(g sourceVertex targetVertex),ConditionKind.PARAM,sourceVertex,ConditionKind.PARAM,sourceVertex,,assert (args[1] != null);,AssertionRelation.UNEXPECTED,
Graphs,addEdgeWithVertices(g sourceVertex targetVertex),ConditionKind.PARAM,targetVertex,ConditionKind.PARAM,targetVertex,,assert (args[2] != null);,AssertionRelation.UNEXPECTED,
Graphs,addEdgeWithVertices(g sourceVertex targetVertex),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert (methodResultID != null) == !(g.containsVertex(sourceVertex) && g.containsVertex(targetVertex) && !g.addEdge(sourceVertex, targetVertex));",AssertionRelation.UNEXPECTED,
Graphs,addEdgeWithVertices(targetGraph sourceGraph edge),ConditionKind.PARAM,targetGraph,ConditionKind.PARAM,targetGraph,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
Graphs,addEdgeWithVertices(targetGraph sourceGraph edge),ConditionKind.PARAM,sourceGraph,ConditionKind.PARAM,sourceGraph,,assert (args[1]==null) == false;,AssertionRelation.UNEXPECTED,
Graphs,addEdgeWithVertices(targetGraph sourceGraph edge),ConditionKind.PARAM,edge,ConditionKind.PARAM,edge,,assert (args[2]==null) == false;,AssertionRelation.UNEXPECTED,
Graphs,addEdgeWithVertices(targetGraph sourceGraph edge),ConditionKind.RETURN,,ConditionKind.RETURN,,assert (args[0]==null)==false && (args[0].containsEdge(args[2]))==false?methodResultID==true:methodResultID==false;,assert methodResult == !targetGraph.containsEdge(edge);,AssertionRelation.INCOMPARABLE,
Graphs,addEdgeWithVertices(g sourceVertex targetVertex weight),ConditionKind.PARAM,g,ConditionKind.PARAM,g,,assert g != null;,AssertionRelation.UNEXPECTED,
Graphs,addEdgeWithVertices(g sourceVertex targetVertex weight),ConditionKind.PARAM,sourceVertex,ConditionKind.PARAM,sourceVertex,,assert sourceVertex != null;,AssertionRelation.UNEXPECTED,
Graphs,addEdgeWithVertices(g sourceVertex targetVertex weight),ConditionKind.PARAM,targetVertex,ConditionKind.PARAM,targetVertex,,assert targetVertex != null;,AssertionRelation.UNEXPECTED,
Graphs,addEdgeWithVertices(g sourceVertex targetVertex weight),ConditionKind.PARAM,weight,ConditionKind.PARAM,weight,,assert !Double.isNaN(weight) && !Double.isInfinite(weight);,AssertionRelation.UNEXPECTED,
Graphs,addEdgeWithVertices(g sourceVertex targetVertex weight),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert (methodResultID != null) == !g.containsEdge(sourceVertex, targetVertex);",AssertionRelation.UNEXPECTED,
Graphs,addGraph(destination source),ConditionKind.PARAM,destination,ConditionKind.PARAM,destination,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
Graphs,addGraph(destination source),ConditionKind.PARAM,source,ConditionKind.PARAM,source,,assert (args[1]==null) == false;,AssertionRelation.UNEXPECTED,
Graphs,addGraph(destination source),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResult == (args[0].getVertexSet().size() != originalVerticesSize || args[0].getEdgeSet().size() != originalEdgesSize);,AssertionRelation.UNEXPECTED,
Graphs,addGraphReversed(destination source),ConditionKind.PARAM,destination,ConditionKind.PARAM,destination,,assert (args[0]==null) == false;,AssertionRelation.UNEXPECTED,
Graphs,addGraphReversed(destination source),ConditionKind.PARAM,source,ConditionKind.PARAM,source,,assert (args[1]==null) == false;,AssertionRelation.UNEXPECTED,
Graphs,addAllEdges(destination source edges),ConditionKind.PARAM,destination,ConditionKind.PARAM,destination,,,AssertionRelation.EMPTY,
Graphs,addAllEdges(destination source edges),ConditionKind.PARAM,source,ConditionKind.PARAM,source,,,AssertionRelation.EMPTY,
Graphs,addAllEdges(destination source edges),ConditionKind.PARAM,edges,ConditionKind.PARAM,edges,,,AssertionRelation.EMPTY,
