class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
AbstractPathElementList,AbstractPathElementList(graph maxSize elementList edge),ConditionKind.PARAM,maxSize,ConditionKind.PARAM,maxSize,,assert args[1] >= 0;,AssertionRelation.UNEXPECTED,
AbstractPathElementList,AbstractPathElementList(graph maxSize elementList edge),ConditionKind.PARAM,elementList,ConditionKind.PARAM,elementList,,assert (args[2]==null) == false;,AssertionRelation.UNEXPECTED,
AbstractPathElementList,AbstractPathElementList(graph maxSize elementList edge),ConditionKind.PARAM,edge,ConditionKind.PARAM,edge,,assert (args[3]==null) == false;,AssertionRelation.UNEXPECTED,
AbstractPathElementList,AbstractPathElementList(graph maxSize elementList edge),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[2]==null || args[3]==null;,assert args[2]==null || args[3]==null;,AssertionRelation.IDENTICAL,
AbstractPathElementList,AbstractPathElementList(graph maxSize elementList edge),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[1]<0 || args[1]==0;,assert args[1] <= 0;,AssertionRelation.EQUIVALENT,
AbstractPathElementList,AbstractPathElementList(graph maxSize pathElement),ConditionKind.PARAM,maxSize,ConditionKind.PARAM,maxSize,,,AssertionRelation.EMPTY,
AbstractPathElementList,AbstractPathElementList(graph maxSize pathElement),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[2]==null;,assert args[2]==null;,AssertionRelation.IDENTICAL,
AbstractPathElementList,AbstractPathElementList(graph maxSize pathElement),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[1]<0 || args[1]==0;,assert args[1] <= 0;,AssertionRelation.EQUIVALENT,
AbstractPathElementList,AbstractPathElementList(graph maxSize pathElement),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,assert !receiverObjectID.getVertex().equals(args[2]);,AssertionRelation.UNEXPECTED,
AbstractPathElementList,AbstractPathElementList(graph maxSize vertex),ConditionKind.PARAM,maxSize,ConditionKind.PARAM,maxSize,,assert args[1] >= 0;,AssertionRelation.UNEXPECTED,
AbstractPathElementList,AbstractPathElementList(graph maxSize vertex),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[1]<0 || args[1]==0;,assert args[1] <= 0;,AssertionRelation.EQUIVALENT,
