class_fqn,param_precision,param_recall,return_precision,return_recall,throws_precision,throws_recall,overall_precision,overall_recall,overall_f1
ArraysMDE,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
EntryReader,0.02564102564102564,0.5,0.0,,0.0,,0.017857142857142856,0.5,
FuzzyFloat,0.0,,0.0,0.0,,,0.0,0.0,
MathMDE,0.0,0.0,0.0,0.0,,,0.0,0.0,
RegexUtil,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
StrTok,0.0,,0.0,,,,0.0,,
TimeLimitProcess,0.0,0.0,0.0,,,,0.0,0.0,
UtilMDE,0.0,,0.0,0.0,0.0,,0.0,0.0,
WeakHasherMap,0.0,,0.0,,1.0,1.0,0.15384615384615385,1.0,
WeakIdentityHashMap,0.0,,0.0,0.0,1.0,1.0,0.16666666666666666,0.8,
