"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"ArraysMDE","min(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert (args[0].length > 0);","AssertionRelation.UNEXPECTED",""
"ArraysMDE","min(a)","ConditionKind.THROWS","ArrayIndexOutOfBoundsException","ConditionKind.THROWS","ArrayIndexOutOfBoundsException","assert args[0]!=null && args[0].length==0;","assert args[0].length == 0;","AssertionRelation.STRONGER",""
"ArraysMDE","min(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.min(args[0]);","AssertionRelation.UNEXPECTED",""
"ArraysMDE","min(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert (args[0].length > 0);","AssertionRelation.UNEXPECTED",""
"ArraysMDE","min(a)","ConditionKind.THROWS","ArrayIndexOutOfBoundsException","ConditionKind.THROWS","ArrayIndexOutOfBoundsException","assert args[0]!=null && args[0].length==0;","assert args[0].length == 0;","AssertionRelation.STRONGER",""
"ArraysMDE","min(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == Arrays.stream(args[0]).min().getAsLong();","AssertionRelation.UNEXPECTED",""
"ArraysMDE","min(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert (args[0].length > 0);","AssertionRelation.UNEXPECTED",""
"ArraysMDE","min(a)","ConditionKind.THROWS","ArrayIndexOutOfBoundsException","ConditionKind.THROWS","ArrayIndexOutOfBoundsException","assert args[0]!=null && args[0].length==0;","assert args[0].length == 0;","AssertionRelation.STRONGER",""
"ArraysMDE","min(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == Arrays.stream(args[0]).min().getAsDouble();","AssertionRelation.UNEXPECTED",""
"ArraysMDE","min(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"ArraysMDE","min(a)","ConditionKind.THROWS","ArrayIndexOutOfBoundsException","ConditionKind.THROWS","ArrayIndexOutOfBoundsException","assert args[0]!=null && args[0].length==0;","assert args[0].length == 0;","AssertionRelation.STRONGER",""
"ArraysMDE","min(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.min(args[0]);","AssertionRelation.UNEXPECTED",""
