"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"WeakIdentityHashMap","WeakIdentityHashMap(initialCapacity loadFactor)","ConditionKind.PARAM","initialCapacity","ConditionKind.PARAM","initialCapacity","","assert args[0] >= 0;","AssertionRelation.UNEXPECTED",""
"WeakIdentityHashMap","WeakIdentityHashMap(initialCapacity loadFactor)","ConditionKind.PARAM","loadFactor","ConditionKind.PARAM","loadFactor","","assert args[1] > 0;","AssertionRelation.UNEXPECTED",""
"WeakIdentityHashMap","WeakIdentityHashMap(initialCapacity loadFactor)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[0]<0 || args[1]<=0;","assert args[0] < 0 || args[1] <= 0;","AssertionRelation.IDENTICAL",""
"WeakIdentityHashMap","WeakIdentityHashMap(initialCapacity)","ConditionKind.PARAM","initialCapacity","ConditionKind.PARAM","initialCapacity","","assert args[0] >= 0;","AssertionRelation.UNEXPECTED",""
"WeakIdentityHashMap","WeakIdentityHashMap(initialCapacity)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[0]<0;","assert args[0] < 0;","AssertionRelation.IDENTICAL",""
"WeakIdentityHashMap","WeakIdentityHashMap(t)","ConditionKind.PARAM","t","ConditionKind.PARAM","t","","assert (args[0]==null) == false;","AssertionRelation.UNEXPECTED",""
"WeakIdentityHashMap","WeakIdentityHashMap(t)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0]==null;","AssertionRelation.IDENTICAL",""
"WeakIdentityHashMap","get(key)","ConditionKind.PARAM","key","ConditionKind.PARAM","key","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"WeakIdentityHashMap","get(key)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert receiverObjectID.containsKey(args[0])==false ? methodResultID==null;","assert methodResultID == (receiverObjectID.containsKey(args[0]) ? receiverObjectID.getEntry(args[0]) : null);","AssertionRelation.UNSUPPORTED","Error during parsing: Unexpected end"
"WeakIdentityHashMap","containsKey(key)","ConditionKind.PARAM","key","ConditionKind.PARAM","key","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"WeakIdentityHashMap","containsKey(key)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.containsKey(args[0]);","AssertionRelation.UNEXPECTED",""
"WeakIdentityHashMap","put(key value)","ConditionKind.PARAM","key","ConditionKind.PARAM","key","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"WeakIdentityHashMap","put(key value)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"WeakIdentityHashMap","put(key value)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == null ? !receiverObjectID.containsKey(args[0]) : receiverObjectID.get(args[0]) == methodResultID;","AssertionRelation.UNEXPECTED",""
"WeakIdentityHashMap","resize(newCapacity)","ConditionKind.PARAM","newCapacity","ConditionKind.PARAM","newCapacity","","assert ((args[0] & (args[0] - 1)) == 0) && (args[0] > size() || size() == MAXIMUM_CAPACITY);","AssertionRelation.UNEXPECTED",""
"WeakIdentityHashMap","putAll(m)","ConditionKind.PARAM","m","ConditionKind.PARAM","m","","assert (args[0]==null) == false;","AssertionRelation.UNEXPECTED",""
"WeakIdentityHashMap","putAll(m)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0]==null;","AssertionRelation.IDENTICAL",""
"WeakIdentityHashMap","remove(key)","ConditionKind.PARAM","key","ConditionKind.PARAM","key","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"WeakIdentityHashMap","remove(key)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null == receiverObjectID.containsKey(args[0]);","AssertionRelation.UNEXPECTED",""
"WeakIdentityHashMap","containsValue(value)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"WeakIdentityHashMap","containsValue(value)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.containsValue(args[0]);","AssertionRelation.UNEXPECTED",""
"WeakIdentityHashMap","keySet()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"WeakIdentityHashMap","values()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"WeakIdentityHashMap","entrySet()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
