"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"CollectionUtils","emptyCollection()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID.equals(receiverObjectID.EMPTY_COLLECTION);","assert methodResultID.isEmpty(receiverObjectID.emptyCollection());","AssertionRelation.INCOMPARABLE",""
"CollectionUtils","emptyIfNull(collection)","ConditionKind.PARAM","collection","ConditionKind.PARAM","collection","","assert args[0] == null || true;","AssertionRelation.UNEXPECTED",""
"CollectionUtils","emptyIfNull(collection)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert args[0]==null ? methodResultID.equals(org.apache.commons.collections4.CollectionUtils.emptyCollection());","assert (args[0] == null && methodResult.isEmpty()) || args[0] == methodResult;","AssertionRelation.UNSUPPORTED","sort mismatch"
"CollectionUtils","union(a b)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","assert (args[0]==null) == false;","assert (args[0] == null) == false;","AssertionRelation.IDENTICAL",""
"CollectionUtils","union(a b)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","assert (args[1]==null) == false;","assert (args[1] == null) == false;","AssertionRelation.IDENTICAL",""
"CollectionUtils","union(a b)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.size() == args[0].size() + args[1].size();","AssertionRelation.UNEXPECTED",""
"CollectionUtils","intersection(a b)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","assert (args[0]==null) == false;","assert (args[0] == null) == false;","AssertionRelation.IDENTICAL",""
"CollectionUtils","intersection(a b)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","assert (args[1]==null) == false;","assert (args[1] == null) == false;","AssertionRelation.IDENTICAL",""
"CollectionUtils","intersection(a b)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.size() == a.size() && methodResultID.containsAll(a) && methodResultID.containsAll(b);","AssertionRelation.UNEXPECTED",""
"CollectionUtils","disjunction(a b)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","assert (args[0]==null) == false;","assert args[0] != null;","AssertionRelation.EQUIVALENT",""
"CollectionUtils","disjunction(a b)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","assert (args[1]==null) == false;","assert args[1] != null;","AssertionRelation.EQUIVALENT",""
"CollectionUtils","disjunction(a b)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"CollectionUtils","subtract(a b)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","assert (args[0]==null) == false;","assert args[0] != null;","AssertionRelation.EQUIVALENT",""
"CollectionUtils","subtract(a b)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","assert (args[1]==null) == false;","assert args[1] != null;","AssertionRelation.EQUIVALENT",""
"CollectionUtils","subtract(a b)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"CollectionUtils","subtract(a b p)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","assert (args[0]==null) == false;","assert args[0] != null;","AssertionRelation.EQUIVALENT",""
"CollectionUtils","subtract(a b p)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","assert (args[1]==null) == false;","assert args[1] != null;","AssertionRelation.EQUIVALENT",""
"CollectionUtils","subtract(a b p)","ConditionKind.PARAM","p","ConditionKind.PARAM","p","","assert args[2] != null;","AssertionRelation.UNEXPECTED",""
"CollectionUtils","subtract(a b p)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.size() == args[0].size();","AssertionRelation.UNEXPECTED",""
"CollectionUtils","containsAll(coll1 coll2)","ConditionKind.PARAM","coll1","ConditionKind.PARAM","coll1","assert (args[0]==null) == false;","assert args[0] != null;","AssertionRelation.EQUIVALENT",""
"CollectionUtils","containsAll(coll1 coll2)","ConditionKind.PARAM","coll2","ConditionKind.PARAM","coll2","assert (args[1]==null) == false;","assert args[1] != null;","AssertionRelation.EQUIVALENT",""
"CollectionUtils","containsAll(coll1 coll2)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.intersection(args[0], args[1]).cardinality() == new java.util.HashSet(args[1]).size();","AssertionRelation.UNEXPECTED",""
"CollectionUtils","containsAny(coll1 coll2)","ConditionKind.PARAM","coll1","ConditionKind.PARAM","coll1","assert (args[0]==null) == false;","assert (args[0] == null) == false;","AssertionRelation.IDENTICAL",""
"CollectionUtils","containsAny(coll1 coll2)","ConditionKind.PARAM","coll2","ConditionKind.PARAM","coll2","assert (args[1]==null) == false;","assert (args[1] == null) == false;","AssertionRelation.IDENTICAL",""
"CollectionUtils","containsAny(coll1 coll2)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"CollectionUtils","getCardinalityMap(coll)","ConditionKind.PARAM","coll","ConditionKind.PARAM","coll","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"CollectionUtils","getCardinalityMap(coll)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.size() == new java.util.HashSet(args[0]).size();","AssertionRelation.UNEXPECTED",""
"CollectionUtils","isSubCollection(a b)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","assert (args[0]==null) == false;","assert args[0] != null;","AssertionRelation.EQUIVALENT",""
"CollectionUtils","isSubCollection(a b)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","assert (args[1]==null) == false;","assert args[1] != null;","AssertionRelation.EQUIVALENT",""
"CollectionUtils","isSubCollection(a b)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"CollectionUtils","isProperSubCollection(a b)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","assert (args[0]==null) == false;","assert args[0] != null;","AssertionRelation.EQUIVALENT",""
