"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"PredicateUtils","exceptionPredicate()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"PredicateUtils","truePredicate()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.test(null) == true;","AssertionRelation.UNEXPECTED",""
"PredicateUtils","falsePredicate()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert !methodResultID.test(args[0]);","AssertionRelation.UNEXPECTED",""
"PredicateUtils","nullPredicate()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"PredicateUtils","notNullPredicate()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"PredicateUtils","equalPredicate(value)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"PredicateUtils","equalPredicate(value)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(new EqualPredicate(args[0]));","AssertionRelation.UNEXPECTED",""
"PredicateUtils","identityPredicate(value)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"PredicateUtils","identityPredicate(value)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.test(args[0]) == (args[0] == args[1]);","AssertionRelation.UNEXPECTED",""
"PredicateUtils","instanceofPredicate(type)","ConditionKind.PARAM","type","ConditionKind.PARAM","type","assert (args[0]==null) == false;","assert (args[0] == null) == false;","AssertionRelation.IDENTICAL",""
"PredicateUtils","instanceofPredicate(type)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0] == null;","AssertionRelation.IDENTICAL",""
"PredicateUtils","instanceofPredicate(type)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"PredicateUtils","uniquePredicate()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"PredicateUtils","invokerPredicate(methodName)","ConditionKind.PARAM","methodName","ConditionKind.PARAM","methodName","assert (args[0]==null) == false;","assert (args[0] == null) == false;","AssertionRelation.IDENTICAL",""
"PredicateUtils","invokerPredicate(methodName)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0] == null;","AssertionRelation.IDENTICAL",""
