"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"AllPredicate","AllPredicate(predicates)","ConditionKind.PARAM","predicates","ConditionKind.PARAM","predicates","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"AllPredicate","allPredicate(predicates)","ConditionKind.PARAM","predicates","ConditionKind.PARAM","predicates","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"AllPredicate","allPredicate(predicates)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0]==null;","AssertionRelation.IDENTICAL",""
"AllPredicate","allPredicate(predicates)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert java.util.Arrays.stream(args[0]).anyMatch(e -> e==null);","assert java.util.Arrays.stream(args[0]).anyMatch(predicate -> predicate == null);","AssertionRelation.EQUIVALENT",""
"AllPredicate","allPredicate(predicates)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(args[0]) || (args[0] == null && methodResultID.evaluate(null));","AssertionRelation.UNEXPECTED",""
"AllPredicate","allPredicate(predicates)","ConditionKind.PARAM","predicates","ConditionKind.PARAM","predicates","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"AllPredicate","allPredicate(predicates)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0] == null;","AssertionRelation.IDENTICAL",""
"AllPredicate","allPredicate(predicates)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0].stream().anyMatch(e -> e==null);","assert ((Collection)args[0]).stream().anyMatch(predicate -> predicate == null);","AssertionRelation.EQUIVALENT",""
"AllPredicate","allPredicate(predicates)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (args[0].size() == 0) || ((args[0].size() == 1) && (methodResultID.equals(args[0].iterator().next()))) || methodResultID.evaluate(receiverObjectID);","AssertionRelation.UNEXPECTED",""
"AllPredicate","evaluate(object)","ConditionKind.PARAM","object","ConditionKind.PARAM","object","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"AllPredicate","evaluate(object)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.allPredicate(None);","AssertionRelation.UNEXPECTED",""
