"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"KeyAnalyzer","bitsPerElement()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID > 0;","AssertionRelation.UNEXPECTED",""
"KeyAnalyzer","lengthInBits(key)","ConditionKind.PARAM","key","ConditionKind.PARAM","key","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"KeyAnalyzer","lengthInBits(key)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID > 0;","AssertionRelation.UNEXPECTED",""
"KeyAnalyzer","isBitSet(key bitIndex lengthInBits)","ConditionKind.PARAM","key","ConditionKind.PARAM","key","assert (args[0]==null) == false;","assert (args[0] == null) == false;","AssertionRelation.IDENTICAL",""
"KeyAnalyzer","isBitSet(key bitIndex lengthInBits)","ConditionKind.PARAM","bitIndex","ConditionKind.PARAM","bitIndex","","assert args[1] instanceof Integer;","AssertionRelation.UNEXPECTED",""
"KeyAnalyzer","isBitSet(key bitIndex lengthInBits)","ConditionKind.PARAM","lengthInBits","ConditionKind.PARAM","lengthInBits","","assert args[2] instanceof Integer;","AssertionRelation.UNEXPECTED",""
"KeyAnalyzer","isBitSet(key bitIndex lengthInBits)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (args[2] > args[1] && ((java.lang.Object)args[0]).toString().charAt(args[1]) == '1');","AssertionRelation.UNEXPECTED",""
"KeyAnalyzer","bitIndex(key offsetInBits lengthInBits other otherOffsetInBits otherLengthInBits)","ConditionKind.PARAM","key","ConditionKind.PARAM","key","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"KeyAnalyzer","bitIndex(key offsetInBits lengthInBits other otherOffsetInBits otherLengthInBits)","ConditionKind.PARAM","offsetInBits","ConditionKind.PARAM","offsetInBits","","assert !receiverObjectID.isOutOfBoundsIndex(args[1]);","AssertionRelation.UNEXPECTED",""
"KeyAnalyzer","bitIndex(key offsetInBits lengthInBits other otherOffsetInBits otherLengthInBits)","ConditionKind.PARAM","lengthInBits","ConditionKind.PARAM","lengthInBits","","assert args[2] > 0;","AssertionRelation.UNEXPECTED",""
"KeyAnalyzer","bitIndex(key offsetInBits lengthInBits other otherOffsetInBits otherLengthInBits)","ConditionKind.PARAM","other","ConditionKind.PARAM","other","","assert args[3] != null;","AssertionRelation.UNEXPECTED",""
"KeyAnalyzer","bitIndex(key offsetInBits lengthInBits other otherOffsetInBits otherLengthInBits)","ConditionKind.PARAM","otherOffsetInBits","ConditionKind.PARAM","otherOffsetInBits","","assert !receiverObjectID.isOutOfBoundsIndex(args[4]);","AssertionRelation.UNEXPECTED",""
"KeyAnalyzer","bitIndex(key offsetInBits lengthInBits other otherOffsetInBits otherLengthInBits)","ConditionKind.PARAM","otherLengthInBits","ConditionKind.PARAM","otherLengthInBits","","assert args[5] > 0;","AssertionRelation.UNEXPECTED",""
"KeyAnalyzer","bitIndex(key offsetInBits lengthInBits other otherOffsetInBits otherLengthInBits)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= 0 && methodResultID < args[2];","AssertionRelation.UNEXPECTED",""
"KeyAnalyzer","isPrefix(prefix offsetInBits lengthInBits key)","ConditionKind.PARAM","prefix","ConditionKind.PARAM","prefix","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"KeyAnalyzer","isPrefix(prefix offsetInBits lengthInBits key)","ConditionKind.PARAM","offsetInBits","ConditionKind.PARAM","offsetInBits","","assert args[1] >= 0;","AssertionRelation.UNEXPECTED",""
"KeyAnalyzer","isPrefix(prefix offsetInBits lengthInBits key)","ConditionKind.PARAM","lengthInBits","ConditionKind.PARAM","lengthInBits","","assert args[2] > 0;","AssertionRelation.UNEXPECTED",""
"KeyAnalyzer","isPrefix(prefix offsetInBits lengthInBits key)","ConditionKind.PARAM","key","ConditionKind.PARAM","key","","assert args[3] != null;","AssertionRelation.UNEXPECTED",""
"KeyAnalyzer","isPrefix(prefix offsetInBits lengthInBits key)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.isPrefix(args[0], args[1], args[2], args[3]);","AssertionRelation.UNEXPECTED",""
