"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"FunctionUtils","compose(f)","ConditionKind.PARAM","f","ConditionKind.PARAM","f","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"FunctionUtils","compose(f)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.compose(args[0]));","AssertionRelation.UNEXPECTED",""
"FunctionUtils","compose(f)","ConditionKind.PARAM","f","ConditionKind.PARAM","f","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"FunctionUtils","compose(f)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.compose(args[0]));","AssertionRelation.UNEXPECTED",""
"FunctionUtils","compose(f)","ConditionKind.PARAM","f","ConditionKind.PARAM","f","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"FunctionUtils","compose(f)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.compose(args[0]);","AssertionRelation.UNEXPECTED",""
"FunctionUtils","add(f)","ConditionKind.PARAM","f","ConditionKind.PARAM","f","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"FunctionUtils","add(f)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.add(args[0]));","AssertionRelation.UNEXPECTED",""
"FunctionUtils","add(f)","ConditionKind.PARAM","f","ConditionKind.PARAM","f","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"FunctionUtils","add(f)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.add(args[0]));","AssertionRelation.UNEXPECTED",""
"FunctionUtils","add(f)","ConditionKind.PARAM","f","ConditionKind.PARAM","f","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"FunctionUtils","add(f)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.add(args[0]));","AssertionRelation.UNEXPECTED",""
"FunctionUtils","multiply(f)","ConditionKind.PARAM","f","ConditionKind.PARAM","f","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"FunctionUtils","multiply(f)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.multiply(args[0]));","AssertionRelation.UNEXPECTED",""
"FunctionUtils","multiply(f)","ConditionKind.PARAM","f","ConditionKind.PARAM","f","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"FunctionUtils","multiply(f)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.multiply(args[0]));","AssertionRelation.UNEXPECTED",""
"FunctionUtils","multiply(f)","ConditionKind.PARAM","f","ConditionKind.PARAM","f","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"FunctionUtils","multiply(f)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.multiply(args[0]));","AssertionRelation.UNEXPECTED",""
"FunctionUtils","combine(combiner f g)","ConditionKind.PARAM","combiner","ConditionKind.PARAM","combiner","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"FunctionUtils","combine(combiner f g)","ConditionKind.PARAM","f","ConditionKind.PARAM","f","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"FunctionUtils","combine(combiner f g)","ConditionKind.PARAM","g","ConditionKind.PARAM","g","","assert args[2] != null;","AssertionRelation.UNEXPECTED",""
"FunctionUtils","combine(combiner f g)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.apply(args[2].apply(1)) == args[0].apply(args[1].apply(1), args[2].apply(1));","AssertionRelation.UNEXPECTED",""
"FunctionUtils","collector(combiner f initialValue)","ConditionKind.PARAM","combiner","ConditionKind.PARAM","combiner","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"FunctionUtils","collector(combiner f initialValue)","ConditionKind.PARAM","f","ConditionKind.PARAM","f","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"FunctionUtils","collector(combiner f initialValue)","ConditionKind.PARAM","initialValue","ConditionKind.PARAM","initialValue","","assert !Double.isNaN(args[2]);","AssertionRelation.UNEXPECTED",""
"FunctionUtils","collector(combiner f initialValue)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof MultivariateFunction;","AssertionRelation.UNEXPECTED",""
"FunctionUtils","collector(combiner initialValue)","ConditionKind.PARAM","combiner","ConditionKind.PARAM","combiner","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"FunctionUtils","collector(combiner initialValue)","ConditionKind.PARAM","initialValue","ConditionKind.PARAM","initialValue","","assert !Double.isNaN(args[1]);","AssertionRelation.UNEXPECTED",""
"FunctionUtils","collector(combiner initialValue)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof MultivariateFunction;","AssertionRelation.UNEXPECTED",""
"FunctionUtils","fix1stArgument(f fixed)","ConditionKind.PARAM","f","ConditionKind.PARAM","f","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"FunctionUtils","fix1stArgument(f fixed)","ConditionKind.PARAM","fixed","ConditionKind.PARAM","fixed","","assert !Double.isNaN(args[1]);","AssertionRelation.UNEXPECTED",""
"FunctionUtils","fix1stArgument(f fixed)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.apply(1.0) == args[0].apply(args[1], 1.0);","AssertionRelation.UNEXPECTED",""
