"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"Complex","Complex(real)","ConditionKind.PARAM","real","ConditionKind.PARAM","real","","assert true;","AssertionRelation.UNEXPECTED",""
"Complex","Complex(real imaginary)","ConditionKind.PARAM","real","ConditionKind.PARAM","real","","assert true;","AssertionRelation.UNEXPECTED",""
"Complex","Complex(real imaginary)","ConditionKind.PARAM","imaginary","ConditionKind.PARAM","imaginary","","assert true;","AssertionRelation.UNEXPECTED",""
"Complex","abs()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (Double.isNaN(receiverObjectID.getReal()) || Double.isNaN(Double.NaN)) ? Double.isNaN(methodResultID) : ((receiverObjectID.isInfinite() || Double.isInfinite(receiverObjectID.getReal())) ? !Double.isFinite(methodResultID) : methodResultID >= 0);","AssertionRelation.UNEXPECTED",""
"Complex","add(addend)","ConditionKind.PARAM","addend","ConditionKind.PARAM","addend","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Complex","add(addend)","ConditionKind.THROWS","NullArgumentException","ConditionKind.THROWS","NullArgumentException","assert args[0]==null;","assert args[0] == null;","AssertionRelation.IDENTICAL",""
"Complex","add(addend)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.add(args[0]));","AssertionRelation.UNEXPECTED",""
"Complex","add(addend)","ConditionKind.PARAM","addend","ConditionKind.PARAM","addend","","assert true;","AssertionRelation.UNEXPECTED",""
"Complex","add(addend)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.add(args[0]));","AssertionRelation.UNEXPECTED",""
"Complex","conjugate()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (methodResultID.getReal() == receiverObjectID.getReal()) && (Double.isNaN(receiverObjectID.getReal()) ? Double.isNaN(methodResultID.getReal()) : methodResultID.getReal() != Double.NaN) && ((receiverObjectID.isInfinite() && !Double.isNaN(receiverObjectID.getReal())) ? (methodResultID.isInfinite() && Math.copySign(1.0, methodResultID.getReal()) == -Math.copySign(1.0, receiverObjectID.getReal())) : (methodResultID.getReal() != Double.POSITIVE_INFINITY && methodResultID.getReal() != Double.NEGATIVE_INFINITY)) && (Double.isNaN(methodResultID.getReal()) || methodResultID.getReal() == receiverObjectID.getReal());","AssertionRelation.UNEXPECTED",""
"Complex","divide(divisor)","ConditionKind.PARAM","divisor","ConditionKind.PARAM","divisor","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Complex","divide(divisor)","ConditionKind.THROWS","NullArgumentException","ConditionKind.THROWS","NullArgumentException","assert args[0]==null;","assert args[0] == null;","AssertionRelation.IDENTICAL",""
"Complex","divide(divisor)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.divide(args[0]));","AssertionRelation.UNEXPECTED",""
"Complex","divide(divisor)","ConditionKind.PARAM","divisor","ConditionKind.PARAM","divisor","","assert args[0] != 0;","AssertionRelation.UNEXPECTED",""
"Complex","divide(divisor)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.divide(args[0]));","AssertionRelation.UNEXPECTED",""
"Complex","equals(other)","ConditionKind.PARAM","other","ConditionKind.PARAM","other","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Complex","equals(other)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.equals(args[0]);","AssertionRelation.UNEXPECTED",""
"Complex","equals(x y maxUlps)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","assert (args[0]==null) == false;","assert args[0] != null;","AssertionRelation.EQUIVALENT",""
"Complex","equals(x y maxUlps)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","assert (args[1]==null) == false;","assert args[1] != null;","AssertionRelation.EQUIVALENT",""
