"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"AbstractListChromosome","org.apache.commons.math3.genetics.AbstractListChromosome(representation)","ConditionKind.PARAM","representation","ConditionKind.PARAM","representation","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"AbstractListChromosome","org.apache.commons.math3.genetics.AbstractListChromosome(representation)","ConditionKind.THROWS","InvalidRepresentationException","ConditionKind.THROWS","InvalidRepresentationException","","assert !receiverObjectID.checkValidity(args[0]);","AssertionRelation.UNEXPECTED",""
"AbstractListChromosome","org.apache.commons.math3.genetics.AbstractListChromosome(representation)","ConditionKind.PARAM","representation","ConditionKind.PARAM","representation","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"AbstractListChromosome","org.apache.commons.math3.genetics.AbstractListChromosome(representation)","ConditionKind.THROWS","InvalidRepresentationException","ConditionKind.THROWS","InvalidRepresentationException","","assert !receiverObjectID.checkValidity(args[0]);","AssertionRelation.UNEXPECTED",""
"AbstractListChromosome","org.apache.commons.math3.genetics.AbstractListChromosome(representation copyList)","ConditionKind.PARAM","representation","ConditionKind.PARAM","representation","","","AssertionRelation.EMPTY",""
"AbstractListChromosome","org.apache.commons.math3.genetics.AbstractListChromosome(representation copyList)","ConditionKind.PARAM","copyList","ConditionKind.PARAM","copyList","","","AssertionRelation.EMPTY",""
"AbstractListChromosome","checkValidity(chromosomeRepresentation)","ConditionKind.PARAM","chromosomeRepresentation","ConditionKind.PARAM","chromosomeRepresentation","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"AbstractListChromosome","checkValidity(chromosomeRepresentation)","ConditionKind.THROWS","InvalidRepresentationException","ConditionKind.THROWS","InvalidRepresentationException","","assert !receiverObjectID.newFixedLengthChromosome(args[0]) instanceof Object;","AssertionRelation.UNEXPECTED",""
"AbstractListChromosome","getRepresentation()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"AbstractListChromosome","getLength()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= 0;","AssertionRelation.UNEXPECTED",""
"AbstractListChromosome","newFixedLengthChromosome(chromosomeRepresentation)","ConditionKind.PARAM","chromosomeRepresentation","ConditionKind.PARAM","chromosomeRepresentation","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"AbstractListChromosome","newFixedLengthChromosome(chromosomeRepresentation)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof FixedLengthChromosome && methodResultID.getRepresentation().equals(args[0]);","AssertionRelation.UNEXPECTED",""
