"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"RandomKey","org.apache.commons.math3.genetics.RandomKey(representation)","ConditionKind.PARAM","representation","ConditionKind.PARAM","representation","","assert (args[0]==null) == false;","AssertionRelation.UNEXPECTED",""
"RandomKey","org.apache.commons.math3.genetics.RandomKey(representation)","ConditionKind.THROWS","InvalidRepresentationException","ConditionKind.THROWS","InvalidRepresentationException","","assert !receiverObjectID.checkValidity(args[0]);","AssertionRelation.UNEXPECTED",""
"RandomKey","org.apache.commons.math3.genetics.RandomKey(representation)","ConditionKind.PARAM","representation","ConditionKind.PARAM","representation","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"RandomKey","org.apache.commons.math3.genetics.RandomKey(representation)","ConditionKind.THROWS","InvalidRepresentationException","ConditionKind.THROWS","InvalidRepresentationException","","assert !receiverObjectID.checkValidity(args[0]);","AssertionRelation.UNEXPECTED",""
"RandomKey","isSame(another)","ConditionKind.PARAM","another","ConditionKind.PARAM","another","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"RandomKey","isSame(another)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.decode(null).equals(args[0].decode(null));","AssertionRelation.UNEXPECTED",""
"RandomKey","randomPermutation(l)","ConditionKind.PARAM","l","ConditionKind.PARAM","l","","assert args[0] >= 0;","AssertionRelation.UNEXPECTED",""
"RandomKey","randomPermutation(l)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.size() == args[0];","AssertionRelation.UNEXPECTED",""
"RandomKey","identityPermutation(l)","ConditionKind.PARAM","l","ConditionKind.PARAM","l","","assert args[0] >= 0;","AssertionRelation.UNEXPECTED",""
"RandomKey","identityPermutation(l)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.size() == args[0] && java.util.stream.IntStream.range(0, args[0]).allMatch(i -> methodResultID.get(i) == i);","AssertionRelation.UNEXPECTED",""
"RandomKey","comparatorPermutation(data comparator)","ConditionKind.PARAM","data","ConditionKind.PARAM","data","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"RandomKey","comparatorPermutation(data comparator)","ConditionKind.PARAM","comparator","ConditionKind.PARAM","comparator","","assert (args[1] == null) == false;","AssertionRelation.UNEXPECTED",""
"RandomKey","comparatorPermutation(data comparator)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"RandomKey","inducedPermutation(originalData permutedData)","ConditionKind.PARAM","originalData","ConditionKind.PARAM","originalData","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"RandomKey","inducedPermutation(originalData permutedData)","ConditionKind.PARAM","permutedData","ConditionKind.PARAM","permutedData","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"RandomKey","inducedPermutation(originalData permutedData)","ConditionKind.THROWS","DimensionMismatchException","ConditionKind.THROWS","DimensionMismatchException","assert args[0].size() != args[1].size();","assert args[0].size() != args[1].size();","AssertionRelation.IDENTICAL",""
"RandomKey","inducedPermutation(originalData permutedData)","ConditionKind.THROWS","MathIllegalArgumentException","ConditionKind.THROWS","MathIllegalArgumentException","","assert !args[0].equals(args[1]);","AssertionRelation.UNEXPECTED",""
"RandomKey","inducedPermutation(originalData permutedData)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
