"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"FieldRotation","FieldRotation(q0 q1 q2 q3 needsNormalization)","ConditionKind.PARAM","q0","ConditionKind.PARAM","q0","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"FieldRotation","FieldRotation(q0 q1 q2 q3 needsNormalization)","ConditionKind.PARAM","q1","ConditionKind.PARAM","q1","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"FieldRotation","FieldRotation(q0 q1 q2 q3 needsNormalization)","ConditionKind.PARAM","q2","ConditionKind.PARAM","q2","","assert args[2] != null;","AssertionRelation.UNEXPECTED",""
"FieldRotation","FieldRotation(q0 q1 q2 q3 needsNormalization)","ConditionKind.PARAM","q3","ConditionKind.PARAM","q3","","assert args[3] != null;","AssertionRelation.UNEXPECTED",""
"FieldRotation","FieldRotation(q0 q1 q2 q3 needsNormalization)","ConditionKind.PARAM","needsNormalization","ConditionKind.PARAM","needsNormalization","","assert args[4] instanceof Boolean;","AssertionRelation.UNEXPECTED",""
"FieldRotation","FieldRotation(axis angle)","ConditionKind.PARAM","axis","ConditionKind.PARAM","axis","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"FieldRotation","FieldRotation(axis angle)","ConditionKind.PARAM","angle","ConditionKind.PARAM","angle","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"FieldRotation","FieldRotation(axis angle)","ConditionKind.THROWS","MathIllegalArgumentException","ConditionKind.THROWS","MathIllegalArgumentException","assert args[0].getNorm().getReal()==0;","assert args[0].getNorm() == 0;","AssertionRelation.UNSUPPORTED","Equality requires operands of same type"
"FieldRotation","FieldRotation(axis angle convention)","ConditionKind.PARAM","axis","ConditionKind.PARAM","axis","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"FieldRotation","FieldRotation(axis angle convention)","ConditionKind.PARAM","angle","ConditionKind.PARAM","angle","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"FieldRotation","FieldRotation(axis angle convention)","ConditionKind.PARAM","convention","ConditionKind.PARAM","convention","","assert args[2] != null;","AssertionRelation.UNEXPECTED",""
"FieldRotation","FieldRotation(axis angle convention)","ConditionKind.THROWS","MathIllegalArgumentException","ConditionKind.THROWS","MathIllegalArgumentException","assert args[0].getNorm().getReal()==0;","assert args[0].getNorm() == 0;","AssertionRelation.UNSUPPORTED","Equality requires operands of same type"
"FieldRotation","FieldRotation(m threshold)","ConditionKind.PARAM","m","ConditionKind.PARAM","m","","assert args[0] != null && ((Object[])args[0]).length == 3 && ((Object[])((Object[])args[0])[0]).length == 3;","AssertionRelation.UNEXPECTED",""
"FieldRotation","FieldRotation(m threshold)","ConditionKind.PARAM","threshold","ConditionKind.PARAM","threshold","","assert args[1] >= 0;","AssertionRelation.UNEXPECTED",""
