"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"SubLine","SubLine(line remainingRegion)","ConditionKind.PARAM","line","ConditionKind.PARAM","line","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"SubLine","SubLine(line remainingRegion)","ConditionKind.PARAM","remainingRegion","ConditionKind.PARAM","remainingRegion","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"SubLine","SubLine(start end tolerance)","ConditionKind.PARAM","start","ConditionKind.PARAM","start","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"SubLine","SubLine(start end tolerance)","ConditionKind.PARAM","end","ConditionKind.PARAM","end","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"SubLine","SubLine(start end tolerance)","ConditionKind.PARAM","tolerance","ConditionKind.PARAM","tolerance","","assert args[2] >= 0.0;","AssertionRelation.UNEXPECTED",""
"SubLine","SubLine(start end tolerance)","ConditionKind.THROWS","MathIllegalArgumentException","ConditionKind.THROWS","MathIllegalArgumentException","assert (args[0]==null)==false && args[0].equals(args[1]);","assert args[0].equals(args[1]);","AssertionRelation.STRONGER",""
"SubLine","SubLine(start end)","ConditionKind.PARAM","start","ConditionKind.PARAM","start","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"SubLine","SubLine(start end)","ConditionKind.PARAM","end","ConditionKind.PARAM","end","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"SubLine","SubLine(start end)","ConditionKind.THROWS","MathIllegalArgumentException","ConditionKind.THROWS","MathIllegalArgumentException","assert (args[0]==null)==false && args[0].equals(args[1]);","assert args[0].equals(args[1]);","AssertionRelation.STRONGER",""
"SubLine","SubLine(segment)","ConditionKind.PARAM","segment","ConditionKind.PARAM","segment","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"SubLine","SubLine(segment)","ConditionKind.THROWS","MathIllegalArgumentException","ConditionKind.THROWS","MathIllegalArgumentException","","assert args[0].getP1().equals(args[0].getP2());","AssertionRelation.UNEXPECTED",""
"SubLine","getSegments()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"SubLine","intersection(subLine includeEndPoints)","ConditionKind.PARAM","subLine","ConditionKind.PARAM","subLine","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"SubLine","intersection(subLine includeEndPoints)","ConditionKind.PARAM","includeEndPoints","ConditionKind.PARAM","includeEndPoints","","assert args[1] == true || args[1] == false;","AssertionRelation.UNEXPECTED",""
"SubLine","intersection(subLine includeEndPoints)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
