"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"Vector3D","Vector3D(x y z)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","assert true;","AssertionRelation.UNEXPECTED",""
"Vector3D","Vector3D(x y z)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","assert true;","AssertionRelation.UNEXPECTED",""
"Vector3D","Vector3D(x y z)","ConditionKind.PARAM","z","ConditionKind.PARAM","z","","assert true;","AssertionRelation.UNEXPECTED",""
"Vector3D","Vector3D(v)","ConditionKind.PARAM","v","ConditionKind.PARAM","v","","assert args[0].length == 3;","AssertionRelation.UNEXPECTED",""
"Vector3D","Vector3D(v)","ConditionKind.THROWS","DimensionMismatchException","ConditionKind.THROWS","DimensionMismatchException","assert (args[0].length==3)==false;","assert args[0].length != 3;","AssertionRelation.EQUIVALENT",""
"Vector3D","Vector3D(alpha delta)","ConditionKind.PARAM","alpha","ConditionKind.PARAM","alpha","","assert args[0] >= 0 && args[0] <= 2 * Math.PI;","AssertionRelation.UNEXPECTED",""
"Vector3D","Vector3D(alpha delta)","ConditionKind.PARAM","delta","ConditionKind.PARAM","delta","","assert args[1] >= -Math.PI / 2 && args[1] <= Math.PI / 2;","AssertionRelation.UNEXPECTED",""
"Vector3D","Vector3D(a u)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert true;","AssertionRelation.UNEXPECTED",""
"Vector3D","Vector3D(a u)","ConditionKind.PARAM","u","ConditionKind.PARAM","u","","assert true;","AssertionRelation.UNEXPECTED",""
"Vector3D","Vector3D(a1 u1 a2 u2)","ConditionKind.PARAM","a1","ConditionKind.PARAM","a1","","assert true;","AssertionRelation.UNEXPECTED",""
"Vector3D","Vector3D(a1 u1 a2 u2)","ConditionKind.PARAM","u1","ConditionKind.PARAM","u1","","assert true;","AssertionRelation.UNEXPECTED",""
"Vector3D","Vector3D(a1 u1 a2 u2)","ConditionKind.PARAM","a2","ConditionKind.PARAM","a2","","assert true;","AssertionRelation.UNEXPECTED",""
"Vector3D","Vector3D(a1 u1 a2 u2)","ConditionKind.PARAM","u2","ConditionKind.PARAM","u2","","assert true;","AssertionRelation.UNEXPECTED",""
"Vector3D","Vector3D(a1 u1 a2 u2 a3 u3)","ConditionKind.PARAM","a1","ConditionKind.PARAM","a1","","assert !Double.isNaN(args[0]);","AssertionRelation.UNEXPECTED",""
"Vector3D","Vector3D(a1 u1 a2 u2 a3 u3)","ConditionKind.PARAM","u1","ConditionKind.PARAM","u1","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"Vector3D","Vector3D(a1 u1 a2 u2 a3 u3)","ConditionKind.PARAM","a2","ConditionKind.PARAM","a2","","assert !Double.isNaN(args[2]);","AssertionRelation.UNEXPECTED",""
"Vector3D","Vector3D(a1 u1 a2 u2 a3 u3)","ConditionKind.PARAM","u2","ConditionKind.PARAM","u2","","assert args[3] != null;","AssertionRelation.UNEXPECTED",""
"Vector3D","Vector3D(a1 u1 a2 u2 a3 u3)","ConditionKind.PARAM","a3","ConditionKind.PARAM","a3","","assert !Double.isNaN(args[4]);","AssertionRelation.UNEXPECTED",""
"Vector3D","Vector3D(a1 u1 a2 u2 a3 u3)","ConditionKind.PARAM","u3","ConditionKind.PARAM","u3","","assert args[5] != null;","AssertionRelation.UNEXPECTED",""
"Vector3D","Vector3D(a1 u1 a2 u2 a3 u3 a4 u4)","ConditionKind.PARAM","a1","ConditionKind.PARAM","a1","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Vector3D","Vector3D(a1 u1 a2 u2 a3 u3 a4 u4)","ConditionKind.PARAM","u1","ConditionKind.PARAM","u1","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"Vector3D","Vector3D(a1 u1 a2 u2 a3 u3 a4 u4)","ConditionKind.PARAM","a2","ConditionKind.PARAM","a2","","assert args[2] != null;","AssertionRelation.UNEXPECTED",""
"Vector3D","Vector3D(a1 u1 a2 u2 a3 u3 a4 u4)","ConditionKind.PARAM","u2","ConditionKind.PARAM","u2","","assert args[3] != null;","AssertionRelation.UNEXPECTED",""
"Vector3D","Vector3D(a1 u1 a2 u2 a3 u3 a4 u4)","ConditionKind.PARAM","a3","ConditionKind.PARAM","a3","","assert args[4] != null;","AssertionRelation.UNEXPECTED",""
"Vector3D","Vector3D(a1 u1 a2 u2 a3 u3 a4 u4)","ConditionKind.PARAM","u3","ConditionKind.PARAM","u3","","assert args[5] != null;","AssertionRelation.UNEXPECTED",""
"Vector3D","Vector3D(a1 u1 a2 u2 a3 u3 a4 u4)","ConditionKind.PARAM","a4","ConditionKind.PARAM","a4","","assert args[6] != null;","AssertionRelation.UNEXPECTED",""
"Vector3D","Vector3D(a1 u1 a2 u2 a3 u3 a4 u4)","ConditionKind.PARAM","u4","ConditionKind.PARAM","u4","","assert args[7] != null;","AssertionRelation.UNEXPECTED",""
"Vector3D","getX()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.getX();","AssertionRelation.UNEXPECTED",""
"Vector3D","getY()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.getY();","AssertionRelation.UNEXPECTED",""
"Vector3D","getZ()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.getZ();","AssertionRelation.UNEXPECTED",""
"Vector3D","toArray()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.length == 3;","AssertionRelation.UNEXPECTED",""
"Vector3D","getAlpha()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= -Math.PI && methodResultID <= Math.PI;","AssertionRelation.UNEXPECTED",""
"Vector3D","getDelta()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= -Math.PI/2 && methodResultID <= Math.PI/2;","AssertionRelation.UNEXPECTED",""
"Vector3D","orthogonal()","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","assert receiverObjectID.getNorm()==null;","assert receiverObjectID.getNorm() == 0;","AssertionRelation.UNSUPPORTED","Equality requires operands of same type"
"Vector3D","orthogonal()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResult.distance(receiverObjectID) == 0.0 && methodResult.getNorm() == 1.0;","AssertionRelation.UNEXPECTED",""
"Vector3D","angle(v1 v2)","ConditionKind.PARAM","v1","ConditionKind.PARAM","v1","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Vector3D","angle(v1 v2)","ConditionKind.PARAM","v2","ConditionKind.PARAM","v2","","assert (args[1] == null) == false;","AssertionRelation.UNEXPECTED",""
"Vector3D","angle(v1 v2)","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","assert args[0].getNorm()==null || args[1].getNorm()==null;","assert args[0].getNorm() == 0 || args[1].getNorm() == 0;","AssertionRelation.UNSUPPORTED","Equality requires operands of same type"
