"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"PreconditionedIterativeLinearSolver","org.apache.commons.math3.linear.PreconditionedIterativeLinearSolver(maxIterations)","ConditionKind.PARAM","maxIterations","ConditionKind.PARAM","maxIterations","","assert args[0] >= 0;","AssertionRelation.UNEXPECTED",""
"PreconditionedIterativeLinearSolver","org.apache.commons.math3.linear.PreconditionedIterativeLinearSolver(manager)","ConditionKind.PARAM","manager","ConditionKind.PARAM","manager","","assert (args[0]==null) == false;","AssertionRelation.UNEXPECTED",""
"PreconditionedIterativeLinearSolver","org.apache.commons.math3.linear.PreconditionedIterativeLinearSolver(manager)","ConditionKind.THROWS","NullArgumentException","ConditionKind.THROWS","NullArgumentException","assert args[0]==null;","assert args[0] == null;","AssertionRelation.IDENTICAL",""
"PreconditionedIterativeLinearSolver","solve(a m b x0)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"PreconditionedIterativeLinearSolver","solve(a m b x0)","ConditionKind.PARAM","m","ConditionKind.PARAM","m","","assert args[1] == null || args[1] != null;","AssertionRelation.UNEXPECTED",""
"PreconditionedIterativeLinearSolver","solve(a m b x0)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","","assert args[2] != null;","AssertionRelation.UNEXPECTED",""
"PreconditionedIterativeLinearSolver","solve(a m b x0)","ConditionKind.PARAM","x0","ConditionKind.PARAM","x0","","assert args[3] != null;","AssertionRelation.UNEXPECTED",""
"PreconditionedIterativeLinearSolver","solve(a m b x0)","ConditionKind.THROWS","NullArgumentException","ConditionKind.THROWS","NullArgumentException","assert args[0]==null || args[1]==null || args[2]==null || args[3]==null;","assert args[0] == null || args[1] == null || args[2] == null || args[3] == null;","AssertionRelation.IDENTICAL",""
"PreconditionedIterativeLinearSolver","solve(a m b x0)","ConditionKind.THROWS","NonSquareOperatorException","ConditionKind.THROWS","NonSquareOperatorException","","assert !receiverObjectID.isSquare(args[0]) || (args[1] != null && !receiverObjectID.isSquare(args[1]));","AssertionRelation.UNEXPECTED",""
"PreconditionedIterativeLinearSolver","solve(a m b x0)","ConditionKind.THROWS","MatrixDimensionMismatchException","ConditionKind.THROWS","DimensionMismatchException","","assert (args[1] != null && receiverObjectID.getDimension(args[1]) != receiverObjectID.getDimension(args[0])) || receiverObjectID.getDimension(args[2]) != receiverObjectID.getDimension(args[0]) || receiverObjectID.getDimension(args[3]) != receiverObjectID.getDimension(args[0]);","AssertionRelation.UNEXPECTED",""
"PreconditionedIterativeLinearSolver","solve(a m b x0)","ConditionKind.THROWS","MaxCountExceededException","ConditionKind.THROWS","MaxCountExceededException","","assert receiverObjectID.getIterationCount() >= receiverObjectID.getMaxIterations();","AssertionRelation.UNEXPECTED",""
"PreconditionedIterativeLinearSolver","solve(a m b x0)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"PreconditionedIterativeLinearSolver","checkParameters(a m b x0)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"PreconditionedIterativeLinearSolver","checkParameters(a m b x0)","ConditionKind.PARAM","m","ConditionKind.PARAM","m","","assert (args[1]==null) || (args[1]!=null);","AssertionRelation.UNEXPECTED",""
"PreconditionedIterativeLinearSolver","checkParameters(a m b x0)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","","assert args[2] != null;","AssertionRelation.UNEXPECTED",""
"PreconditionedIterativeLinearSolver","checkParameters(a m b x0)","ConditionKind.PARAM","x0","ConditionKind.PARAM","x0","","assert args[3] != null;","AssertionRelation.UNEXPECTED",""
"PreconditionedIterativeLinearSolver","checkParameters(a m b x0)","ConditionKind.THROWS","NullArgumentException","ConditionKind.THROWS","NullArgumentException","assert args[0]==null || args[1]==null || args[2]==null || args[3]==null;","assert args[0]==null || args[1]==null || args[2]==null || args[3]==null;","AssertionRelation.IDENTICAL",""
"PreconditionedIterativeLinearSolver","checkParameters(a m b x0)","ConditionKind.THROWS","NonSquareOperatorException","ConditionKind.THROWS","NonSquareOperatorException","","assert args[0].getRowCount()!=args[0].getColumnCount() || (args[1]!=null && args[1].getRowCount()!=args[1].getColumnCount());","AssertionRelation.UNEXPECTED",""
"PreconditionedIterativeLinearSolver","checkParameters(a m b x0)","ConditionKind.THROWS","MatrixDimensionMismatchException","ConditionKind.THROWS","DimensionMismatchException","","assert (args[1]!=null && args[1].getRowCount()!=args[0].getRowCount()) || args[2].getDimension()!=args[0].getColumnCount() || args[3].getDimension()!=args[0].getColumnCount();","AssertionRelation.UNEXPECTED",""
"PreconditionedIterativeLinearSolver","solve(a m b)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"PreconditionedIterativeLinearSolver","solve(a m b)","ConditionKind.PARAM","m","ConditionKind.PARAM","m","","assert args[1] == null || args[1] != null;","AssertionRelation.UNEXPECTED",""
"PreconditionedIterativeLinearSolver","solve(a m b)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","","assert args[2] != null;","AssertionRelation.UNEXPECTED",""
"PreconditionedIterativeLinearSolver","solve(a m b)","ConditionKind.THROWS","NullArgumentException","ConditionKind.THROWS","NullArgumentException","assert args[0]==null || args[1]==null || args[2]==null;","assert args[0] == null || args[1] == null || args[2] == null;","AssertionRelation.IDENTICAL",""
"PreconditionedIterativeLinearSolver","solve(a m b)","ConditionKind.THROWS","NonSquareOperatorException","ConditionKind.THROWS","NonSquareOperatorException","","assert !receiverObjectID.isSquare(args[0]) || (args[1] != null && !receiverObjectID.isSquare(args[1]));","AssertionRelation.UNEXPECTED",""
"PreconditionedIterativeLinearSolver","solve(a m b)","ConditionKind.THROWS","MatrixDimensionMismatchException","ConditionKind.THROWS","DimensionMismatchException","","assert (args[1] != null && receiverObjectID.getDimension(args[1]) != receiverObjectID.getDimension(args[0])) || receiverObjectID.getDimension(args[2]) != receiverObjectID.getDimension(args[0]);","AssertionRelation.UNEXPECTED",""
"PreconditionedIterativeLinearSolver","solve(a m b)","ConditionKind.THROWS","MaxCountExceededException","ConditionKind.THROWS","MaxCountExceededException","","assert receiverObjectID.getIterationCount() >= receiverObjectID.getMaxIterations();","AssertionRelation.UNEXPECTED",""
"PreconditionedIterativeLinearSolver","solve(a m b)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof RealVector;","AssertionRelation.UNEXPECTED",""
"PreconditionedIterativeLinearSolver","solveInPlace(a m b x0)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"PreconditionedIterativeLinearSolver","solveInPlace(a m b x0)","ConditionKind.PARAM","m","ConditionKind.PARAM","m","","assert args[1] == null || args[1] instanceof RealLinearOperator;","AssertionRelation.UNEXPECTED",""
"PreconditionedIterativeLinearSolver","solveInPlace(a m b x0)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","","assert args[2] != null;","AssertionRelation.UNEXPECTED",""
"PreconditionedIterativeLinearSolver","solveInPlace(a m b x0)","ConditionKind.PARAM","x0","ConditionKind.PARAM","x0","","assert args[3] != null;","AssertionRelation.UNEXPECTED",""
"PreconditionedIterativeLinearSolver","solveInPlace(a m b x0)","ConditionKind.THROWS","NullArgumentException","ConditionKind.THROWS","NullArgumentException","assert args[0]==null || args[1]==null || args[2]==null || args[3]==null;","assert args[0] == null || args[1] == null || args[2] == null || args[3] == null;","AssertionRelation.IDENTICAL",""
"PreconditionedIterativeLinearSolver","solveInPlace(a m b x0)","ConditionKind.THROWS","NonSquareOperatorException","ConditionKind.THROWS","NonSquareOperatorException","","assert !receiverObjectID.isSquare(args[0]) || (args[1] != null && !receiverObjectID.isSquare(args[1]));","AssertionRelation.UNEXPECTED",""
"PreconditionedIterativeLinearSolver","solveInPlace(a m b x0)","ConditionKind.THROWS","MatrixDimensionMismatchException","ConditionKind.THROWS","DimensionMismatchException","","assert (args[1] != null && receiverObjectID.getDimension(args[1]) != receiverObjectID.getDimension(args[0])) || receiverObjectID.getDimension(args[2]) != receiverObjectID.getDimension(args[0]) || receiverObjectID.getDimension(args[3]) != receiverObjectID.getDimension(args[0]);","AssertionRelation.UNEXPECTED",""
"PreconditionedIterativeLinearSolver","solveInPlace(a m b x0)","ConditionKind.THROWS","MaxCountExceededException","ConditionKind.THROWS","MaxCountExceededException","","assert receiverObjectID.getIterationCount() >= receiverObjectID.getMaxIterations();","AssertionRelation.UNEXPECTED",""
"PreconditionedIterativeLinearSolver","solveInPlace(a m b x0)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
