"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"AdaptiveStepsizeIntegrator","AdaptiveStepsizeIntegrator(name minStep maxStep scalAbsoluteTolerance scalRelativeTolerance)","ConditionKind.PARAM","name","ConditionKind.PARAM","name","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"AdaptiveStepsizeIntegrator","AdaptiveStepsizeIntegrator(name minStep maxStep scalAbsoluteTolerance scalRelativeTolerance)","ConditionKind.PARAM","minStep","ConditionKind.PARAM","minStep","","assert args[1] >= 0;","AssertionRelation.UNEXPECTED",""
"AdaptiveStepsizeIntegrator","AdaptiveStepsizeIntegrator(name minStep maxStep scalAbsoluteTolerance scalRelativeTolerance)","ConditionKind.PARAM","maxStep","ConditionKind.PARAM","maxStep","","assert args[2] >= 0 && args[2] >= args[1];","AssertionRelation.UNEXPECTED",""
"AdaptiveStepsizeIntegrator","AdaptiveStepsizeIntegrator(name minStep maxStep scalAbsoluteTolerance scalRelativeTolerance)","ConditionKind.PARAM","scalAbsoluteTolerance","ConditionKind.PARAM","scalAbsoluteTolerance","","assert args[3] >= 0;","AssertionRelation.UNEXPECTED",""
"AdaptiveStepsizeIntegrator","AdaptiveStepsizeIntegrator(name minStep maxStep scalAbsoluteTolerance scalRelativeTolerance)","ConditionKind.PARAM","scalRelativeTolerance","ConditionKind.PARAM","scalRelativeTolerance","","assert args[4] >= 0;","AssertionRelation.UNEXPECTED",""
"AdaptiveStepsizeIntegrator","AdaptiveStepsizeIntegrator(name minStep maxStep vecAbsoluteTolerance vecRelativeTolerance)","ConditionKind.PARAM","name","ConditionKind.PARAM","name","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"AdaptiveStepsizeIntegrator","AdaptiveStepsizeIntegrator(name minStep maxStep vecAbsoluteTolerance vecRelativeTolerance)","ConditionKind.PARAM","minStep","ConditionKind.PARAM","minStep","","assert args[1] >= 0;","AssertionRelation.UNEXPECTED",""
"AdaptiveStepsizeIntegrator","AdaptiveStepsizeIntegrator(name minStep maxStep vecAbsoluteTolerance vecRelativeTolerance)","ConditionKind.PARAM","maxStep","ConditionKind.PARAM","maxStep","","assert args[2] >= 0 && args[2] >= args[1];","AssertionRelation.UNEXPECTED",""
"AdaptiveStepsizeIntegrator","AdaptiveStepsizeIntegrator(name minStep maxStep vecAbsoluteTolerance vecRelativeTolerance)","ConditionKind.PARAM","vecAbsoluteTolerance","ConditionKind.PARAM","vecAbsoluteTolerance","","assert args[3] != null && args[3].length > 0;","AssertionRelation.UNEXPECTED",""
"AdaptiveStepsizeIntegrator","AdaptiveStepsizeIntegrator(name minStep maxStep vecAbsoluteTolerance vecRelativeTolerance)","ConditionKind.PARAM","vecRelativeTolerance","ConditionKind.PARAM","vecRelativeTolerance","","assert args[4] != null && args[4].length > 0;","AssertionRelation.UNEXPECTED",""
"AdaptiveStepsizeIntegrator","setStepSizeControl(minimalStep maximalStep absoluteTolerance relativeTolerance)","ConditionKind.PARAM","minimalStep","ConditionKind.PARAM","minimalStep","assert args[0]>0;","assert args[0] > 0;","AssertionRelation.IDENTICAL",""
"AdaptiveStepsizeIntegrator","setStepSizeControl(minimalStep maximalStep absoluteTolerance relativeTolerance)","ConditionKind.PARAM","maximalStep","ConditionKind.PARAM","maximalStep","assert args[1]>0;","assert args[1] > 0;","AssertionRelation.IDENTICAL",""
"AdaptiveStepsizeIntegrator","setStepSizeControl(minimalStep maximalStep absoluteTolerance relativeTolerance)","ConditionKind.PARAM","absoluteTolerance","ConditionKind.PARAM","absoluteTolerance","","assert args[2] >= 0;","AssertionRelation.UNEXPECTED",""
"AdaptiveStepsizeIntegrator","setStepSizeControl(minimalStep maximalStep absoluteTolerance relativeTolerance)","ConditionKind.PARAM","relativeTolerance","ConditionKind.PARAM","relativeTolerance","","assert args[3] >= 0;","AssertionRelation.UNEXPECTED",""
"AdaptiveStepsizeIntegrator","setStepSizeControl(minimalStep maximalStep absoluteTolerance relativeTolerance)","ConditionKind.PARAM","minimalStep","ConditionKind.PARAM","minimalStep","assert args[0]>0;","assert args[0] > 0;","AssertionRelation.IDENTICAL",""
"AdaptiveStepsizeIntegrator","setStepSizeControl(minimalStep maximalStep absoluteTolerance relativeTolerance)","ConditionKind.PARAM","maximalStep","ConditionKind.PARAM","maximalStep","assert args[1]>0;","assert args[1] > 0;","AssertionRelation.IDENTICAL",""
"AdaptiveStepsizeIntegrator","setStepSizeControl(minimalStep maximalStep absoluteTolerance relativeTolerance)","ConditionKind.PARAM","absoluteTolerance","ConditionKind.PARAM","absoluteTolerance","","assert args[2].length > 0 && java.util.Arrays.stream(args[2]).allMatch(t -> t >= 0);","AssertionRelation.UNEXPECTED",""
"AdaptiveStepsizeIntegrator","setStepSizeControl(minimalStep maximalStep absoluteTolerance relativeTolerance)","ConditionKind.PARAM","relativeTolerance","ConditionKind.PARAM","relativeTolerance","","assert args[3].length > 0 && java.util.Arrays.stream(args[3]).allMatch(t -> t >= 0);","AssertionRelation.UNEXPECTED",""
"AdaptiveStepsizeIntegrator","setInitialStepSize(initialStepSize)","ConditionKind.PARAM","initialStepSize","ConditionKind.PARAM","initialStepSize","assert args[0]>0;","assert args[0] > 0 && (args[0] >= receiverObjectID.getMinStep() && args[0] <= receiverObjectID.getMaxStep());","AssertionRelation.UNSUPPORTED","Expected Type.INT, got Type.REF"
"AdaptiveStepsizeIntegrator","initializeStep(forward order scale t0 y0 yDot0 y1 yDot1)","ConditionKind.PARAM","forward","ConditionKind.PARAM","forward","","","AssertionRelation.EMPTY",""
"AdaptiveStepsizeIntegrator","initializeStep(forward order scale t0 y0 yDot0 y1 yDot1)","ConditionKind.PARAM","order","ConditionKind.PARAM","order","","","AssertionRelation.EMPTY",""
"AdaptiveStepsizeIntegrator","initializeStep(forward order scale t0 y0 yDot0 y1 yDot1)","ConditionKind.PARAM","scale","ConditionKind.PARAM","scale","","","AssertionRelation.EMPTY",""
"AdaptiveStepsizeIntegrator","initializeStep(forward order scale t0 y0 yDot0 y1 yDot1)","ConditionKind.PARAM","t0","ConditionKind.PARAM","t0","","","AssertionRelation.EMPTY",""
"AdaptiveStepsizeIntegrator","initializeStep(forward order scale t0 y0 yDot0 y1 yDot1)","ConditionKind.PARAM","y0","ConditionKind.PARAM","y0","","","AssertionRelation.EMPTY",""
"AdaptiveStepsizeIntegrator","initializeStep(forward order scale t0 y0 yDot0 y1 yDot1)","ConditionKind.PARAM","yDot0","ConditionKind.PARAM","yDot0","","","AssertionRelation.EMPTY",""
"AdaptiveStepsizeIntegrator","initializeStep(forward order scale t0 y0 yDot0 y1 yDot1)","ConditionKind.PARAM","y1","ConditionKind.PARAM","y1","","","AssertionRelation.EMPTY",""
"AdaptiveStepsizeIntegrator","initializeStep(forward order scale t0 y0 yDot0 y1 yDot1)","ConditionKind.PARAM","yDot1","ConditionKind.PARAM","yDot1","","","AssertionRelation.EMPTY",""
"AdaptiveStepsizeIntegrator","initializeStep(forward order scale t0 y0 yDot0 y1 yDot1)","ConditionKind.THROWS","MaxCountExceededException","ConditionKind.THROWS","MaxCountExceededException","","assert receiverObjectID.getCurrentStepStart() > receiverObjectID.getMaxStep();","AssertionRelation.UNEXPECTED",""
"AdaptiveStepsizeIntegrator","initializeStep(forward order scale t0 y0 yDot0 y1 yDot1)","ConditionKind.THROWS","DimensionMismatchException","ConditionKind.THROWS","DimensionMismatchException","","assert args[2].length != args[4].length || args[5].length != args[6].length || args[7].length != args[4].length;","AssertionRelation.UNEXPECTED",""
"AdaptiveStepsizeIntegrator","initializeStep(forward order scale t0 y0 yDot0 y1 yDot1)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"AdaptiveStepsizeIntegrator","filterStep(h forward acceptSmall)","ConditionKind.PARAM","h","ConditionKind.PARAM","h","","assert true;","AssertionRelation.UNEXPECTED",""
"AdaptiveStepsizeIntegrator","filterStep(h forward acceptSmall)","ConditionKind.PARAM","forward","ConditionKind.PARAM","forward","","assert true;","AssertionRelation.UNEXPECTED",""
"AdaptiveStepsizeIntegrator","filterStep(h forward acceptSmall)","ConditionKind.PARAM","acceptSmall","ConditionKind.PARAM","acceptSmall","","assert true;","AssertionRelation.UNEXPECTED",""
"AdaptiveStepsizeIntegrator","filterStep(h forward acceptSmall)","ConditionKind.THROWS","NumberIsTooSmallException","ConditionKind.THROWS","NumberIsTooSmallException","","assert args[0] < receiverObjectID.getMinStep() && !args[2];","AssertionRelation.UNEXPECTED",""
"AdaptiveStepsizeIntegrator","filterStep(h forward acceptSmall)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert ((methodResultID >= receiverObjectID.getMinStep() && methodResultID <= receiverObjectID.getMaxStep()) || (args[2] && methodResultID == Math.max(args[0], receiverObjectID.getMinStep())));","AssertionRelation.UNEXPECTED",""
"AdaptiveStepsizeIntegrator","getMinStep()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= 0.0;","AssertionRelation.UNEXPECTED",""
"AdaptiveStepsizeIntegrator","getMaxStep()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= receiverObjectID.getMinStep();","AssertionRelation.UNEXPECTED",""
