"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"PSquarePercentile","org.apache.commons.math3.stat.descriptive.rank.PSquarePercentile(p)","ConditionKind.PARAM","p","ConditionKind.PARAM","p","","assert (args[0] > 0) && (args[0] <= 100);","AssertionRelation.UNEXPECTED",""
"PSquarePercentile","org.apache.commons.math3.stat.descriptive.rank.PSquarePercentile(p)","ConditionKind.THROWS","OutOfRangeException","ConditionKind.THROWS","OutOfRangeException","assert (args[0]>0) == false || (args[0]<=100)==false;","assert args[0] <= 0 || args[0] > 100;","AssertionRelation.EQUIVALENT",""
"PSquarePercentile","equals(o)","ConditionKind.PARAM","o","ConditionKind.PARAM","o","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"PSquarePercentile","equals(o)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (o instanceof PSquarePercentile && ((PSquarePercentile)o).getResult() == receiverObjectID.getResult() && ((PSquarePercentile)o).getN() == receiverObjectID.getN());","AssertionRelation.UNEXPECTED",""
"PSquarePercentile","increment(observation)","ConditionKind.PARAM","observation","ConditionKind.PARAM","observation","","assert true;","AssertionRelation.UNEXPECTED",""
"PSquarePercentile","toString()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null && !methodResultID.isEmpty();","AssertionRelation.UNEXPECTED",""
"PSquarePercentile","quantile()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= 0.0 && methodResultID <= 1.0;","AssertionRelation.UNEXPECTED",""
"PSquarePercentile","newMarkers(initialFive p)","ConditionKind.PARAM","initialFive","ConditionKind.PARAM","initialFive","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"PSquarePercentile","newMarkers(initialFive p)","ConditionKind.PARAM","p","ConditionKind.PARAM","p","","assert args[1] >= 0.0 && args[1] <= 1.0;","AssertionRelation.UNEXPECTED",""
"PSquarePercentile","newMarkers(initialFive p)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof PSquareMarkers;","AssertionRelation.UNEXPECTED",""
