"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"ArithmeticUtils","addAndCheck(x y)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","assert true;","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","addAndCheck(x y)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","assert true;","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","addAndCheck(x y)","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","","assert (args[0] > 0 && args[1] > Integer.MAX_VALUE - args[0]) || (args[0] < 0 && args[1] < Integer.MIN_VALUE - args[0]);","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","addAndCheck(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID==args[0]+args[1];","assert methodResultID == (args[0] + args[1]);","AssertionRelation.EQUIVALENT",""
"ArithmeticUtils","addAndCheck(a b)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert true;","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","addAndCheck(a b)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","","assert true;","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","addAndCheck(a b)","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","","assert (args[0] > 0 && args[1] > Long.MAX_VALUE - args[0]) || (args[0] < 0 && args[1] < Long.MIN_VALUE - args[0]);","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","addAndCheck(a b)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID==args[0]+args[1];","assert methodResultID == args[0] + args[1];","AssertionRelation.EQUIVALENT",""
"ArithmeticUtils","binomialCoefficient(n k)","ConditionKind.PARAM","n","ConditionKind.PARAM","n","","assert args[0] >= 0;","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","binomialCoefficient(n k)","ConditionKind.PARAM","k","ConditionKind.PARAM","k","","assert args[1] >= 0 && args[1] <= args[0];","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","binomialCoefficient(n k)","ConditionKind.THROWS","NotPositiveException","ConditionKind.THROWS","NotPositiveException","assert args[0]<0;","assert args[0] < 0;","AssertionRelation.IDENTICAL",""
"ArithmeticUtils","binomialCoefficient(n k)","ConditionKind.THROWS","NumberIsTooLargeException","ConditionKind.THROWS","NumberIsTooLargeException","assert args[1]>args[0];","assert args[1] > args[0];","AssertionRelation.IDENTICAL",""
"ArithmeticUtils","binomialCoefficient(n k)","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","","assert receiverObjectID.binomialCoefficientDouble(args[0], args[1]) > Long.MAX_VALUE;","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","binomialCoefficient(n k)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.binomialCoefficient(args[0], args[1]);","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","binomialCoefficientDouble(n k)","ConditionKind.PARAM","n","ConditionKind.PARAM","n","","assert args[0] >= 0;","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","binomialCoefficientDouble(n k)","ConditionKind.PARAM","k","ConditionKind.PARAM","k","","assert args[1] >= 0 && args[1] <= args[0];","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","binomialCoefficientDouble(n k)","ConditionKind.THROWS","NotPositiveException","ConditionKind.THROWS","NotPositiveException","assert args[0]<0;","assert args[0] < 0;","AssertionRelation.IDENTICAL",""
"ArithmeticUtils","binomialCoefficientDouble(n k)","ConditionKind.THROWS","NumberIsTooLargeException","ConditionKind.THROWS","NumberIsTooLargeException","assert args[1]>args[0];","assert args[1] > args[0];","AssertionRelation.IDENTICAL",""
"ArithmeticUtils","binomialCoefficientDouble(n k)","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","","assert receiverObjectID.binomialCoefficient(args[0], args[1]) > Long.MAX_VALUE;","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","binomialCoefficientDouble(n k)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == Math.comb(args[0], args[1]);","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","binomialCoefficientLog(n k)","ConditionKind.PARAM","n","ConditionKind.PARAM","n","","assert args[0] >= 0;","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","binomialCoefficientLog(n k)","ConditionKind.PARAM","k","ConditionKind.PARAM","k","","assert args[1] >= 0 && args[1] <= args[0];","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","binomialCoefficientLog(n k)","ConditionKind.THROWS","NotPositiveException","ConditionKind.THROWS","NotPositiveException","assert args[0]<0;","assert args[0] < 0;","AssertionRelation.IDENTICAL",""
"ArithmeticUtils","binomialCoefficientLog(n k)","ConditionKind.THROWS","NumberIsTooLargeException","ConditionKind.THROWS","NumberIsTooLargeException","assert args[1]>args[0];","assert args[1] > args[0];","AssertionRelation.IDENTICAL",""
"ArithmeticUtils","binomialCoefficientLog(n k)","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","","assert binomialCoefficient(args[0], args[1]) > Long.MAX_VALUE;","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","binomialCoefficientLog(n k)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"ArithmeticUtils","factorial(n)","ConditionKind.PARAM","n","ConditionKind.PARAM","n","","assert args[0] >= 0;","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","factorial(n)","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","","","AssertionRelation.EMPTY",""
"ArithmeticUtils","factorial(n)","ConditionKind.THROWS","NotPositiveException","ConditionKind.THROWS","NotPositiveException","assert args[0]<0;","","AssertionRelation.MISSING",""
"ArithmeticUtils","factorial(n)","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","assert args[0]>20;","","AssertionRelation.MISSING",""
"ArithmeticUtils","factorial(n)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"ArithmeticUtils","factorialDouble(n)","ConditionKind.PARAM","n","ConditionKind.PARAM","n","","assert args[0] >= 0;","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","factorialDouble(n)","ConditionKind.THROWS","NotPositiveException","ConditionKind.THROWS","NotPositiveException","assert args[0]<0;","assert args[0] < 0;","AssertionRelation.IDENTICAL",""
"ArithmeticUtils","factorialDouble(n)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (args[0] >= 0 && args[0] <= 170) ? Math.floor(factorial(args[0])) : Double.POSITIVE_INFINITY;","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","factorialLog(n)","ConditionKind.PARAM","n","ConditionKind.PARAM","n","","assert args[0] >= 0;","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","factorialLog(n)","ConditionKind.THROWS","NotPositiveException","ConditionKind.THROWS","NotPositiveException","assert args[0]<0;","assert args[0] < 0;","AssertionRelation.IDENTICAL",""
"ArithmeticUtils","factorialLog(n)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == Math.log(factorial(args[0]));","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","gcd(p q)","ConditionKind.PARAM","p","ConditionKind.PARAM","p","","assert args[0] != Integer.MIN_VALUE || args[1] != 0 && args[1] != Integer.MIN_VALUE;","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","gcd(p q)","ConditionKind.PARAM","q","ConditionKind.PARAM","q","","assert args[1] != Integer.MIN_VALUE || args[0] != 0 && args[0] != Integer.MIN_VALUE;","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","gcd(p q)","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","","assert (args[0] == Integer.MIN_VALUE && args[1] == Integer.MIN_VALUE) || (args[0] == Integer.MIN_VALUE && args[1] == 0) || (args[0] == 0 && args[1] == Integer.MIN_VALUE);","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","gcd(p q)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= 0 && Math.abs(methodResultID) == methodResultID;","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","gcd(p q)","ConditionKind.PARAM","p","ConditionKind.PARAM","p","","assert args[0] != Long.MIN_VALUE || (args[1] != 0 && args[1] != Long.MIN_VALUE);","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","gcd(p q)","ConditionKind.PARAM","q","ConditionKind.PARAM","q","","assert args[1] != Long.MIN_VALUE || (args[0] != 0 && args[0] != Long.MIN_VALUE);","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","gcd(p q)","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","","assert (args[0] == Long.MIN_VALUE && args[1] == Long.MIN_VALUE) || (args[0] == Long.MIN_VALUE && args[1] == 0L) || (args[0] == 0L && args[1] == Long.MIN_VALUE);","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","gcd(p q)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= 0;","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","lcm(a b)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert args[0] == Integer.MIN_VALUE || Math.abs(args[1]) % 2 != 0;","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","lcm(a b)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","","assert args[1] == Integer.MIN_VALUE || Math.abs(args[0]) % 2 != 0;","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","lcm(a b)","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","","assert (args[0] == Integer.MIN_VALUE && (Math.abs(args[1]) & (Math.abs(args[1]) - 1)) == 0) || (args[1] == Integer.MIN_VALUE && (Math.abs(args[0]) & (Math.abs(args[0]) - 1)) == 0);","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","lcm(a b)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"ArithmeticUtils","lcm(a b)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","lcm(a b)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","lcm(a b)","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","","assert (args[0] == Long.MIN_VALUE && isPowerOfTwo(Math.abs(args[1]))) || (args[1] == Long.MIN_VALUE && isPowerOfTwo(Math.abs(args[0])));","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","lcm(a b)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"ArithmeticUtils","mulAndCheck(x y)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","assert true;","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","mulAndCheck(x y)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","assert true;","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","mulAndCheck(x y)","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","","assert (long)args[0] * args[1] > Integer.MAX_VALUE || (long)args[0] * args[1] < Integer.MIN_VALUE;","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","mulAndCheck(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID==args[0]*args[1];","assert methodResultID == args[0] * args[1];","AssertionRelation.EQUIVALENT",""
"ArithmeticUtils","mulAndCheck(a b)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert true;","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","mulAndCheck(a b)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","","assert true;","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","mulAndCheck(a b)","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","","assert (args[0] > 0 && args[1] > Long.MAX_VALUE / args[0]) || (args[0] < 0 && args[1] < Long.MIN_VALUE / args[0]);","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","mulAndCheck(a b)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID==args[0]*args[1];","assert methodResultID == args[0] * args[1];","AssertionRelation.EQUIVALENT",""
"ArithmeticUtils","subAndCheck(x y)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","assert true;","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","subAndCheck(x y)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","assert true;","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","subAndCheck(x y)","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","","assert (args[0] > 0 && args[1] < Integer.MIN_VALUE) || (args[0] < 0 && args[1] > Integer.MAX_VALUE);","AssertionRelation.UNEXPECTED",""
"ArithmeticUtils","subAndCheck(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID==args[0]-args[1];","assert methodResultID == args[0] - args[1];","AssertionRelation.EQUIVALENT",""
"ArithmeticUtils","subAndCheck(a b)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert true;","AssertionRelation.UNEXPECTED",""
