"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"FastMath","sqrt(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert true;","AssertionRelation.UNEXPECTED",""
"FastMath","sqrt(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert Math.sqrt(args[0]) == methodResultID;","AssertionRelation.UNEXPECTED",""
"FastMath","cosh(x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","assert true;","AssertionRelation.UNEXPECTED",""
"FastMath","cosh(x)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert Math.abs(methodResultID - (Math.exp(args[0]) + Math.exp(-args[0])) / 2) < 1e-9;","AssertionRelation.UNEXPECTED",""
"FastMath","sinh(x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","assert true;","AssertionRelation.UNEXPECTED",""
"FastMath","sinh(x)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert Math.abs(methodResultID - (receiverObjectID.exp(args[0]) - receiverObjectID.exp(-args[0])) / 2) < 1e-9;","AssertionRelation.UNEXPECTED",""
"FastMath","tanh(x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","assert true;","AssertionRelation.UNEXPECTED",""
"FastMath","tanh(x)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert Math.abs(methodResultID - (2 * (1 / (1 + Math.exp(-2 * args[0])))) - 1) < 1e-9;","AssertionRelation.UNEXPECTED",""
"FastMath","acosh(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert args[0] >= 1.0;","AssertionRelation.UNEXPECTED",""
"FastMath","acosh(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert Math.abs(methodResultID - Math.log(args[0] + Math.sqrt(args[0] * args[0] - 1))) < 1e-9;","AssertionRelation.UNEXPECTED",""
"FastMath","asinh(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert true;","AssertionRelation.UNEXPECTED",""
"FastMath","asinh(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert Math.abs(methodResultID - Math.log(args[0] + Math.sqrt(1 + args[0]*args[0]))) < 1e-9;","AssertionRelation.UNEXPECTED",""
"FastMath","atanh(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert true;","AssertionRelation.UNEXPECTED",""
"FastMath","atanh(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert Math.abs(methodResultID - (0.5 * Math.log((1 + args[0]) / (1 - args[0])))) < 1e-9;","AssertionRelation.UNEXPECTED",""
"FastMath","signum(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert true;","AssertionRelation.UNEXPECTED",""
"FastMath","signum(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (methodResultID == -1.0 && args[0] < 0) || (methodResultID == 1.0 && args[0] > 0) || (methodResultID == 0.0 && args[0] == 0) || (Double.isNaN(methodResultID) && Double.isNaN(args[0]));","AssertionRelation.UNEXPECTED",""
"FastMath","signum(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert true;","AssertionRelation.UNEXPECTED",""
"FastMath","signum(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (methodResultID == -1.0f && args[0] < 0) || (methodResultID == 1.0f && args[0] > 0) || (methodResultID == 0.0f && args[0] == 0) || Float.isNaN(methodResultID) && Float.isNaN(args[0]);","AssertionRelation.UNEXPECTED",""
"FastMath","nextUp(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert true;","AssertionRelation.UNEXPECTED",""
"FastMath","nextUp(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID > args[0];","AssertionRelation.UNEXPECTED",""
"FastMath","nextUp(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert true;","AssertionRelation.UNEXPECTED",""
"FastMath","nextUp(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == args[0] + receiverObjectID.ulp(args[0]);","AssertionRelation.UNEXPECTED",""
"FastMath","nextDown(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert true;","AssertionRelation.UNEXPECTED",""
"FastMath","nextDown(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID < args[0];","AssertionRelation.UNEXPECTED",""
"FastMath","nextDown(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert true;","AssertionRelation.UNEXPECTED",""
"FastMath","nextDown(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.nextDown(args[0]);","AssertionRelation.UNEXPECTED",""
"FastMath","random()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= 0.0 && methodResultID <= 1.0;","AssertionRelation.UNEXPECTED",""
"FastMath","exp(x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"FastMath","exp(x)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert Math.abs(methodResultID - Math.exp(args[0])) < 1e-12;","AssertionRelation.UNEXPECTED",""
"FastMath","expm1(x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","assert true;","AssertionRelation.UNEXPECTED",""
"FastMath","expm1(x)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert Math.abs(methodResultID - (Math.exp(args[0]) - 1)) < 1e-9;","AssertionRelation.UNEXPECTED",""
"FastMath","log(x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","assert true;","AssertionRelation.UNEXPECTED",""
"FastMath","log(x)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert Math.exp(methodResultID) == args[0];","AssertionRelation.UNEXPECTED",""
"FastMath","log1p(x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","assert true;","AssertionRelation.UNEXPECTED",""
"FastMath","log1p(x)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert Math.log(1 + args[0]) == methodResultID;","AssertionRelation.UNEXPECTED",""
"FastMath","log10(x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","assert true;","AssertionRelation.UNEXPECTED",""
"FastMath","log10(x)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert Math.abs(methodResultID - Math.log10(args[0])) < 1e-9;","AssertionRelation.UNEXPECTED",""
"FastMath","log(base x)","ConditionKind.PARAM","base","ConditionKind.PARAM","base","assert args[0]>0;","assert args[0] > 0;","AssertionRelation.IDENTICAL",""
"FastMath","log(base x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","assert args[1]>0;","assert args[1] > 0;","AssertionRelation.IDENTICAL",""
"FastMath","log(base x)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
