"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"BuildingType","net.sf.freecol.common.model.BuildingType(id specification)","ConditionKind.PARAM","id","ConditionKind.PARAM","id","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"BuildingType","net.sf.freecol.common.model.BuildingType(id specification)","ConditionKind.PARAM","specification","ConditionKind.PARAM","specification","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"BuildingType","getLevel()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= 0;","AssertionRelation.UNEXPECTED",""
"BuildingType","getWorkPlaces()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= 0;","AssertionRelation.UNEXPECTED",""
"BuildingType","getUpkeep()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= 0;","AssertionRelation.UNEXPECTED",""
"BuildingType","getPriority()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= 0;","AssertionRelation.UNEXPECTED",""
"BuildingType","getNoAddReason(unitType)","ConditionKind.PARAM","unitType","ConditionKind.PARAM","unitType","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"BuildingType","getNoAddReason(unitType)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"BuildingType","canAdd(unitType)","ConditionKind.PARAM","unitType","ConditionKind.PARAM","unitType","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"BuildingType","canAdd(unitType)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.getNoAddReason(args[0]) == null;","AssertionRelation.UNEXPECTED",""
"BuildingType","getType()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID==receiverObjectID;","assert methodResultID == receiverObjectID;","AssertionRelation.EQUIVALENT",""
"BuildingType","getUpgradesFrom()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null && receiverObjectID.equals(methodResultID.getUpgradesTo());","AssertionRelation.UNEXPECTED",""
"BuildingType","getUpgradesTo()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.getUpgradesTo();","AssertionRelation.UNEXPECTED",""
"BuildingType","getFirstLevel()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.getFirstLevel();","AssertionRelation.UNEXPECTED",""
"BuildingType","isAutomaticBuild()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID;","AssertionRelation.UNEXPECTED",""
"BuildingType","addProductionType(productionType)","ConditionKind.PARAM","productionType","ConditionKind.PARAM","productionType","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"BuildingType","getAvailableProductionTypes(unattended)","ConditionKind.PARAM","unattended","ConditionKind.PARAM","unattended","","assert args[0] == true || args[0] == false;","AssertionRelation.UNEXPECTED",""
"BuildingType","getAvailableProductionTypes(unattended)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null && !methodResultID.isEmpty();","AssertionRelation.UNEXPECTED",""
"BuildingType","getAvailableProductionTypes(unattended level)","ConditionKind.PARAM","unattended","ConditionKind.PARAM","unattended","","assert args[0] == true || args[0] == false;","AssertionRelation.UNEXPECTED",""
"BuildingType","getAvailableProductionTypes(unattended level)","ConditionKind.PARAM","level","ConditionKind.PARAM","level","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"BuildingType","getAvailableProductionTypes(unattended level)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof java.util.List && methodResultID.size() > 0;","AssertionRelation.UNEXPECTED",""
"BuildingType","getProducedGoodsType()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"BuildingType","isDefenceType()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.isDefenceType();","AssertionRelation.UNEXPECTED",""
"BuildingType","canProduce(goodsType unitType)","ConditionKind.PARAM","goodsType","ConditionKind.PARAM","goodsType","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"BuildingType","canProduce(goodsType unitType)","ConditionKind.PARAM","unitType","ConditionKind.PARAM","unitType","","assert args[1] == null || args[1] instanceof UnitType;","AssertionRelation.UNEXPECTED",""
"BuildingType","canProduce(goodsType unitType)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == canProduce(args[0], args[1]);","AssertionRelation.UNEXPECTED",""
"BuildingType","getBaseProduction(productionType goodsType unitType)","ConditionKind.PARAM","productionType","ConditionKind.PARAM","productionType","","","AssertionRelation.EMPTY",""
"BuildingType","getBaseProduction(productionType goodsType unitType)","ConditionKind.PARAM","goodsType","ConditionKind.PARAM","goodsType","","","AssertionRelation.EMPTY",""
"BuildingType","getBaseProduction(productionType goodsType unitType)","ConditionKind.PARAM","unitType","ConditionKind.PARAM","unitType","","","AssertionRelation.EMPTY",""
"BuildingType","getBaseProduction(productionType goodsType unitType)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= 0;","AssertionRelation.UNEXPECTED",""
"BuildingType","getPotentialProduction(goodsType unitType)","ConditionKind.PARAM","goodsType","ConditionKind.PARAM","goodsType","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"BuildingType","getPotentialProduction(goodsType unitType)","ConditionKind.PARAM","unitType","ConditionKind.PARAM","unitType","","assert args[1] == null || args[1] != null;","AssertionRelation.UNEXPECTED",""
"BuildingType","getPotentialProduction(goodsType unitType)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= 0;","AssertionRelation.UNEXPECTED",""
"BuildingType","getXMLElementTagName()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(""building-type"");","AssertionRelation.UNEXPECTED",""
