"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"Unit","Unit(game)","ConditionKind.PARAM","game","ConditionKind.PARAM","game","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Unit","Unit(game e)","ConditionKind.PARAM","game","ConditionKind.PARAM","game","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Unit","Unit(game e)","ConditionKind.PARAM","e","ConditionKind.PARAM","e","","assert (args[1] == null) == false;","AssertionRelation.UNEXPECTED",""
"Unit","Unit(game id)","ConditionKind.PARAM","game","ConditionKind.PARAM","game","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Unit","Unit(game id)","ConditionKind.PARAM","id","ConditionKind.PARAM","id","","assert (args[1] == null) == false;","AssertionRelation.UNEXPECTED",""
"Unit","getName()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null && !methodResultID.isEmpty();","AssertionRelation.UNEXPECTED",""
"Unit","setName(newName)","ConditionKind.PARAM","newName","ConditionKind.PARAM","newName","","assert (args[0] != null);","AssertionRelation.UNEXPECTED",""
"Unit","getApparentOwnerName()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.getRole().getNationAsString()) || (receiverObjectID.getRole() != null && receiverObjectID.getRole().isPirate());","AssertionRelation.UNEXPECTED",""
"Unit","getLabel()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof StringTemplate;","AssertionRelation.UNEXPECTED",""
"Unit","getLabel(ult)","ConditionKind.PARAM","ult","ConditionKind.PARAM","ult","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Unit","getLabel(ult)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof StringTemplate;","AssertionRelation.UNEXPECTED",""
"Unit","getDescription()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null && !methodResultID.isEmpty();","AssertionRelation.UNEXPECTED",""
"Unit","getDescription(ult)","ConditionKind.PARAM","ult","ConditionKind.PARAM","ult","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Unit","getDescription(ult)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null && !methodResultID.isEmpty();","AssertionRelation.UNEXPECTED",""
"Unit","getCombatLabel(tile)","ConditionKind.PARAM","tile","ConditionKind.PARAM","tile","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Unit","getCombatLabel(tile)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"Unit","getDestinationLabel()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"Unit","getDestinationLabel(tag destination player)","ConditionKind.PARAM","tag","ConditionKind.PARAM","tag","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Unit","getDestinationLabel(tag destination player)","ConditionKind.PARAM","destination","ConditionKind.PARAM","destination","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"Unit","getDestinationLabel(tag destination player)","ConditionKind.PARAM","player","ConditionKind.PARAM","player","","assert args[2] != null;","AssertionRelation.UNEXPECTED",""
"Unit","getDestinationLabel(tag destination player)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof StringTemplate;","AssertionRelation.UNEXPECTED",""
"Unit","getRepairLabel()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof StringTemplate;","AssertionRelation.UNEXPECTED",""
"Unit","getType()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.getType();","AssertionRelation.UNEXPECTED",""
"Unit","setType(unitType)","ConditionKind.PARAM","unitType","ConditionKind.PARAM","unitType","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Unit","changeType(unitType)","ConditionKind.PARAM","unitType","ConditionKind.PARAM","unitType","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Unit","changeType(unitType)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.getUnitTypeTeaching(args[0], null) != null;","AssertionRelation.UNEXPECTED",""
"Unit","isNaval()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.roleIsAvailable(""naval"");","AssertionRelation.UNEXPECTED",""
"Unit","isUndead()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID;","AssertionRelation.UNEXPECTED",""
"Unit","canCarryTreasure()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.canCarryTreasure();","AssertionRelation.UNEXPECTED",""
