"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"UnitLocation","net.sf.freecol.common.model.UnitLocation(game)","ConditionKind.PARAM","game","ConditionKind.PARAM","game","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"UnitLocation","net.sf.freecol.common.model.UnitLocation(game id)","ConditionKind.PARAM","game","ConditionKind.PARAM","game","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"UnitLocation","net.sf.freecol.common.model.UnitLocation(game id)","ConditionKind.PARAM","id","ConditionKind.PARAM","id","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"UnitLocation","net.sf.freecol.common.model.UnitLocation(game e)","ConditionKind.PARAM","game","ConditionKind.PARAM","game","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"UnitLocation","net.sf.freecol.common.model.UnitLocation(game e)","ConditionKind.PARAM","e","ConditionKind.PARAM","e","","assert (args[1] == null) == false;","AssertionRelation.UNEXPECTED",""
"UnitLocation","isEmpty()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == !receiverObjectID.contains(args[0]);","AssertionRelation.UNEXPECTED",""
"UnitLocation","isFull()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (receiverObjectID.getUnitCount() >= receiverObjectID.getUnitCapacity());","AssertionRelation.UNEXPECTED",""
"UnitLocation","getFirstUnit()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.getFirstUnit();","AssertionRelation.UNEXPECTED",""
"UnitLocation","getLastUnit()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.getLastUnit();","AssertionRelation.UNEXPECTED",""
"UnitLocation","getTotalUnitCount()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= 0;","AssertionRelation.UNEXPECTED",""
"UnitLocation","hasCarrierWithSpace(space)","ConditionKind.PARAM","space","ConditionKind.PARAM","space","","assert args[0] >= 0;","AssertionRelation.UNEXPECTED",""
"UnitLocation","hasCarrierWithSpace(space)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.getUnitCount() > 0 && args[0] <= receiverObjectID.getUnitCapacity();","AssertionRelation.UNEXPECTED",""
"UnitLocation","getNavalUnits()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null && methodResultID instanceof java.util.List;","AssertionRelation.UNEXPECTED",""
"UnitLocation","getCarrierForUnit(unit)","ConditionKind.PARAM","unit","ConditionKind.PARAM","unit","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"UnitLocation","getCarrierForUnit(unit)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (methodResultID == null) || receiverObjectID.contains(methodResultID);","AssertionRelation.UNEXPECTED",""
"UnitLocation","getSpaceTaken()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= 0;","AssertionRelation.UNEXPECTED",""
"UnitLocation","moveToFront(u)","ConditionKind.PARAM","u","ConditionKind.PARAM","u","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"UnitLocation","getNoAddReason(locatable)","ConditionKind.PARAM","locatable","ConditionKind.PARAM","locatable","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"UnitLocation","getNoAddReason(locatable)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != NoAddReason.NONE && !receiverObjectID.canAdd(args[0]);","AssertionRelation.UNEXPECTED",""
"UnitLocation","getUnitCapacity()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID==Integer.MAX_VALUE;","assert methodResultID == Integer.MAX_VALUE;","AssertionRelation.UNSUPPORTED","Variable 'methodResultID' used as both Type.INT and Type.REF"
"UnitLocation","priceGoods(goods)","ConditionKind.PARAM","goods","ConditionKind.PARAM","goods","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"UnitLocation","priceGoods(goods)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID < 0 || receiverObjectID.contains(args[0]);","AssertionRelation.UNEXPECTED",""
"UnitLocation","equipForRole(unit role roleCount)","ConditionKind.PARAM","unit","ConditionKind.PARAM","unit","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"UnitLocation","equipForRole(unit role roleCount)","ConditionKind.PARAM","role","ConditionKind.PARAM","role","","assert (args[1] == null) == false;","AssertionRelation.UNEXPECTED",""
"UnitLocation","equipForRole(unit role roleCount)","ConditionKind.PARAM","roleCount","ConditionKind.PARAM","roleCount","","assert args[2] >= 0;","AssertionRelation.UNEXPECTED",""
"UnitLocation","equipForRole(unit role roleCount)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.canAdd(args[0]) && args[2] <= receiverObjectID.getUnitCapacity() - receiverObjectID.getUnitCount();","AssertionRelation.UNEXPECTED",""
