"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"GraphMetrics","getDiagonal()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID == receiverObjectID.diagonal;","assert methodResultID >= 0;","AssertionRelation.UNSUPPORTED","Variable 'methodResultID' used as both Type.INT and Type.REF"
"GraphMetrics","getSize()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID.equals(receiverObjectID.size);","assert methodResultID.equals(receiverObjectID.getSize());","AssertionRelation.UNSUPPORTED","sort mismatch"
"GraphMetrics","getLowPoint()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.getLowPoint());","AssertionRelation.UNEXPECTED",""
"GraphMetrics","getHighPoint()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.getHighPoint());","AssertionRelation.UNEXPECTED",""
"GraphMetrics","lengthToGu(value units)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","","assert true;","AssertionRelation.UNEXPECTED",""
"GraphMetrics","lengthToGu(value units)","ConditionKind.PARAM","units","ConditionKind.PARAM","units","","assert true;","AssertionRelation.UNEXPECTED",""
"GraphMetrics","lengthToGu(value units)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.lengthToGu(args[0], args[1]);","AssertionRelation.UNEXPECTED",""
"GraphMetrics","lengthToGu(value)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"GraphMetrics","lengthToGu(values index)","ConditionKind.PARAM","values","ConditionKind.PARAM","values","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"GraphMetrics","lengthToGu(values index)","ConditionKind.PARAM","index","ConditionKind.PARAM","index","","assert (args[1] >= 0);","AssertionRelation.UNEXPECTED",""
"GraphMetrics","lengthToPx(value units)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","","assert true;","AssertionRelation.UNEXPECTED",""
"GraphMetrics","lengthToPx(value units)","ConditionKind.PARAM","units","ConditionKind.PARAM","units","","assert true;","AssertionRelation.UNEXPECTED",""
"GraphMetrics","lengthToPx(value units)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= 0;","AssertionRelation.UNEXPECTED",""
"GraphMetrics","lengthToPx(value)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"GraphMetrics","lengthToPx(values index)","ConditionKind.PARAM","values","ConditionKind.PARAM","values","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"GraphMetrics","lengthToPx(values index)","ConditionKind.PARAM","index","ConditionKind.PARAM","index","","assert args[1] >= 0;","AssertionRelation.UNEXPECTED",""
"GraphMetrics","setViewport(viewportX viewportY viewportWidth viewportHeight)","ConditionKind.PARAM","viewportWidth","ConditionKind.PARAM","viewportWidth","","assert args[2] >= 0;","AssertionRelation.UNEXPECTED",""
"GraphMetrics","setViewport(viewportX viewportY viewportWidth viewportHeight)","ConditionKind.PARAM","viewportHeight","ConditionKind.PARAM","viewportHeight","","assert args[3] >= 0;","AssertionRelation.UNEXPECTED",""
"GraphMetrics","setRatioPx2Gu(ratio)","ConditionKind.PARAM","ratio","ConditionKind.PARAM","ratio","","assert args[0] > 0;","AssertionRelation.UNEXPECTED",""
"GraphMetrics","setBounds(minx miny minz maxx maxy maxz)","ConditionKind.PARAM","minx","ConditionKind.PARAM","minx","","","AssertionRelation.EMPTY",""
"GraphMetrics","setBounds(minx miny minz maxx maxy maxz)","ConditionKind.PARAM","miny","ConditionKind.PARAM","miny","","","AssertionRelation.EMPTY",""
"GraphMetrics","setBounds(minx miny minz maxx maxy maxz)","ConditionKind.PARAM","minz","ConditionKind.PARAM","minz","","","AssertionRelation.EMPTY",""
"GraphMetrics","setBounds(minx miny minz maxx maxy maxz)","ConditionKind.PARAM","maxx","ConditionKind.PARAM","maxx","","","AssertionRelation.EMPTY",""
"GraphMetrics","setBounds(minx miny minz maxx maxy maxz)","ConditionKind.PARAM","maxy","ConditionKind.PARAM","maxy","","","AssertionRelation.EMPTY",""
"GraphMetrics","setBounds(minx miny minz maxx maxy maxz)","ConditionKind.PARAM","maxz","ConditionKind.PARAM","maxz","","","AssertionRelation.EMPTY",""
