"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"Environment","getGlobalEnvironment()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID==receiverObjectID.GLOBAL_ENV;","assert methodResultID == receiverObjectID.getGlobalEnvironment();","AssertionRelation.INCOMPARABLE",""
"Environment","isLocked()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.isLocked();","AssertionRelation.UNEXPECTED",""
"Environment","getParameter(parameter)","ConditionKind.PARAM","parameter","ConditionKind.PARAM","parameter","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Environment","getParameter(parameter)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert !receiverObjectID.hasParameter(args[0]) ? methodResultID.equals("""");","assert methodResultID.equals(receiverObjectID.getParameter(args[0])) || (methodResultID.isEmpty() && !receiverObjectID.hasParameter(args[0]));","AssertionRelation.UNSUPPORTED","list index out of range"
"Environment","hasParameter(parameter)","ConditionKind.PARAM","parameter","ConditionKind.PARAM","parameter","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Environment","hasParameter(parameter)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.getParameter(args[0]) != null;","AssertionRelation.UNEXPECTED",""
"Environment","getBooleanParameter(parameter)","ConditionKind.PARAM","parameter","ConditionKind.PARAM","parameter","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Environment","getBooleanParameter(parameter)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (receiverObjectID.hasParameter(args[0]) && (""1"".equalsIgnoreCase(receiverObjectID.getParameter(args[0])) || ""true"".equalsIgnoreCase(receiverObjectID.getParameter(args[0])) || ""on"".equalsIgnoreCase(receiverObjectID.getParameter(args[0])) || ""yes"".equalsIgnoreCase(receiverObjectID.getParameter(args[0]))));","AssertionRelation.UNEXPECTED",""
"Environment","getBooleanParameteri(parameter)","ConditionKind.PARAM","parameter","ConditionKind.PARAM","parameter","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Environment","getBooleanParameteri(parameter)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (methodResultID == 1) == (receiverObjectID.getBooleanParameter(args[0]) == true);","AssertionRelation.UNEXPECTED",""
"Environment","getNumberParameter(parameter)","ConditionKind.PARAM","parameter","ConditionKind.PARAM","parameter","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Environment","getNumberParameter(parameter)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (receiverObjectID.hasParameter(args[0]) && !Double.isNaN(receiverObjectID.getParameter(args[0]))) ? methodResultID == Double.parseDouble(receiverObjectID.getParameter(args[0])) : methodResultID == 0;","AssertionRelation.UNEXPECTED",""
"Environment","getParameterCount()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= 0;","AssertionRelation.UNEXPECTED",""
"Environment","getParametersKeySet()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null && !methodResultID.isEmpty();","AssertionRelation.UNEXPECTED",""
"Environment","clone()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID);","AssertionRelation.UNEXPECTED",""
"Environment","setParameter(parameter value)","ConditionKind.PARAM","parameter","ConditionKind.PARAM","parameter","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Environment","setParameter(parameter value)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"Environment","lockEnvironment(on)","ConditionKind.PARAM","on","ConditionKind.PARAM","on","assert receiverObjectID.isLocked();","assert args[0] == true;","AssertionRelation.INCOMPARABLE",""
"Environment","initializeFieldsOf(object)","ConditionKind.PARAM","object","ConditionKind.PARAM","object","","assert (args[0]==null) == false;","AssertionRelation.UNEXPECTED",""
"Environment","initializeFieldsOf(object fieldList)","ConditionKind.PARAM","object","ConditionKind.PARAM","object","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Environment","initializeFieldsOf(object fieldList)","ConditionKind.PARAM","fieldList","ConditionKind.PARAM","fieldList","","assert (args[1] != null) && !args[1].isEmpty();","AssertionRelation.UNEXPECTED",""
"Environment","initializeFieldsOf(object fieldList)","ConditionKind.PARAM","object","ConditionKind.PARAM","object","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Environment","initializeFieldsOf(object fieldList)","ConditionKind.PARAM","fieldList","ConditionKind.PARAM","fieldList","","assert (args[1] == null) == false;","AssertionRelation.UNEXPECTED",""
"Environment","printParameters(out)","ConditionKind.PARAM","out","ConditionKind.PARAM","out","","assert (args[0]==null) == false;","AssertionRelation.UNEXPECTED",""
"Environment","readCommandLine(args)","ConditionKind.PARAM","args","ConditionKind.PARAM","args","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Environment","readCommandLine(args trashcan)","ConditionKind.PARAM","args","ConditionKind.PARAM","args","","assert args != null;","AssertionRelation.UNEXPECTED",""
"Environment","readCommandLine(args trashcan)","ConditionKind.PARAM","trashcan","ConditionKind.PARAM","trashcan","","assert trashcan == null || trashcan instanceof Collection;","AssertionRelation.UNEXPECTED",""
"Environment","writeParameterFile(fileName)","ConditionKind.PARAM","fileName","ConditionKind.PARAM","fileName","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Environment","writeParameterFile(fileName)","ConditionKind.THROWS","IOException","ConditionKind.THROWS","IOException","","assert !new java.io.FileWriter(args[0]).equals(null);","AssertionRelation.UNEXPECTED",""
"Environment","readParameterFile(fileName)","ConditionKind.PARAM","fileName","ConditionKind.PARAM","fileName","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Environment","readParameterFile(fileName)","ConditionKind.THROWS","IOException","ConditionKind.THROWS","IOException","","assert !new java.io.File(args[0]).exists() || !new java.io.File(args[0]).canRead();","AssertionRelation.UNEXPECTED",""
