"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"CharMatcher","inRange(startInclusive endInclusive)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[1]<args[0];","assert args[1] < args[0];","AssertionRelation.IDENTICAL",""
"CharMatcher","matchesAnyOf(sequence)","ConditionKind.PARAM","sequence","ConditionKind.PARAM","sequence","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"CharMatcher","matchesAnyOf(sequence)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == !matchesNoneOf(args[0]);","AssertionRelation.UNEXPECTED",""
"CharMatcher","matchesAllOf(sequence)","ConditionKind.PARAM","sequence","ConditionKind.PARAM","sequence","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"CharMatcher","matchesAllOf(sequence)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (args[0].length() == 0 || java.util.stream.IntStream.range(0, args[0].length()).allMatch(i -> receiverObjectID.matches(String.valueOf(args[0].charAt(i)))));","AssertionRelation.UNEXPECTED",""
"CharMatcher","matchesNoneOf(sequence)","ConditionKind.PARAM","sequence","ConditionKind.PARAM","sequence","","assert true;","AssertionRelation.UNEXPECTED",""
"CharMatcher","matchesNoneOf(sequence)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == !receiverObjectID.matchesAllOf(args[0]);","AssertionRelation.UNEXPECTED",""
"CharMatcher","indexIn(sequence)","ConditionKind.PARAM","sequence","ConditionKind.PARAM","sequence","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"CharMatcher","indexIn(sequence)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (methodResultID != -1) == receiverObjectID.matchesAllOf(args[0]);","AssertionRelation.UNEXPECTED",""
"CharMatcher","indexIn(sequence start)","ConditionKind.PARAM","sequence","ConditionKind.PARAM","sequence","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"CharMatcher","indexIn(sequence start)","ConditionKind.PARAM","start","ConditionKind.PARAM","start","assert (args[0]<0) == false && args[1]!=null && (args[0]>args[1].length()) == false;","assert args[1] >= 0 && args[1] <= ((CharSequence)args[0]).length();","AssertionRelation.UNSUPPORTED","Variable 'args[1]' used as both Type.REF and Type.INT"
"CharMatcher","indexIn(sequence start)","ConditionKind.THROWS","IndexOutOfBoundsException","ConditionKind.THROWS","IndexOutOfBoundsException","assert args[1]<0 || args[0]!=null && args[1]>args[0].length();","assert args[1] < 0 || args[1] > args[0].length();","AssertionRelation.STRONGER",""
"CharMatcher","indexIn(sequence start)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (methodResultID == -1) || (methodResultID >= args[1]);","AssertionRelation.UNEXPECTED",""
"CharMatcher","lastIndexIn(sequence)","ConditionKind.PARAM","sequence","ConditionKind.PARAM","sequence","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"CharMatcher","lastIndexIn(sequence)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (methodResultID == -1) || receiverObjectID.matches(args[0].charAt(methodResultID));","AssertionRelation.UNEXPECTED",""
"CharMatcher","replaceFrom(sequence replacement)","ConditionKind.PARAM","sequence","ConditionKind.PARAM","sequence","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"CharMatcher","replaceFrom(sequence replacement)","ConditionKind.PARAM","replacement","ConditionKind.PARAM","replacement","","assert (args[1] == 0) == false;","AssertionRelation.UNEXPECTED",""
"CharMatcher","replaceFrom(sequence replacement)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.replaceFrom(args[0], args[1]));","AssertionRelation.UNEXPECTED",""
"CharMatcher","replaceFrom(sequence replacement)","ConditionKind.PARAM","sequence","ConditionKind.PARAM","sequence","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"CharMatcher","replaceFrom(sequence replacement)","ConditionKind.PARAM","replacement","ConditionKind.PARAM","replacement","","assert (args[1] == null) == false;","AssertionRelation.UNEXPECTED",""
"CharMatcher","replaceFrom(sequence replacement)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.replaceFrom(args[0], args[1]));","AssertionRelation.UNEXPECTED",""
"CharMatcher","collapseFrom(sequence replacement)","ConditionKind.PARAM","sequence","ConditionKind.PARAM","sequence","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"CharMatcher","collapseFrom(sequence replacement)","ConditionKind.PARAM","replacement","ConditionKind.PARAM","replacement","","assert (args[1] >= Character.MIN_VALUE) && (args[1] <= Character.MAX_VALUE);","AssertionRelation.UNEXPECTED",""
"CharMatcher","collapseFrom(sequence replacement)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.collapseFrom(args[0], args[1]));","AssertionRelation.UNEXPECTED",""
