"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"ConcurrentHashMultiset","ConcurrentHashMultiset(countMap)","ConditionKind.PARAM","countMap","ConditionKind.PARAM","countMap","assert (args[0]==null)==false && args[0].isEmpty();","assert args[0].isEmpty();","AssertionRelation.STRONGER",""
"ConcurrentHashMultiset","ConcurrentHashMultiset(countMap)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert (args[0]==null)==false && (args[0].isEmpty())==false;","assert !args[0].isEmpty();","AssertionRelation.STRONGER",""
"ConcurrentHashMultiset","create(elements)","ConditionKind.PARAM","elements","ConditionKind.PARAM","elements","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"ConcurrentHashMultiset","count(element)","ConditionKind.PARAM","element","ConditionKind.PARAM","element","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"ConcurrentHashMultiset","count(element)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= 0;","AssertionRelation.UNEXPECTED",""
"ConcurrentHashMultiset","add(element occurrences)","ConditionKind.PARAM","element","ConditionKind.PARAM","element","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"ConcurrentHashMultiset","add(element occurrences)","ConditionKind.PARAM","occurrences","ConditionKind.PARAM","occurrences","","assert args[1] >= 0;","AssertionRelation.UNEXPECTED",""
"ConcurrentHashMultiset","add(element occurrences)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[1]<0;","assert args[1] < 0 || count(args[0]) + args[1] > Integer.MAX_VALUE;","AssertionRelation.UNSUPPORTED","Expected Type.INT, got Type.REF"
"ConcurrentHashMultiset","add(element occurrences)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.count(args[0]);","AssertionRelation.UNEXPECTED",""
"ConcurrentHashMultiset","remove(element occurrences)","ConditionKind.PARAM","element","ConditionKind.PARAM","element","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"ConcurrentHashMultiset","remove(element occurrences)","ConditionKind.PARAM","occurrences","ConditionKind.PARAM","occurrences","","assert (args[1] < 0) == false;","AssertionRelation.UNEXPECTED",""
"ConcurrentHashMultiset","remove(element occurrences)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[1]<0;","assert args[1] < 0;","AssertionRelation.IDENTICAL",""
"ConcurrentHashMultiset","remove(element occurrences)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.count(args[0]);","AssertionRelation.UNEXPECTED",""
"ConcurrentHashMultiset","removeExactly(element occurrences)","ConditionKind.PARAM","element","ConditionKind.PARAM","element","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"ConcurrentHashMultiset","removeExactly(element occurrences)","ConditionKind.PARAM","occurrences","ConditionKind.PARAM","occurrences","","assert args[1] >= 0;","AssertionRelation.UNEXPECTED",""
"ConcurrentHashMultiset","removeExactly(element occurrences)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[1]<0;","assert args[1] < 0;","AssertionRelation.IDENTICAL",""
"ConcurrentHashMultiset","removeExactly(element occurrences)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (args[1] <= count(args[0]));","AssertionRelation.UNEXPECTED",""
"ConcurrentHashMultiset","setCount(element count)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[1]<0;","assert args[1] < 0;","AssertionRelation.IDENTICAL",""
"ConcurrentHashMultiset","setCount(element count)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.count(args[0]);","AssertionRelation.UNEXPECTED",""
"ConcurrentHashMultiset","setCount(element expectedOldCount newCount)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[1]<0 || args[2]<0;","assert args[1] < 0 || args[2] < 0;","AssertionRelation.IDENTICAL",""
"ConcurrentHashMultiset","setCount(element expectedOldCount newCount)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (receiverObjectID.count(args[0]) == args[1]);","AssertionRelation.UNEXPECTED",""
