"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"ImmutableSortedMap","of(k1 v1 k2 v2)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","assert ((Comparable)args[0]).compareTo(args[2]) == 0;","AssertionRelation.UNEXPECTED",""
"ImmutableSortedMap","of(k1 v1 k2 v2 k3 v3)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","assert (args[0].equals(args[2]) || args[0].equals(args[4]) || args[2].equals(args[4]));","AssertionRelation.UNEXPECTED",""
"ImmutableSortedMap","of(k1 v1 k2 v2 k3 v3 k4 v4)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","assert (args[0].equals(args[2]) || args[0].equals(args[4]) || args[0].equals(args[6])) || (args[2].equals(args[4]) || args[2].equals(args[6])) || args[4].equals(args[6]);","AssertionRelation.UNEXPECTED",""
"ImmutableSortedMap","of(k1 v1 k2 v2 k3 v3 k4 v4 k5 v5)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","assert (args[0].equals(args[2]) || args[0].equals(args[4]) || args[0].equals(args[6]) || args[0].equals(args[8])) || (args[2].equals(args[4]) || args[2].equals(args[6]) || args[2].equals(args[8])) || (args[4].equals(args[6]) || args[4].equals(args[8])) || args[6].equals(args[8]);","AssertionRelation.UNEXPECTED",""
"ImmutableSortedMap","copyOf(map)","ConditionKind.THROWS","ClassCastException","ConditionKind.THROWS","ClassCastException","","assert !(args[0] instanceof java.util.Map) || !((java.util.Map<?, ?>) args[0]).keySet().stream().allMatch(k -> k instanceof Comparable);","AssertionRelation.UNEXPECTED",""
"ImmutableSortedMap","copyOf(map)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","","assert args[0] != null && ((java.util.Map<?, ?>) args[0]).entrySet().stream().anyMatch(e -> e.getKey() == null || e.getValue() == null);","AssertionRelation.UNEXPECTED",""
"ImmutableSortedMap","copyOf(map)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","assert ((java.util.Map<?, ?>) args[0]).size() != ((java.util.Map<?, ?>) args[0]).keySet().size();","AssertionRelation.UNEXPECTED",""
"ImmutableSortedMap","copyOf(map comparator)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","","assert args[0].values().stream().anyMatch(val -> val == null) || args[0].keySet().stream().anyMatch(key -> key == null);","AssertionRelation.UNEXPECTED",""
"ImmutableSortedMap","copyOf(map comparator)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","assert args[0].keySet().stream().anyMatch(k1 -> args[0].keySet().stream().anyMatch(k2 -> k1 != k2 && args[1].compare(k1, k2) == 0));","AssertionRelation.UNEXPECTED",""
"ImmutableSortedMap","copyOf(entries)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","","assert ((java.util.Map<?, ?>)args[0]).entrySet().stream().anyMatch(e -> e.getKey() == null || e.getValue() == null);","AssertionRelation.UNEXPECTED",""
"ImmutableSortedMap","copyOf(entries)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","assert ((java.util.Map<?, ?>)args[0]).keySet().stream().anyMatch(k1 -> ((java.util.Map<?, ?>)args[0]).keySet().stream().anyMatch(k2 -> k1 != k2 && receiverObjectID.comparator().compare(k1, k2) == 0));","AssertionRelation.UNEXPECTED",""
"ImmutableSortedMap","copyOf(entries comparator)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","","assert args[0].stream().anyMatch(entry -> entry.getKey() == null || entry.getValue() == null);","AssertionRelation.UNEXPECTED",""
"ImmutableSortedMap","copyOf(entries comparator)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","assert args[0].stream().map(Map.Entry::getKey).distinct().count() != args[0].size();","AssertionRelation.UNEXPECTED",""
"ImmutableSortedMap","copyOfSorted(map)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","","assert ((java.util.Map<?, ?>)args[0]).entrySet().stream().anyMatch(entry -> entry.getKey() == null || entry.getValue() == null);","AssertionRelation.UNEXPECTED",""
"ImmutableSortedMap","orderedBy(comparator)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0] == null;","AssertionRelation.IDENTICAL",""
"ImmutableSortedMap","pollFirstEntry()","ConditionKind.THROWS","UnsupportedOperationException","ConditionKind.THROWS","UnsupportedOperationException","assert true;","assert true;","AssertionRelation.IDENTICAL",""
"ImmutableSortedMap","pollLastEntry()","ConditionKind.THROWS","UnsupportedOperationException","ConditionKind.THROWS","UnsupportedOperationException","assert true;","assert true;","AssertionRelation.IDENTICAL",""
