"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"UnicodeEscaper","escape(cp)","ConditionKind.PARAM","cp","ConditionKind.PARAM","cp","","assert (args[0] >= 0 && args[0] <= Character.MAX_CODE_POINT);","AssertionRelation.UNEXPECTED",""
"UnicodeEscaper","escape(cp)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"UnicodeEscaper","nextEscapeIndex(csq start end)","ConditionKind.PARAM","csq","ConditionKind.PARAM","csq","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"UnicodeEscaper","nextEscapeIndex(csq start end)","ConditionKind.PARAM","start","ConditionKind.PARAM","start","","assert args[1] >= 0;","AssertionRelation.UNEXPECTED",""
"UnicodeEscaper","nextEscapeIndex(csq start end)","ConditionKind.PARAM","end","ConditionKind.PARAM","end","","assert args[2] >= 0 && args[2] > args[1];","AssertionRelation.UNEXPECTED",""
"UnicodeEscaper","nextEscapeIndex(csq start end)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","assert !isValidSurrogatePair(args[0], args[1], args[2]);","AssertionRelation.UNEXPECTED",""
"UnicodeEscaper","escape(string)","ConditionKind.PARAM","string","ConditionKind.PARAM","string","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"UnicodeEscaper","escape(string)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0] == null;","AssertionRelation.IDENTICAL",""
"UnicodeEscaper","escape(string)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","assert receiverObjectID.nextEscapeIndex(args[0], 0, args[0].length()) != -1;","AssertionRelation.UNEXPECTED",""
"UnicodeEscaper","escape(string)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.escape(args[0]));","AssertionRelation.UNEXPECTED",""
"UnicodeEscaper","escapeSlow(s index)","ConditionKind.PARAM","s","ConditionKind.PARAM","s","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"UnicodeEscaper","escapeSlow(s index)","ConditionKind.PARAM","index","ConditionKind.PARAM","index","","assert args[1] >= 0;","AssertionRelation.UNEXPECTED",""
"UnicodeEscaper","escapeSlow(s index)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0] == null;","AssertionRelation.IDENTICAL",""
"UnicodeEscaper","escapeSlow(s index)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","assert !Character.isValidCodePoint(codePointAt(args[0], args[1], args[0].length()));","AssertionRelation.UNEXPECTED",""
"UnicodeEscaper","escapeSlow(s index)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(escapeSlow(args[0], args[1]));","AssertionRelation.UNEXPECTED",""
"UnicodeEscaper","codePointAt(seq index end)","ConditionKind.PARAM","seq","ConditionKind.PARAM","seq","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"UnicodeEscaper","codePointAt(seq index end)","ConditionKind.PARAM","index","ConditionKind.PARAM","index","","assert args[1] >= 0 && args[1] < args[2];","AssertionRelation.UNEXPECTED",""
"UnicodeEscaper","codePointAt(seq index end)","ConditionKind.PARAM","end","ConditionKind.PARAM","end","","assert args[2] > args[1];","AssertionRelation.UNEXPECTED",""
"UnicodeEscaper","codePointAt(seq index end)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.codePointAt(args[0], args[1], args[2]);","AssertionRelation.UNEXPECTED",""
