"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"Floats","hashCode(value)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","","assert true;","AssertionRelation.UNEXPECTED",""
"Floats","hashCode(value)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == Float.hashCode(args[0]);","AssertionRelation.UNEXPECTED",""
"Floats","compare(a b)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert true;","AssertionRelation.UNEXPECTED",""
"Floats","compare(a b)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","","assert true;","AssertionRelation.UNEXPECTED",""
"Floats","compare(a b)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == Float.compare(args[0], args[1]);","AssertionRelation.UNEXPECTED",""
"Floats","contains(array target)","ConditionKind.PARAM","array","ConditionKind.PARAM","array","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Floats","contains(array target)","ConditionKind.PARAM","target","ConditionKind.PARAM","target","","assert !Float.isNaN(args[1]);","AssertionRelation.UNEXPECTED",""
"Floats","contains(array target)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (indexOf(args[0], args[1]) != -1) && !Float.isNaN(args[1]);","AssertionRelation.UNEXPECTED",""
"Floats","indexOf(array target)","ConditionKind.PARAM","array","ConditionKind.PARAM","array","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Floats","indexOf(array target)","ConditionKind.PARAM","target","ConditionKind.PARAM","target","","assert !Float.isNaN(args[1]);","AssertionRelation.UNEXPECTED",""
"Floats","indexOf(array target)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (args[0].contains(args[1]) ? indexOf(args[0], args[1]) : -1);","AssertionRelation.UNEXPECTED",""
"Floats","indexOf(array target)","ConditionKind.PARAM","array","ConditionKind.PARAM","array","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Floats","indexOf(array target)","ConditionKind.PARAM","target","ConditionKind.PARAM","target","","assert (args[1] == null) == false;","AssertionRelation.UNEXPECTED",""
"Floats","lastIndexOf(array target)","ConditionKind.PARAM","array","ConditionKind.PARAM","array","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Floats","lastIndexOf(array target)","ConditionKind.PARAM","target","ConditionKind.PARAM","target","","assert !Float.isNaN(args[1]);","AssertionRelation.UNEXPECTED",""
"Floats","lastIndexOf(array target)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.lastIndexOf(args[0], args[1]);","AssertionRelation.UNEXPECTED",""
"Floats","min(array)","ConditionKind.PARAM","array","ConditionKind.PARAM","array","assert args[0]!=null && (args[0].length==0)==false;","assert args[0].length > 0;","AssertionRelation.INCOMPARABLE",""
"Floats","min(array)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[0]!=null && args[0].length==0;","assert args[0].length == 0;","AssertionRelation.STRONGER",""
"Floats","min(array)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == args[0][0] || (methodResultID <= args[0][0] && methodResultID <= args[0][1]);","AssertionRelation.UNEXPECTED",""
"Floats","max(array)","ConditionKind.PARAM","array","ConditionKind.PARAM","array","assert args[0]!=null && (args[0].length==0)==false;","assert args[0].length > 0;","AssertionRelation.INCOMPARABLE",""
"Floats","max(array)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[0]!=null && args[0].length==0;","assert args[0].length == 0;","AssertionRelation.STRONGER",""
"Floats","max(array)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= args[0] && (indexOf(args[0], methodResultID) != -1);","AssertionRelation.UNEXPECTED",""
"Floats","concat(arrays)","ConditionKind.PARAM","arrays","ConditionKind.PARAM","arrays","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Floats","concat(arrays)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert java.util.Arrays.equals(methodResultID, concat(args[0]));","AssertionRelation.UNEXPECTED",""
"Floats","ensureCapacity(array minLength padding)","ConditionKind.PARAM","array","ConditionKind.PARAM","array","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
