class_fqn,param_precision,param_recall,return_precision,return_recall,throws_precision,throws_recall,overall_precision,overall_recall,overall_f1
CharMatcher,0.0,0.0,0.0,,0.5,0.5,0.041666666666666664,0.3333333333333333,
Converter,1.0,1.0,0.0,0.0,0.0,,0.4,0.4,
MoreObjects,0.0,,0.0,0.0,1.0,1.0,0.2,0.5,
Splitter,0.1,0.5,0.0,,0.0,0.0,0.04,0.3333333333333333,
Strings,0.0,0.0,0.0,0.0,1.0,1.0,0.05555555555555555,0.14285714285714285,
Throwables,0.0,0.0,0.0,,,,0.0,0.0,
Verify,0.0,,0.0,0.0,0.5,0.5,0.18181818181818182,0.3333333333333333,
CacheLoader,0.16666666666666666,0.2,0.0,0.0,0.0,,0.0625,0.14285714285714285,
ArrayListMultimap,0.0,,,,1.0,1.0,0.25,1.0,
ConcurrentHashMultiset,0.0,0.0,0.0,,0.6666666666666666,0.6666666666666666,0.19047619047619047,0.5714285714285714,
ImmutableSortedMapFauxverideShim,,,,,1.0,1.0,1.0,1.0,
ImmutableSortedMap,,,,,0.17647058823529413,1.0,0.17647058823529413,1.0,
Iterators,0.0,,0.0,,0.36363636363636365,0.8,0.09090909090909091,0.8,
UnicodeEscaper,0.0,,0.0,,0.4,1.0,0.1111111111111111,1.0,
BloomFilter,0.5625,1.0,0.0,,0.0,0.0,0.47368421052631576,0.9,
Hashing,1.0,1.0,,,0.0,,0.3333333333333333,1.0,
Doubles,0.0,0.0,0.0,,0.25,0.25,0.027777777777777776,0.16666666666666666,
Floats,0.0,0.0,0.0,,0.25,0.25,0.027777777777777776,0.16666666666666666,
Shorts,0.0,0.0,0.0,,0.3333333333333333,0.3333333333333333,0.04878048780487805,0.25,
AtomicDoubleArray,0.0,,0.0,,1.0,1.0,0.03571428571428571,1.0,
