class_fqn,param_precision,param_recall,return_precision,return_recall,throws_precision,throws_recall,overall_precision,overall_recall,overall_f1
Graph,0.0,,0.0,0.0,0.7142857142857143,0.5555555555555556,0.10204081632653061,0.38461538461538464,
CompleteGraphGenerator,0.0,,,,1.0,1.0,0.5,1.0,
Graphs,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
EmptyGraphGenerator,0.0,,,,1.0,1.0,0.5,1.0,
AbstractPathElementList,0.0,,,,0.3333333333333333,0.4,0.18181818181818182,0.4,
LinearGraphGenerator,0.0,,,,1.0,1.0,0.5,1.0,
KShortestPaths,0.0,,0.0,,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.3333333333333333,
AbstractGraph,0.0,,0.0,,0.5,0.5,0.07692307692307693,0.5,
DirectedSimpleCycles,0.0,,0.0,0.0,1.0,1.0,0.4,0.6666666666666666,
GraphDelegator,0.0,,,,1.0,1.0,0.5,1.0,
PatonCycleBase,0.0,,,,1.0,1.0,0.5,1.0,
