"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"Graphs","addEdge(g sourceVertex targetVertex weight)","ConditionKind.PARAM","g","ConditionKind.PARAM","g","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Graphs","addEdge(g sourceVertex targetVertex weight)","ConditionKind.PARAM","sourceVertex","ConditionKind.PARAM","sourceVertex","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"Graphs","addEdge(g sourceVertex targetVertex weight)","ConditionKind.PARAM","targetVertex","ConditionKind.PARAM","targetVertex","","assert args[2] != null;","AssertionRelation.UNEXPECTED",""
"Graphs","addEdge(g sourceVertex targetVertex weight)","ConditionKind.PARAM","weight","ConditionKind.PARAM","weight","","assert !Double.isNaN(args[3]);","AssertionRelation.UNEXPECTED",""
"Graphs","addEdge(g sourceVertex targetVertex weight)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Graphs","addEdgeWithVertices(g sourceVertex targetVertex)","ConditionKind.PARAM","g","ConditionKind.PARAM","g","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Graphs","addEdgeWithVertices(g sourceVertex targetVertex)","ConditionKind.PARAM","sourceVertex","ConditionKind.PARAM","sourceVertex","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"Graphs","addEdgeWithVertices(g sourceVertex targetVertex)","ConditionKind.PARAM","targetVertex","ConditionKind.PARAM","targetVertex","","assert args[2] != null;","AssertionRelation.UNEXPECTED",""
"Graphs","addEdgeWithVertices(g sourceVertex targetVertex)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Graphs","addEdgeWithVertices(targetGraph sourceGraph edge)","ConditionKind.PARAM","targetGraph","ConditionKind.PARAM","targetGraph","","assert (args[0]==null) == false;","AssertionRelation.UNEXPECTED",""
"Graphs","addEdgeWithVertices(targetGraph sourceGraph edge)","ConditionKind.PARAM","sourceGraph","ConditionKind.PARAM","sourceGraph","","assert (args[1]==null) == false;","AssertionRelation.UNEXPECTED",""
"Graphs","addEdgeWithVertices(targetGraph sourceGraph edge)","ConditionKind.PARAM","edge","ConditionKind.PARAM","edge","","assert (args[2]==null) == false;","AssertionRelation.UNEXPECTED",""
"Graphs","addEdgeWithVertices(targetGraph sourceGraph edge)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert (args[0]==null)==false && (args[0].containsEdge(args[2]))==false?methodResultID==true:methodResultID==false;","","AssertionRelation.MISSING",""
"Graphs","addEdgeWithVertices(g sourceVertex targetVertex weight)","ConditionKind.PARAM","g","ConditionKind.PARAM","g","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Graphs","addEdgeWithVertices(g sourceVertex targetVertex weight)","ConditionKind.PARAM","sourceVertex","ConditionKind.PARAM","sourceVertex","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"Graphs","addEdgeWithVertices(g sourceVertex targetVertex weight)","ConditionKind.PARAM","targetVertex","ConditionKind.PARAM","targetVertex","","assert args[2] != null;","AssertionRelation.UNEXPECTED",""
"Graphs","addEdgeWithVertices(g sourceVertex targetVertex weight)","ConditionKind.PARAM","weight","ConditionKind.PARAM","weight","","assert !Double.isNaN(args[3]);","AssertionRelation.UNEXPECTED",""
"Graphs","addEdgeWithVertices(g sourceVertex targetVertex weight)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Graphs","addGraph(destination source)","ConditionKind.PARAM","destination","ConditionKind.PARAM","destination","","assert args[0]!=null;","AssertionRelation.UNEXPECTED",""
"Graphs","addGraph(destination source)","ConditionKind.PARAM","source","ConditionKind.PARAM","source","","assert args[1]!=null;","AssertionRelation.UNEXPECTED",""
"Graphs","addGraph(destination source)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Graphs","addGraphReversed(destination source)","ConditionKind.PARAM","destination","ConditionKind.PARAM","destination","","assert (args[0] != null);","AssertionRelation.UNEXPECTED",""
"Graphs","addGraphReversed(destination source)","ConditionKind.PARAM","source","ConditionKind.PARAM","source","","assert (args[1] != null);","AssertionRelation.UNEXPECTED",""
"Graphs","addAllEdges(destination source edges)","ConditionKind.PARAM","destination","ConditionKind.PARAM","destination","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Graphs","addAllEdges(destination source edges)","ConditionKind.PARAM","source","ConditionKind.PARAM","source","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"Graphs","addAllEdges(destination source edges)","ConditionKind.PARAM","edges","ConditionKind.PARAM","edges","","assert args[2] != null;","AssertionRelation.UNEXPECTED",""
"Graphs","addAllEdges(destination source edges)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Graphs","addAllVertices(destination vertices)","ConditionKind.PARAM","destination","ConditionKind.PARAM","destination","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"Graphs","addAllVertices(destination vertices)","ConditionKind.PARAM","vertices","ConditionKind.PARAM","vertices","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"Graphs","addAllVertices(destination vertices)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert (args[1]==null)==false && args[1].contains(null)||args[1]==null;","assert args[1] == null || args[1].contains(null);","AssertionRelation.EQUIVALENT",""
"Graphs","addAllVertices(destination vertices)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Graphs","neighborListOf(g vertex)","ConditionKind.PARAM","g","ConditionKind.PARAM","g","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Graphs","neighborListOf(g vertex)","ConditionKind.PARAM","vertex","ConditionKind.PARAM","vertex","","assert (args[1] == null) == false;","AssertionRelation.UNEXPECTED",""
"Graphs","neighborListOf(g vertex)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.size() == g.edgesOf(args[1]).size();","AssertionRelation.UNEXPECTED",""
"Graphs","predecessorListOf(g vertex)","ConditionKind.PARAM","g","ConditionKind.PARAM","g","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Graphs","predecessorListOf(g vertex)","ConditionKind.PARAM","vertex","ConditionKind.PARAM","vertex","","assert (args[1] == null) == false;","AssertionRelation.UNEXPECTED",""
"Graphs","predecessorListOf(g vertex)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Graphs","successorListOf(g vertex)","ConditionKind.PARAM","g","ConditionKind.PARAM","g","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Graphs","successorListOf(g vertex)","ConditionKind.PARAM","vertex","ConditionKind.PARAM","vertex","","assert (args[1] == null) == false;","AssertionRelation.UNEXPECTED",""
"Graphs","successorListOf(g vertex)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.size() == g.successorListOf(args[0], args[1]).size();","AssertionRelation.UNEXPECTED",""
"Graphs","undirectedGraph(g)","ConditionKind.PARAM","g","ConditionKind.PARAM","g","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Graphs","undirectedGraph(g)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert !(args[0] instanceof org.jgrapht.DirectedGraph) && !(args[0] instanceof org.jgrapht.UndirectedGraph);","assert !(args[0] instanceof DirectedGraph) && !(args[0] instanceof UndirectedGraph);","AssertionRelation.EQUIVALENT",""
"Graphs","undirectedGraph(g)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Graphs","testIncidence(g e v)","ConditionKind.PARAM","g","ConditionKind.PARAM","g","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Graphs","testIncidence(g e v)","ConditionKind.PARAM","e","ConditionKind.PARAM","e","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"Graphs","testIncidence(g e v)","ConditionKind.PARAM","v","ConditionKind.PARAM","v","","assert args[2] != null;","AssertionRelation.UNEXPECTED",""
"Graphs","testIncidence(g e v)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (args[1] == args[0].getEdgeSource(args[2]) || args[1] == args[0].getEdgeTarget(args[2]));","AssertionRelation.UNEXPECTED",""
"Graphs","getOppositeVertex(g e v)","ConditionKind.PARAM","g","ConditionKind.PARAM","g","","assert receiverObjectID.testIncidence(args[0], args[1], args[2]);","AssertionRelation.UNEXPECTED",""
"Graphs","getOppositeVertex(g e v)","ConditionKind.PARAM","e","ConditionKind.PARAM","e","","assert receiverObjectID.testIncidence(args[0], args[1], args[2]);","AssertionRelation.UNEXPECTED",""
"Graphs","getOppositeVertex(g e v)","ConditionKind.PARAM","v","ConditionKind.PARAM","v","","assert receiverObjectID.testIncidence(args[0], args[1], args[2]);","AssertionRelation.UNEXPECTED",""
"Graphs","getOppositeVertex(g e v)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.getOppositeVertex(args[0], args[1], args[2]);","AssertionRelation.UNEXPECTED",""
"Graphs","getPathVertexList(path)","ConditionKind.PARAM","path","ConditionKind.PARAM","path","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"Graphs","getPathVertexList(path)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.getPathVertexList(args[0]));","AssertionRelation.UNEXPECTED",""
