"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"EntryReader","EntryReader(in charsetName filename comment_re_string include_re_string)","ConditionKind.PARAM","in","ConditionKind.PARAM","in","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"EntryReader","EntryReader(in charsetName filename comment_re_string include_re_string)","ConditionKind.PARAM","charsetName","ConditionKind.PARAM","charsetName","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"EntryReader","EntryReader(in charsetName filename comment_re_string include_re_string)","ConditionKind.PARAM","filename","ConditionKind.PARAM","filename","assert args[2]!=null;","assert args[2] != null;","AssertionRelation.IDENTICAL",""
"EntryReader","EntryReader(in charsetName filename comment_re_string include_re_string)","ConditionKind.PARAM","comment_re_string","ConditionKind.PARAM","comment_re_string","","assert args[3] != null;","AssertionRelation.UNEXPECTED",""
"EntryReader","EntryReader(in charsetName filename comment_re_string include_re_string)","ConditionKind.PARAM","include_re_string","ConditionKind.PARAM","include_re_string","","assert args[4] != null;","AssertionRelation.UNEXPECTED",""
"EntryReader","EntryReader(in charsetName filename comment_re_string include_re_string)","ConditionKind.THROWS","UnsupportedEncodingException","ConditionKind.THROWS","UnsupportedEncodingException","","assert java.nio.charset.Charset.isSupported(args[1]) == false;","AssertionRelation.UNEXPECTED",""
"EntryReader","EntryReader(in charsetName filename)","ConditionKind.PARAM","in","ConditionKind.PARAM","in","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"EntryReader","EntryReader(in charsetName filename)","ConditionKind.PARAM","charsetName","ConditionKind.PARAM","charsetName","","assert (args[1] == null) == false;","AssertionRelation.UNEXPECTED",""
"EntryReader","EntryReader(in charsetName filename)","ConditionKind.PARAM","filename","ConditionKind.PARAM","filename","","assert (args[2] == null) == false;","AssertionRelation.UNEXPECTED",""
"EntryReader","EntryReader(in charsetName filename)","ConditionKind.THROWS","UnsupportedEncodingException","ConditionKind.THROWS","UnsupportedEncodingException","","assert java.nio.charset.Charset.forName(args[1]) == null;","AssertionRelation.UNEXPECTED",""
"EntryReader","EntryReader(in filename comment_re_string include_re_string)","ConditionKind.PARAM","in","ConditionKind.PARAM","in","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"EntryReader","EntryReader(in filename comment_re_string include_re_string)","ConditionKind.PARAM","filename","ConditionKind.PARAM","filename","assert (args[1]==null)==false;","assert args[1] != null;","AssertionRelation.EQUIVALENT",""
"EntryReader","EntryReader(in filename comment_re_string include_re_string)","ConditionKind.PARAM","comment_re_string","ConditionKind.PARAM","comment_re_string","","assert args[2] != null;","AssertionRelation.UNEXPECTED",""
"EntryReader","EntryReader(in filename comment_re_string include_re_string)","ConditionKind.PARAM","include_re_string","ConditionKind.PARAM","include_re_string","","assert args[3] != null;","AssertionRelation.UNEXPECTED",""
"EntryReader","EntryReader(in filename)","ConditionKind.PARAM","in","ConditionKind.PARAM","in","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"EntryReader","EntryReader(in filename)","ConditionKind.PARAM","filename","ConditionKind.PARAM","filename","","assert (args[1] != null);","AssertionRelation.UNEXPECTED",""
