"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"FuzzyFloat","plume.FuzzyFloat(rel_diff)","ConditionKind.PARAM","rel_diff","ConditionKind.PARAM","rel_diff","","assert true;","AssertionRelation.UNEXPECTED",""
"FuzzyFloat","set_rel_diff(rel_diff)","ConditionKind.PARAM","rel_diff","ConditionKind.PARAM","rel_diff","","assert true;","AssertionRelation.UNEXPECTED",""
"FuzzyFloat","ne(d1 d2)","ConditionKind.PARAM","d1","ConditionKind.PARAM","d1","","assert true;","AssertionRelation.UNEXPECTED",""
"FuzzyFloat","ne(d1 d2)","ConditionKind.PARAM","d2","ConditionKind.PARAM","d2","","assert true;","AssertionRelation.UNEXPECTED",""
"FuzzyFloat","ne(d1 d2)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert args[0]!=args[1] ? methodResultID==true:methodResultID==false;","assert methodResultID == (args[0] != args[1]);","AssertionRelation.EQUIVALENT",""
"FuzzyFloat","lt(d1 d2)","ConditionKind.PARAM","d1","ConditionKind.PARAM","d1","","assert true;","AssertionRelation.UNEXPECTED",""
"FuzzyFloat","lt(d1 d2)","ConditionKind.PARAM","d2","ConditionKind.PARAM","d2","","assert true;","AssertionRelation.UNEXPECTED",""
"FuzzyFloat","lt(d1 d2)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert args[0]<args[1] ? methodResultID==true:methodResultID==false;","assert methodResultID == (args[0] < args[1]);","AssertionRelation.EQUIVALENT",""
"FuzzyFloat","lte(d1 d2)","ConditionKind.PARAM","d1","ConditionKind.PARAM","d1","","assert true;","AssertionRelation.UNEXPECTED",""
"FuzzyFloat","lte(d1 d2)","ConditionKind.PARAM","d2","ConditionKind.PARAM","d2","","assert true;","AssertionRelation.UNEXPECTED",""
"FuzzyFloat","lte(d1 d2)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert args[0]<=args[1] ? methodResultID==true:methodResultID==false;","assert methodResultID == (args[0] <= args[1]);","AssertionRelation.EQUIVALENT",""
"FuzzyFloat","gt(d1 d2)","ConditionKind.PARAM","d1","ConditionKind.PARAM","d1","","assert true;","AssertionRelation.UNEXPECTED",""
"FuzzyFloat","gt(d1 d2)","ConditionKind.PARAM","d2","ConditionKind.PARAM","d2","","assert true;","AssertionRelation.UNEXPECTED",""
"FuzzyFloat","gt(d1 d2)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert args[0]>args[1] ? methodResultID==true:methodResultID==false;","assert methodResultID == (args[0] > args[1]);","AssertionRelation.EQUIVALENT",""
"FuzzyFloat","gte(d1 d2)","ConditionKind.PARAM","d1","ConditionKind.PARAM","d1","","assert true;","AssertionRelation.UNEXPECTED",""
"FuzzyFloat","gte(d1 d2)","ConditionKind.PARAM","d2","ConditionKind.PARAM","d2","","assert true;","AssertionRelation.UNEXPECTED",""
"FuzzyFloat","gte(d1 d2)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert args[0]>args[1] ? methodResultID==true:methodResultID==false;","assert methodResultID == (args[0] >= args[1]);","AssertionRelation.INCOMPARABLE",""
"FuzzyFloat","indexOf(a elt)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"FuzzyFloat","indexOf(a elt)","ConditionKind.PARAM","elt","ConditionKind.PARAM","elt","","assert (args[1] == null) == false;","AssertionRelation.UNEXPECTED",""
"FuzzyFloat","indexOf(a elt)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FuzzyFloat","indexOf(a sub)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"FuzzyFloat","indexOf(a sub)","ConditionKind.PARAM","sub","ConditionKind.PARAM","sub","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"FuzzyFloat","indexOf(a sub)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.indexOf(args[0], args[1]);","AssertionRelation.UNEXPECTED",""
"FuzzyFloat","isElemMatch(a1 a2)","ConditionKind.PARAM","a1","ConditionKind.PARAM","a1","","assert true;","AssertionRelation.UNEXPECTED",""
"FuzzyFloat","isElemMatch(a1 a2)","ConditionKind.PARAM","a2","ConditionKind.PARAM","a2","","assert true;","AssertionRelation.UNEXPECTED",""
"FuzzyFloat","isElemMatch(a1 a2)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResult == (java.util.Arrays.equals(java.util.Arrays.sort(args[0]), java.util.Arrays.sort(args[1])));","AssertionRelation.UNEXPECTED",""
"FuzzyFloat","isSubset(smaller bigger)","ConditionKind.PARAM","smaller","ConditionKind.PARAM","smaller","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"FuzzyFloat","isSubset(smaller bigger)","ConditionKind.PARAM","bigger","ConditionKind.PARAM","bigger","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"FuzzyFloat","isSubset(smaller bigger)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResult == java.util.Arrays.stream(args[0]).allMatch(val -> java.util.Arrays.stream(args[1]).anyMatch(bigVal -> receiverObjectID.eq(val, bigVal)));","AssertionRelation.UNEXPECTED",""
