"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"MathMDE","negate(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert true;","AssertionRelation.UNEXPECTED",""
"MathMDE","negate(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == -args[0];","AssertionRelation.UNEXPECTED",""
"MathMDE","negate(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert true;","AssertionRelation.UNEXPECTED",""
"MathMDE","negate(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == -args[0];","AssertionRelation.UNEXPECTED",""
"MathMDE","negate(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert true;","AssertionRelation.UNEXPECTED",""
"MathMDE","negate(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == -args[0];","AssertionRelation.UNEXPECTED",""
"MathMDE","bitwiseComplement(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert true;","AssertionRelation.UNEXPECTED",""
"MathMDE","bitwiseComplement(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == ~args[0];","AssertionRelation.UNEXPECTED",""
"MathMDE","bitwiseComplement(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert true;","AssertionRelation.UNEXPECTED",""
"MathMDE","bitwiseComplement(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == ~args[0];","AssertionRelation.UNEXPECTED",""
"MathMDE","mul(x y)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","assert true;","AssertionRelation.UNEXPECTED",""
"MathMDE","mul(x y)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","assert true;","AssertionRelation.UNEXPECTED",""
"MathMDE","mul(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==args[0]*args[1];","assert methodResultID == args[0] * args[1];","AssertionRelation.EQUIVALENT",""
"MathMDE","mul(x y)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","assert true;","AssertionRelation.UNEXPECTED",""
"MathMDE","mul(x y)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","assert true;","AssertionRelation.UNEXPECTED",""
"MathMDE","mul(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==args[0]*args[1];","assert methodResultID == args[0] * args[1];","AssertionRelation.EQUIVALENT",""
"MathMDE","mul(x y)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","assert true;","AssertionRelation.UNEXPECTED",""
"MathMDE","mul(x y)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","assert true;","AssertionRelation.UNEXPECTED",""
"MathMDE","mul(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==args[0]*args[1];","assert methodResultID == args[0] * args[1];","AssertionRelation.EQUIVALENT",""
"MathMDE","div(x y)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","assert true;","AssertionRelation.UNEXPECTED",""
"MathMDE","div(x y)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","assert args[1] != 0;","AssertionRelation.UNEXPECTED",""
"MathMDE","div(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==args[0]/args[1];","assert methodResultID == args[0] / args[1];","AssertionRelation.EQUIVALENT",""
"MathMDE","div(x y)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","assert true;","AssertionRelation.UNEXPECTED",""
"MathMDE","div(x y)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","assert args[1] != 0;","AssertionRelation.UNEXPECTED",""
"MathMDE","div(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==args[0]/args[1];","assert methodResultID == args[0] / args[1];","AssertionRelation.EQUIVALENT",""
"MathMDE","div(x y)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","assert true;","AssertionRelation.UNEXPECTED",""
"MathMDE","div(x y)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","assert args[1] != 0;","AssertionRelation.UNEXPECTED",""
"MathMDE","div(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==args[0]/args[1];","assert methodResultID == args[0] / args[1];","AssertionRelation.EQUIVALENT",""
"MathMDE","mod(x y)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","assert true;","AssertionRelation.UNEXPECTED",""
"MathMDE","mod(x y)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","assert true;","AssertionRelation.UNEXPECTED",""
"MathMDE","mod(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==args[0]%args[1];","assert methodResultID == args[0] % args[1];","AssertionRelation.EQUIVALENT",""
"MathMDE","mod(x y)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","assert true;","AssertionRelation.UNEXPECTED",""
"MathMDE","mod(x y)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","assert args[1] != 0;","AssertionRelation.UNEXPECTED",""
"MathMDE","mod(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==args[0]%args[1];","assert methodResultID == args[0] % args[1];","AssertionRelation.EQUIVALENT",""
"MathMDE","lshift(x y)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","assert true;","AssertionRelation.UNEXPECTED",""
"MathMDE","lshift(x y)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","assert true;","AssertionRelation.UNEXPECTED",""
"MathMDE","lshift(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==args[0]<<args[1];","assert methodResult == (args[0] << args[1]);","AssertionRelation.INCOMPARABLE",""
"MathMDE","lshift(x y)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","assert true;","AssertionRelation.UNEXPECTED",""
"MathMDE","lshift(x y)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","assert true;","AssertionRelation.UNEXPECTED",""
"MathMDE","lshift(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==args[0]<<args[1];","assert methodResult == (args[0] << args[1]);","AssertionRelation.INCOMPARABLE",""
"MathMDE","rshiftSigned(x y)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","assert true;","AssertionRelation.UNEXPECTED",""
"MathMDE","rshiftSigned(x y)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","assert true;","AssertionRelation.UNEXPECTED",""
"MathMDE","rshiftSigned(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==args[0]>>args[1];","assert methodResultID == (args[0] >> args[1]);","AssertionRelation.EQUIVALENT",""
"MathMDE","rshiftSigned(x y)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","assert true;","AssertionRelation.UNEXPECTED",""
"MathMDE","rshiftSigned(x y)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","assert true;","AssertionRelation.UNEXPECTED",""
