"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"StrTok","StrTok(s)","ConditionKind.PARAM","s","ConditionKind.PARAM","s","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"StrTok","StrTok(s e)","ConditionKind.PARAM","s","ConditionKind.PARAM","s","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"StrTok","StrTok(s e)","ConditionKind.PARAM","e","ConditionKind.PARAM","e","","assert (args[1] == null) == false;","AssertionRelation.UNEXPECTED",""
"StrTok","nextToken()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (methodResultID == null && receiverObjectID.ttype() == -1) || (methodResultID != null);","AssertionRelation.UNEXPECTED",""
"StrTok","token()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.token();","AssertionRelation.UNEXPECTED",""
"StrTok","commentChar(ch)","ConditionKind.PARAM","ch","ConditionKind.PARAM","ch","","assert true;","AssertionRelation.UNEXPECTED",""
"StrTok","quoteChar(ch)","ConditionKind.PARAM","ch","ConditionKind.PARAM","ch","","assert true;","AssertionRelation.UNEXPECTED",""
"StrTok","ttype()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.ttype();","AssertionRelation.UNEXPECTED",""
"StrTok","isWord()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID;","AssertionRelation.UNEXPECTED",""
"StrTok","isQString()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID;","AssertionRelation.UNEXPECTED",""
"StrTok","set_error_handler(errorHandler)","ConditionKind.PARAM","errorHandler","ConditionKind.PARAM","errorHandler","","assert (args[0] != null);","AssertionRelation.UNEXPECTED",""
"StrTok","need(tok)","ConditionKind.PARAM","tok","ConditionKind.PARAM","tok","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"StrTok","need_word()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null && receiverObjectID.isWord();","AssertionRelation.UNEXPECTED",""
