"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"UtilMDE","intersectionCardinalityAtLeast(a b i)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"UtilMDE","intersectionCardinalityAtLeast(a b i)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","","assert (args[1] == null) == false;","AssertionRelation.UNEXPECTED",""
"UtilMDE","intersectionCardinalityAtLeast(a b i)","ConditionKind.PARAM","i","ConditionKind.PARAM","i","","assert (args[2] >= 0);","AssertionRelation.UNEXPECTED",""
"UtilMDE","intersectionCardinalityAtLeast(a b i)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert receiverObjectID.intersectionCardinality(args[0],args[1])>=args[2] ? methodResultID==true;","","AssertionRelation.MISSING",""
"UtilMDE","intersectionCardinalityAtLeast(a b c i)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"UtilMDE","intersectionCardinalityAtLeast(a b c i)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"UtilMDE","intersectionCardinalityAtLeast(a b c i)","ConditionKind.PARAM","c","ConditionKind.PARAM","c","","assert args[2] != null;","AssertionRelation.UNEXPECTED",""
"UtilMDE","intersectionCardinalityAtLeast(a b c i)","ConditionKind.PARAM","i","ConditionKind.PARAM","i","","assert args[3] >= 0;","AssertionRelation.UNEXPECTED",""
"UtilMDE","intersectionCardinalityAtLeast(a b c i)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert receiverObjectID.intersectionCardinality(args[0],args[1],args[2])>=args[3] ? methodResultID==true;","","AssertionRelation.MISSING",""
"UtilMDE","intersectionCardinality(a b)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"UtilMDE","intersectionCardinality(a b)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","","assert (args[1] == null) == false;","AssertionRelation.UNEXPECTED",""
"UtilMDE","intersectionCardinality(a b)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == intersectionCardinality(args[0], args[1]);","AssertionRelation.UNEXPECTED",""
"UtilMDE","intersectionCardinality(a b c)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"UtilMDE","intersectionCardinality(a b c)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","","assert (args[1] == null) == false;","AssertionRelation.UNEXPECTED",""
"UtilMDE","intersectionCardinality(a b c)","ConditionKind.PARAM","c","ConditionKind.PARAM","c","","assert (args[2] == null) == false;","AssertionRelation.UNEXPECTED",""
"UtilMDE","intersectionCardinality(a b c)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == args[0].cardinality() && args[1].cardinality() && args[2].cardinality();","AssertionRelation.UNEXPECTED",""
"UtilMDE","fileInputStream(file)","ConditionKind.PARAM","file","ConditionKind.PARAM","file","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"UtilMDE","fileInputStream(file)","ConditionKind.THROWS","IOException","ConditionKind.THROWS","IOException","","assert !receiverObjectID.file.canRead() || receiverObjectID.file.length() < 0;","AssertionRelation.UNEXPECTED",""
"UtilMDE","fileInputStream(file)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof java.io.InputStream;","AssertionRelation.UNEXPECTED",""
"UtilMDE","fileReader(filename)","ConditionKind.PARAM","filename","ConditionKind.PARAM","filename","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"UtilMDE","fileReader(filename)","ConditionKind.THROWS","IOException","ConditionKind.THROWS","IOException","","assert !new java.io.File(args[0]).canRead();","AssertionRelation.UNEXPECTED",""
"UtilMDE","fileReader(filename)","ConditionKind.THROWS","FileNotFoundException","ConditionKind.THROWS","FileNotFoundException","","assert !new java.io.File(args[0]).exists();","AssertionRelation.UNEXPECTED",""
"UtilMDE","fileReader(filename)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof java.io.InputStream;","AssertionRelation.UNEXPECTED",""
"UtilMDE","fileReader(file)","ConditionKind.PARAM","file","ConditionKind.PARAM","file","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"UtilMDE","fileReader(file)","ConditionKind.THROWS","FileNotFoundException","ConditionKind.THROWS","FileNotFoundException","","assert !receiverObjectID.exists(args[0]);","AssertionRelation.UNEXPECTED",""
"UtilMDE","fileReader(file)","ConditionKind.THROWS","IOException","ConditionKind.THROWS","IOException","","assert !args[0].canRead();","AssertionRelation.UNEXPECTED",""
"UtilMDE","fileReader(file)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof java.io.InputStreamReader;","AssertionRelation.UNEXPECTED",""
"UtilMDE","fileReader(file charsetName)","ConditionKind.PARAM","file","ConditionKind.PARAM","file","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"UtilMDE","fileReader(file charsetName)","ConditionKind.PARAM","charsetName","ConditionKind.PARAM","charsetName","","assert args[1] == null || args[1] instanceof String;","AssertionRelation.UNEXPECTED",""
"UtilMDE","fileReader(file charsetName)","ConditionKind.THROWS","FileNotFoundException","ConditionKind.THROWS","FileNotFoundException","","assert !args[0].exists();","AssertionRelation.UNEXPECTED",""
"UtilMDE","fileReader(file charsetName)","ConditionKind.THROWS","IOException","ConditionKind.THROWS","IOException","","assert !args[0].canRead();","AssertionRelation.UNEXPECTED",""
"UtilMDE","fileReader(file charsetName)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof java.io.InputStreamReader;","AssertionRelation.UNEXPECTED",""
"UtilMDE","bufferedFileReader(filename)","ConditionKind.PARAM","filename","ConditionKind.PARAM","filename","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"UtilMDE","bufferedFileReader(filename)","ConditionKind.THROWS","FileNotFoundException","ConditionKind.THROWS","FileNotFoundException","","assert !new java.io.File(args[0]).exists();","AssertionRelation.UNEXPECTED",""
"UtilMDE","bufferedFileReader(filename)","ConditionKind.THROWS","IOException","ConditionKind.THROWS","IOException","","assert !(new java.io.File(args[0])).canRead();","AssertionRelation.UNEXPECTED",""
"UtilMDE","bufferedFileReader(filename)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof java.io.BufferedReader;","AssertionRelation.UNEXPECTED",""
"UtilMDE","bufferedFileReader(file)","ConditionKind.PARAM","file","ConditionKind.PARAM","file","","assert (args[0]==null) == false;","AssertionRelation.UNEXPECTED",""
"UtilMDE","bufferedFileReader(file)","ConditionKind.THROWS","FileNotFoundException","ConditionKind.THROWS","FileNotFoundException","","assert !new java.io.File(args[0].getPath()).exists();","AssertionRelation.UNEXPECTED",""
"UtilMDE","bufferedFileReader(file)","ConditionKind.THROWS","IOException","ConditionKind.THROWS","IOException","","assert !(new java.io.File(args[0].getPath()).canRead());","AssertionRelation.UNEXPECTED",""
"UtilMDE","bufferedFileReader(file)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof java.io.BufferedReader;","AssertionRelation.UNEXPECTED",""
"UtilMDE","bufferedFileReader(filename charsetName)","ConditionKind.PARAM","filename","ConditionKind.PARAM","filename","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"UtilMDE","bufferedFileReader(filename charsetName)","ConditionKind.PARAM","charsetName","ConditionKind.PARAM","charsetName","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"UtilMDE","bufferedFileReader(filename charsetName)","ConditionKind.THROWS","FileNotFoundException","ConditionKind.THROWS","FileNotFoundException","","assert !new java.io.File(args[0]).exists();","AssertionRelation.UNEXPECTED",""
"UtilMDE","bufferedFileReader(filename charsetName)","ConditionKind.THROWS","IOException","ConditionKind.THROWS","IOException","","assert new java.io.File(args[0]).isDirectory() || !new java.io.File(args[0]).canRead();","AssertionRelation.UNEXPECTED",""
"UtilMDE","bufferedFileReader(filename charsetName)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"UtilMDE","bufferedFileReader(file charsetName)","ConditionKind.PARAM","file","ConditionKind.PARAM","file","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"UtilMDE","bufferedFileReader(file charsetName)","ConditionKind.PARAM","charsetName","ConditionKind.PARAM","charsetName","","assert (args[1] == null) == false;","AssertionRelation.UNEXPECTED",""
"UtilMDE","bufferedFileReader(file charsetName)","ConditionKind.THROWS","FileNotFoundException","ConditionKind.THROWS","FileNotFoundException","","assert !new java.io.File(args[0].getPath()).exists();","AssertionRelation.UNEXPECTED",""
"UtilMDE","bufferedFileReader(file charsetName)","ConditionKind.THROWS","IOException","ConditionKind.THROWS","IOException","","assert !(new java.io.File(args[0].getPath()).canRead());","AssertionRelation.UNEXPECTED",""
"UtilMDE","bufferedFileReader(file charsetName)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"UtilMDE","lineNumberFileReader(filename)","ConditionKind.PARAM","filename","ConditionKind.PARAM","filename","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"UtilMDE","lineNumberFileReader(filename)","ConditionKind.THROWS","FileNotFoundException","ConditionKind.THROWS","FileNotFoundException","","assert !new java.io.File(args[0]).exists();","AssertionRelation.UNEXPECTED",""
"UtilMDE","lineNumberFileReader(filename)","ConditionKind.THROWS","IOException","ConditionKind.THROWS","IOException","","assert !(new java.io.FileInputStream(args[0]) instanceof java.io.FileInputStream);","AssertionRelation.UNEXPECTED",""
"UtilMDE","lineNumberFileReader(filename)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof java.io.LineNumberReader;","AssertionRelation.UNEXPECTED",""
"UtilMDE","lineNumberFileReader(file)","ConditionKind.PARAM","file","ConditionKind.PARAM","file","","assert (args[0]==null) == false;","AssertionRelation.UNEXPECTED",""
"UtilMDE","lineNumberFileReader(file)","ConditionKind.THROWS","FileNotFoundException","ConditionKind.THROWS","FileNotFoundException","","assert !new java.io.File(args[0].getPath()).exists();","AssertionRelation.UNEXPECTED",""
"UtilMDE","lineNumberFileReader(file)","ConditionKind.THROWS","IOException","ConditionKind.THROWS","IOException","","assert !(new java.io.FileInputStream(args[0]) != null);","AssertionRelation.UNEXPECTED",""
"UtilMDE","lineNumberFileReader(file)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof java.io.LineNumberReader;","AssertionRelation.UNEXPECTED",""
"UtilMDE","bufferedFileWriter(filename)","ConditionKind.PARAM","filename","ConditionKind.PARAM","filename","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"UtilMDE","bufferedFileWriter(filename)","ConditionKind.THROWS","IOException","ConditionKind.THROWS","IOException","","assert !new java.io.File(args[0]).canWrite();","AssertionRelation.UNEXPECTED",""
"UtilMDE","bufferedFileWriter(filename)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof java.io.BufferedWriter;","AssertionRelation.UNEXPECTED",""
"UtilMDE","bufferedFileWriter(filename append)","ConditionKind.PARAM","filename","ConditionKind.PARAM","filename","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"UtilMDE","bufferedFileWriter(filename append)","ConditionKind.PARAM","append","ConditionKind.PARAM","append","","assert args[1] == true || args[1] == false;","AssertionRelation.UNEXPECTED",""
"UtilMDE","bufferedFileWriter(filename append)","ConditionKind.THROWS","IOException","ConditionKind.THROWS","IOException","","assert !new java.io.File(args[0]).canWrite();","AssertionRelation.UNEXPECTED",""
"UtilMDE","bufferedFileWriter(filename append)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"UtilMDE","bufferedFileOutputStream(filename append)","ConditionKind.PARAM","filename","ConditionKind.PARAM","filename","","assert (args[0] != null) && !args[0].isEmpty();","AssertionRelation.UNEXPECTED",""
"UtilMDE","bufferedFileOutputStream(filename append)","ConditionKind.PARAM","append","ConditionKind.PARAM","append","","assert args[1] == true || args[1] == false;","AssertionRelation.UNEXPECTED",""
"UtilMDE","bufferedFileOutputStream(filename append)","ConditionKind.THROWS","IOException","ConditionKind.THROWS","IOException","","assert !new java.io.File(args[0]).canWrite();","AssertionRelation.UNEXPECTED",""
"UtilMDE","bufferedFileOutputStream(filename append)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof java.io.BufferedOutputStream;","AssertionRelation.UNEXPECTED",""
"UtilMDE","isSubtype(sub sup)","ConditionKind.PARAM","sub","ConditionKind.PARAM","sub","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"UtilMDE","isSubtype(sub sup)","ConditionKind.PARAM","sup","ConditionKind.PARAM","sup","","assert (args[1] == null) == false;","AssertionRelation.UNEXPECTED",""
"UtilMDE","isSubtype(sub sup)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (args[0].isAssignableFrom(args[1]) || args[0] == args[1]);","AssertionRelation.UNEXPECTED",""
"UtilMDE","classForName(className)","ConditionKind.PARAM","className","ConditionKind.PARAM","className","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"UtilMDE","classForName(className)","ConditionKind.THROWS","ClassNotFoundException","ConditionKind.THROWS","ClassNotFoundException","","assert !receiverObjectID.getClass().getClassLoader().loadClass(args[0]) != null;","AssertionRelation.UNEXPECTED",""
"UtilMDE","classForName(className)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.classForName(args[0]);","AssertionRelation.UNEXPECTED",""
"UtilMDE","binaryNameToFieldDescriptor(classname)","ConditionKind.PARAM","classname","ConditionKind.PARAM","classname","","assert true;","AssertionRelation.UNEXPECTED",""
"UtilMDE","binaryNameToFieldDescriptor(classname)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.fieldDescriptorToBinaryName(args[0]) != null ? receiverObjectID.fieldDescriptorToBinaryName(args[0]).replace(""L"", ""["").replace("";"", """") : args[0]);","AssertionRelation.UNEXPECTED",""
"UtilMDE","primitiveTypeNameToFieldDescriptor(primitive_name)","ConditionKind.PARAM","primitive_name","ConditionKind.PARAM","primitive_name","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
