class_fqn,param_precision,param_recall,return_precision,return_recall,throws_precision,throws_recall,overall_precision,overall_recall,overall_f1
ArrayStack,0.0,,0.2,0.3333333333333333,0.25,0.3333333333333333,0.15384615384615385,0.3333333333333333,
BagUtils,,0.0,0.09090909090909091,0.3333333333333333,0.5,0.1111111111111111,0.15384615384615385,0.08,
BoundedMap,,,0.0,,,,0.0,,
ClosureUtils,0.9444444444444444,0.68,0.3125,1.0,0.1875,0.16666666666666666,0.5,0.5208333333333334,
CollectionUtils,0.7727272727272727,0.5964912280701754,0.4166666666666667,0.78125,0.42857142857142855,0.18181818181818182,0.6111111111111112,0.553072625698324,
FactoryUtils,0.5,1.0,0.16666666666666666,1.0,0.0,0.0,0.25,0.6666666666666666,
FluentIterable,0.45,0.8181818181818182,0.03571428571428571,1.0,0.7692307692307693,0.7692307692307693,0.32786885245901637,0.8,
PredicateUtils,0.625,0.18518518518518517,0.034482758620689655,0.16666666666666666,0.15,0.11538461538461539,0.15789473684210525,0.15254237288135594,
QueueUtils,1.0,0.2,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.2222222222222222,
CollectionBag,0.375,0.75,0.0,0.0,1.0,0.5,0.25,0.5,
SynchronizedBag,1.0,0.75,0.0,,0.6666666666666666,0.6666666666666666,0.625,0.7142857142857143,
FixedOrderComparator,0.0,,0.14285714285714285,1.0,0.4444444444444444,1.0,0.2,1.0,
AllPredicate,0.5,0.3333333333333333,0.0,,0.0,0.0,0.125,0.16666666666666666,
AndPredicate,0.6666666666666666,0.5,0.0,0.0,,0.0,0.3333333333333333,0.3333333333333333,
AnyPredicate,0.5,0.3333333333333333,0.0,,0.0,0.0,0.1111111111111111,0.16666666666666666,
IfClosure,0.6363636363636364,1.0,0.0,,0.0,0.0,0.4117647058823529,0.7777777777777778,
DefaultMapEntry,0.5,1.0,,,0.5,1.0,0.5,1.0,
HashedMap,0.0,,0.0,,1.0,1.0,0.4444444444444444,1.0,
LRUMap,0.07894736842105263,1.0,0.0,0.0,0.631578947368421,0.6666666666666666,0.234375,0.6818181818181818,
LazyMap,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5714285714285714,
KeyAnalyzer,0.5,1.0,0.0,0.0,,,0.3684210526315789,0.875,
