class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
ClosureUtils,exceptionClosure(),ConditionKind.RETURN,,ConditionKind.PARAM,<E>,,assert true;,AssertionRelation.UNEXPECTED,
ClosureUtils,nopClosure(),ConditionKind.RETURN,,ConditionKind.PARAM,<E>,,,AssertionRelation.EMPTY,
ClosureUtils,asClosure(transformer),ConditionKind.PARAM,transformer,ConditionKind.PARAM,<E>,,,AssertionRelation.EMPTY,
ClosureUtils,asClosure(transformer),ConditionKind.RETURN,,ConditionKind.PARAM,transformer,,,AssertionRelation.EMPTY,
ClosureUtils,forClosure(count closure),ConditionKind.PARAM,count,ConditionKind.PARAM,<E>,,,AssertionRelation.EMPTY,
ClosureUtils,forClosure(count closure),ConditionKind.PARAM,closure,ConditionKind.PARAM,count,,,AssertionRelation.EMPTY,
ClosureUtils,forClosure(count closure),ConditionKind.RETURN,,ConditionKind.PARAM,closure,,,AssertionRelation.EMPTY,
ClosureUtils,whileClosure(predicate closure),ConditionKind.PARAM,predicate,ConditionKind.PARAM,<E>,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
ClosureUtils,whileClosure(predicate closure),ConditionKind.PARAM,closure,ConditionKind.PARAM,predicate,assert (args[1]==null) == false;,,AssertionRelation.MISSING,
ClosureUtils,whileClosure(predicate closure),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,closure,assert args[0]==null || args[1]==null;,,AssertionRelation.MISSING,
ClosureUtils,whileClosure(predicate closure),ConditionKind.RETURN,,ConditionKind.THROWS,NullPointerException,,assert args[0] != null && args[1] != null;,AssertionRelation.UNEXPECTED,
ClosureUtils,doWhileClosure(closure predicate),ConditionKind.PARAM,closure,ConditionKind.PARAM,<E>,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
ClosureUtils,doWhileClosure(closure predicate),ConditionKind.PARAM,predicate,ConditionKind.PARAM,closure,assert (args[1]==null) == false;,,AssertionRelation.MISSING,
ClosureUtils,doWhileClosure(closure predicate),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,predicate,assert args[0]==null || args[1]==null;,,AssertionRelation.MISSING,
ClosureUtils,doWhileClosure(closure predicate),ConditionKind.RETURN,,ConditionKind.THROWS,NullPointerException,,,AssertionRelation.EMPTY,
ClosureUtils,invokerClosure(methodName),ConditionKind.PARAM,methodName,ConditionKind.PARAM,<E>,,,AssertionRelation.EMPTY,
ClosureUtils,invokerClosure(methodName),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,methodName,assert args[0]==null;,,AssertionRelation.MISSING,
ClosureUtils,invokerClosure(methodName),ConditionKind.RETURN,,ConditionKind.THROWS,NullPointerException,,assert args[0] == null;,AssertionRelation.UNEXPECTED,
ClosureUtils,invokerClosure(methodName paramTypes args),ConditionKind.PARAM,methodName,ConditionKind.PARAM,<E>,,,AssertionRelation.EMPTY,
