class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
CollectionUtils,emptyCollection(),ConditionKind.RETURN,,ConditionKind.PARAM,<T>,assert true ? methodResultID.equals(receiverObjectID.EMPTY_COLLECTION);,assert args[0] != null;,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
CollectionUtils,emptyIfNull(collection),ConditionKind.PARAM,collection,ConditionKind.PARAM,<T>,,,AssertionRelation.EMPTY,
CollectionUtils,emptyIfNull(collection),ConditionKind.RETURN,,ConditionKind.PARAM,collection,,assert !args[0].isEmpty();,AssertionRelation.UNEXPECTED,
CollectionUtils,union(a b),ConditionKind.PARAM,a,ConditionKind.PARAM,a,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
CollectionUtils,union(a b),ConditionKind.PARAM,b,ConditionKind.PARAM,b,assert (args[1]==null) == false;,,AssertionRelation.MISSING,
CollectionUtils,union(a b),ConditionKind.RETURN,,ConditionKind.PARAM,<O>,,,AssertionRelation.EMPTY,
CollectionUtils,intersection(a b),ConditionKind.PARAM,a,ConditionKind.PARAM,a,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
CollectionUtils,intersection(a b),ConditionKind.PARAM,b,ConditionKind.PARAM,b,assert (args[1]==null) == false;,,AssertionRelation.MISSING,
CollectionUtils,intersection(a b),ConditionKind.RETURN,,ConditionKind.PARAM,<O>,,,AssertionRelation.EMPTY,
CollectionUtils,disjunction(a b),ConditionKind.PARAM,a,ConditionKind.PARAM,a,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
CollectionUtils,disjunction(a b),ConditionKind.PARAM,b,ConditionKind.PARAM,b,assert (args[1]==null) == false;,,AssertionRelation.MISSING,
CollectionUtils,disjunction(a b),ConditionKind.RETURN,,ConditionKind.PARAM,<O>,,,AssertionRelation.EMPTY,
CollectionUtils,subtract(a b),ConditionKind.PARAM,a,ConditionKind.PARAM,a,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
CollectionUtils,subtract(a b),ConditionKind.PARAM,b,ConditionKind.PARAM,b,assert (args[1]==null) == false;,,AssertionRelation.MISSING,
CollectionUtils,subtract(a b),ConditionKind.RETURN,,ConditionKind.PARAM,<O>,,,AssertionRelation.EMPTY,
CollectionUtils,subtract(a b p),ConditionKind.PARAM,a,ConditionKind.PARAM,a,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
CollectionUtils,subtract(a b p),ConditionKind.PARAM,b,ConditionKind.PARAM,b,assert (args[1]==null) == false;,,AssertionRelation.MISSING,
CollectionUtils,subtract(a b p),ConditionKind.PARAM,p,ConditionKind.PARAM,p,,,AssertionRelation.EMPTY,
CollectionUtils,subtract(a b p),ConditionKind.RETURN,,ConditionKind.PARAM,<O>,,,AssertionRelation.EMPTY,
CollectionUtils,containsAll(coll1 coll2),ConditionKind.PARAM,coll1,ConditionKind.PARAM,coll1,assert (args[0]==null) == false;,assert receiverObjectID != null;,AssertionRelation.INCOMPARABLE,
CollectionUtils,containsAll(coll1 coll2),ConditionKind.PARAM,coll2,ConditionKind.PARAM,coll2,assert (args[1]==null) == false;,assert args[1] != null;,AssertionRelation.EQUIVALENT,
CollectionUtils,containsAll(coll1 coll2),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == !receiverObjectID.containsAll(args[0], args[1]);",AssertionRelation.UNEXPECTED,
CollectionUtils,containsAny(coll1 coll2),ConditionKind.PARAM,coll1,ConditionKind.PARAM,coll1,assert (args[0]==null) == false;,assert args[0] != null;,AssertionRelation.EQUIVALENT,
CollectionUtils,containsAny(coll1 coll2),ConditionKind.PARAM,coll2,ConditionKind.PARAM,coll2,assert (args[1]==null) == false;,assert args[1] != null;,AssertionRelation.EQUIVALENT,
CollectionUtils,containsAny(coll1 coll2),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
CollectionUtils,getCardinalityMap(coll),ConditionKind.PARAM,coll,ConditionKind.PARAM,<O>,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
CollectionUtils,getCardinalityMap(coll),ConditionKind.RETURN,,ConditionKind.PARAM,coll,,,AssertionRelation.EMPTY,
CollectionUtils,isSubCollection(a b),ConditionKind.PARAM,a,ConditionKind.PARAM,a,assert (args[0]==null) == false;,assert args[0] != null;,AssertionRelation.EQUIVALENT,
CollectionUtils,isSubCollection(a b),ConditionKind.PARAM,b,ConditionKind.PARAM,b,assert (args[1]==null) == false;,assert args[1] != null;,AssertionRelation.EQUIVALENT,
