class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
FactoryUtils,exceptionFactory(),ConditionKind.RETURN,,ConditionKind.PARAM,<T>,,,AssertionRelation.EMPTY,
FactoryUtils,nullFactory(),ConditionKind.RETURN,,ConditionKind.PARAM,<T>,,assert args[0] == null;,AssertionRelation.UNEXPECTED,
FactoryUtils,constantFactory(constantToReturn),ConditionKind.PARAM,constantToReturn,ConditionKind.PARAM,<T>,,"assert args[0].getClass().getName() != ""java.lang.Object"";",AssertionRelation.UNEXPECTED,
FactoryUtils,constantFactory(constantToReturn),ConditionKind.RETURN,,ConditionKind.PARAM,constantToReturn,,assert args[1] != null;,AssertionRelation.UNEXPECTED,
FactoryUtils,prototypeFactory(prototype),ConditionKind.PARAM,prototype,ConditionKind.PARAM,<T>,,,AssertionRelation.EMPTY,
FactoryUtils,prototypeFactory(prototype),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.PARAM,prototype,,assert args[0] instanceof java.lang.Cloneable;,AssertionRelation.UNEXPECTED,
FactoryUtils,prototypeFactory(prototype),ConditionKind.RETURN,,ConditionKind.THROWS,IllegalArgumentException,,"assert args[0].getClass().getMethod(""clone"", new Class[] {})==null || args[0].getClass().getMethod(""copy"", new Class[] {}).getParameterCount() > 0;",AssertionRelation.UNEXPECTED,
FactoryUtils,instantiateFactory(classToInstantiate),ConditionKind.PARAM,classToInstantiate,ConditionKind.PARAM,<T>,,,AssertionRelation.EMPTY,
FactoryUtils,instantiateFactory(classToInstantiate),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,classToInstantiate,assert args[0]==null;,,AssertionRelation.MISSING,
FactoryUtils,instantiateFactory(classToInstantiate),ConditionKind.RETURN,,ConditionKind.THROWS,NullPointerException,,assert args[0] == null;,AssertionRelation.UNEXPECTED,
FactoryUtils,instantiateFactory(classToInstantiate paramTypes args),ConditionKind.PARAM,classToInstantiate,ConditionKind.PARAM,<T>,,,AssertionRelation.EMPTY,
FactoryUtils,instantiateFactory(classToInstantiate paramTypes args),ConditionKind.PARAM,paramTypes,ConditionKind.PARAM,classToInstantiate,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
FactoryUtils,instantiateFactory(classToInstantiate paramTypes args),ConditionKind.PARAM,args,ConditionKind.PARAM,paramTypes,,assert (args[1] == null) || (args[2] != null);,AssertionRelation.UNEXPECTED,
FactoryUtils,instantiateFactory(classToInstantiate paramTypes args),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,args,assert args[0]==null;,assert (args[1] == null) || (args[2] != null);,AssertionRelation.INCOMPARABLE,
FactoryUtils,instantiateFactory(classToInstantiate paramTypes args),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,NullPointerException,,assert args[0] == null;,AssertionRelation.UNEXPECTED,
FactoryUtils,instantiateFactory(classToInstantiate paramTypes args),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,assert !java.lang.reflect.Constructor.class.isAssignableFrom(args[2][0]) || !args[1].isEmpty() && !args[0].equals(args[1][0]);,AssertionRelation.UNEXPECTED,
FactoryUtils,instantiateFactory(classToInstantiate paramTypes args),ConditionKind.RETURN,,ConditionKind.THROWS,IllegalArgumentException,,"assert receiverObjectID.getMethod(""getConstructor"", classToInstantiate, args[1]).equals(null);",AssertionRelation.UNEXPECTED,
