class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
FluentIterable,empty(),ConditionKind.RETURN,,ConditionKind.PARAM,<T>,,assert true;,AssertionRelation.UNEXPECTED,
FluentIterable,of(singleton),ConditionKind.PARAM,singleton,ConditionKind.PARAM,<T>,,,AssertionRelation.EMPTY,
FluentIterable,of(singleton),ConditionKind.RETURN,,ConditionKind.PARAM,singleton,,,AssertionRelation.EMPTY,
FluentIterable,of(elements),ConditionKind.PARAM,elements,ConditionKind.PARAM,<T>,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
FluentIterable,of(elements),ConditionKind.RETURN,,ConditionKind.PARAM,elements,,assert args[1] != null;,AssertionRelation.UNEXPECTED,
FluentIterable,of(iterable),ConditionKind.PARAM,iterable,ConditionKind.PARAM,<T>,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
FluentIterable,of(iterable),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,iterable,assert args[0]==null;,,AssertionRelation.MISSING,
FluentIterable,of(iterable),ConditionKind.RETURN,,ConditionKind.THROWS,NullPointerException,,assert args[0] == null;,AssertionRelation.UNEXPECTED,
FluentIterable,append(elements),ConditionKind.PARAM,elements,ConditionKind.PARAM,elements,,assert args[0] instanceof java.lang.Object;,AssertionRelation.UNEXPECTED,
FluentIterable,append(elements),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID.equals(receiverObjectID.append(args[0]));,AssertionRelation.UNEXPECTED,
FluentIterable,append(other),ConditionKind.PARAM,other,ConditionKind.PARAM,other,assert (args[0]==null) == false;,assert args[0] != null;,AssertionRelation.EQUIVALENT,
FluentIterable,append(other),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] != null;,AssertionRelation.DUAL,
FluentIterable,append(other),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !receiverObjectID.isEmpty() && receiverObjectID.containsAll(args[0]);,AssertionRelation.UNEXPECTED,
FluentIterable,collate(other),ConditionKind.PARAM,other,ConditionKind.PARAM,other,assert (args[0]==null) == false;,assert args[0] != null;,AssertionRelation.EQUIVALENT,
FluentIterable,collate(other),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,,AssertionRelation.MISSING,
FluentIterable,collate(other),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.collate(args[0]).isEmpty() == false;,AssertionRelation.UNEXPECTED,
FluentIterable,collate(other comparator),ConditionKind.PARAM,comparator,ConditionKind.PARAM,comparator,,"assert args[0] == null || !args[0].compare(null, null) < 0;",AssertionRelation.UNEXPECTED,
FluentIterable,collate(other comparator),ConditionKind.PARAM,other,ConditionKind.PARAM,other,assert (args[0]==null) == false;,assert args[1] != null;,AssertionRelation.INCOMPARABLE,
FluentIterable,collate(other comparator),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
FluentIterable,collate(other comparator),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == !receiverObjectID.isEmpty() && receiverObjectID.contains(args[0]) && (args[1] == null || args[1].compare(receiverObjectID.iterator().next(), receiverObjectID.iterator().next()) <= 0);",AssertionRelation.UNEXPECTED,
FluentIterable,eval(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.toList();,AssertionRelation.UNEXPECTED,
FluentIterable,filter(predicate),ConditionKind.PARAM,predicate,ConditionKind.PARAM,predicate,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
FluentIterable,filter(predicate),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
FluentIterable,filter(predicate),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !receiverObjectID.isEmpty() || receiverObjectID.allMatch(args[0]);,AssertionRelation.UNEXPECTED,
FluentIterable,limit(maxSize),ConditionKind.PARAM,maxSize,ConditionKind.PARAM,maxSize,,assert args[0] > 0;,AssertionRelation.UNEXPECTED,
FluentIterable,limit(maxSize),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[0]<0;,assert args[0] >= 0;,AssertionRelation.DUAL,
FluentIterable,limit(maxSize),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID instanceof org.apache.commons.collections4.FluentIterable && ((org.apache.commons.collections4.FluentIterable)methodResultID).limit(args[0]) == true;,AssertionRelation.UNEXPECTED,
FluentIterable,loop(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.loop();,AssertionRelation.UNEXPECTED,
FluentIterable,reverse(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID instanceof org.apache.commons.collections4.FluentIterable;,AssertionRelation.UNEXPECTED,
FluentIterable,skip(elementsToSkip),ConditionKind.PARAM,elementsToSkip,ConditionKind.PARAM,elementsToSkip,,assert args[0] >= 0;,AssertionRelation.UNEXPECTED,
FluentIterable,skip(elementsToSkip),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[0]<0;,assert args[0] < 0;,AssertionRelation.IDENTICAL,
FluentIterable,skip(elementsToSkip),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !receiverObjectID.empty().skip(args[0]).isEmpty();,AssertionRelation.UNEXPECTED,
FluentIterable,transform(transformer),ConditionKind.PARAM,transformer,ConditionKind.PARAM,<O>,,,AssertionRelation.EMPTY,
FluentIterable,transform(transformer),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,transformer,assert args[0]==null;,,AssertionRelation.MISSING,
FluentIterable,transform(transformer),ConditionKind.RETURN,,ConditionKind.THROWS,NullPointerException,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
FluentIterable,unique(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID.equals(receiverObjectID.unique());,AssertionRelation.UNEXPECTED,
FluentIterable,unmodifiable(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.unmodifiable();,AssertionRelation.UNEXPECTED,
FluentIterable,zip(other),ConditionKind.PARAM,other,ConditionKind.PARAM,other,assert (args[0]==null) == false;,assert args[0] != null;,AssertionRelation.EQUIVALENT,
FluentIterable,zip(other),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] != null;,AssertionRelation.DUAL,
FluentIterable,zip(other),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !receiverObjectID.isEmpty() && receiverObjectID.size() == (receiverObjectID.size() + args[0].size()) / 2;,AssertionRelation.UNEXPECTED,
FluentIterable,zip(others),ConditionKind.PARAM,others,ConditionKind.PARAM,others,assert (args[0]==null) == false;,assert args[0] != null;,AssertionRelation.EQUIVALENT,
FluentIterable,zip(others),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,,assert args[0] == null || (args[0].getClass() != java.lang.Object.class);,AssertionRelation.UNEXPECTED,
FluentIterable,zip(others),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.zip(args[0]);,AssertionRelation.UNEXPECTED,
FluentIterable,asEnumeration(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.asEnumeration();,AssertionRelation.UNEXPECTED,
FluentIterable,allMatch(predicate),ConditionKind.PARAM,predicate,ConditionKind.PARAM,predicate,assert (args[0]==null) == false;,assert args[0] != null;,AssertionRelation.EQUIVALENT,
FluentIterable,allMatch(predicate),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
FluentIterable,allMatch(predicate),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.allMatch(args[0]);,AssertionRelation.UNEXPECTED,
FluentIterable,anyMatch(predicate),ConditionKind.PARAM,predicate,ConditionKind.PARAM,predicate,assert (args[0]==null) == false;,assert args[0] != null;,AssertionRelation.EQUIVALENT,
FluentIterable,anyMatch(predicate),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
FluentIterable,anyMatch(predicate),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.anyMatch(args[0]);,AssertionRelation.UNEXPECTED,
FluentIterable,isEmpty(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.isEmpty();,AssertionRelation.UNEXPECTED,
FluentIterable,contains(object),ConditionKind.PARAM,object,ConditionKind.PARAM,object,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
FluentIterable,contains(object),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.contains(args[0]);,AssertionRelation.UNEXPECTED,
FluentIterable,forEach(closure),ConditionKind.PARAM,closure,ConditionKind.PARAM,closure,assert (args[0]==null) == false;,assert args[0] != null;,AssertionRelation.EQUIVALENT,
FluentIterable,forEach(closure),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] != null;,AssertionRelation.DUAL,
FluentIterable,get(position),ConditionKind.PARAM,position,ConditionKind.PARAM,position,,assert args[0] >= 0 && args[0] < receiverObjectID.size();,AssertionRelation.UNEXPECTED,
FluentIterable,get(position),ConditionKind.THROWS,IndexOutOfBoundsException,ConditionKind.THROWS,IndexOutOfBoundsException,,assert args[0] >= receiverObjectID.size() || args[0] < 0;,AssertionRelation.UNEXPECTED,
FluentIterable,get(position),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.get(args[0]);,AssertionRelation.UNEXPECTED,
FluentIterable,size(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.size();,AssertionRelation.UNEXPECTED,
FluentIterable,copyInto(collection),ConditionKind.PARAM,collection,ConditionKind.PARAM,collection,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
FluentIterable,copyInto(collection),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
FluentIterable,toArray(arrayClass),ConditionKind.PARAM,arrayClass,ConditionKind.PARAM,arrayClass,,"assert args[0].getName().equals(""Class"") && args[0].isAssignableFrom(java.lang.Class.class);",AssertionRelation.UNEXPECTED,
FluentIterable,toArray(arrayClass),ConditionKind.THROWS,ArrayStoreException,ConditionKind.THROWS,ArrayStoreException,,assert !receiverObjectID.toArray(args[0]).getClass().equals(arrayClass);,AssertionRelation.UNEXPECTED,
FluentIterable,toArray(arrayClass),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert ((Object[]) methodResultID).length > 0;,AssertionRelation.UNEXPECTED,
FluentIterable,toList(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.toList();,AssertionRelation.UNEXPECTED,
