class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
PredicateUtils,exceptionPredicate(),ConditionKind.RETURN,,ConditionKind.PARAM,<T>,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
PredicateUtils,truePredicate(),ConditionKind.RETURN,,ConditionKind.PARAM,<T>,,assert true;,AssertionRelation.UNEXPECTED,
PredicateUtils,falsePredicate(),ConditionKind.RETURN,,ConditionKind.PARAM,<T>,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
PredicateUtils,nullPredicate(),ConditionKind.RETURN,,ConditionKind.PARAM,<T>,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
PredicateUtils,notNullPredicate(),ConditionKind.RETURN,,ConditionKind.PARAM,<T>,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
PredicateUtils,equalPredicate(value),ConditionKind.PARAM,value,ConditionKind.PARAM,<T>,,,AssertionRelation.EMPTY,
PredicateUtils,equalPredicate(value),ConditionKind.RETURN,,ConditionKind.PARAM,value,,,AssertionRelation.EMPTY,
PredicateUtils,identityPredicate(value),ConditionKind.PARAM,value,ConditionKind.PARAM,<T>,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
PredicateUtils,identityPredicate(value),ConditionKind.RETURN,,ConditionKind.PARAM,value,,assert args[1] != null;,AssertionRelation.UNEXPECTED,
PredicateUtils,instanceofPredicate(type),ConditionKind.PARAM,type,ConditionKind.PARAM,type,assert (args[0]==null) == false;,assert args[0] != null;,AssertionRelation.EQUIVALENT,
PredicateUtils,instanceofPredicate(type),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
PredicateUtils,instanceofPredicate(type),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !args[0].isInstance(null);,AssertionRelation.UNEXPECTED,
PredicateUtils,uniquePredicate(),ConditionKind.RETURN,,ConditionKind.PARAM,<T>,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
PredicateUtils,invokerPredicate(methodName),ConditionKind.PARAM,methodName,ConditionKind.PARAM,<T>,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
PredicateUtils,invokerPredicate(methodName),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,methodName,assert args[0]==null;,assert !args[0].equals(null);,AssertionRelation.DUAL,
PredicateUtils,invokerPredicate(methodName),ConditionKind.RETURN,,ConditionKind.THROWS,NullPointerException,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
PredicateUtils,invokerPredicate(methodName paramTypes args),ConditionKind.PARAM,methodName,ConditionKind.PARAM,<T>,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
PredicateUtils,invokerPredicate(methodName paramTypes args),ConditionKind.PARAM,paramTypes,ConditionKind.PARAM,methodName,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
PredicateUtils,invokerPredicate(methodName paramTypes args),ConditionKind.PARAM,args,ConditionKind.PARAM,paramTypes,,assert !args[1].isEmpty();,AssertionRelation.UNEXPECTED,
PredicateUtils,invokerPredicate(methodName paramTypes args),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,args,assert args[0]==null;,assert args[2] != null && !args[2].isEmpty();,AssertionRelation.INCOMPARABLE,
PredicateUtils,invokerPredicate(methodName paramTypes args),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,NullPointerException,,,AssertionRelation.EMPTY,
PredicateUtils,invokerPredicate(methodName paramTypes args),ConditionKind.RETURN,,ConditionKind.THROWS,IllegalArgumentException,,assert !receiverObjectID.paramTypes.equals(args[1]) || !receiverObjectID.args.equals(args[2]);,AssertionRelation.UNEXPECTED,
PredicateUtils,andPredicate(predicate1 predicate2),ConditionKind.PARAM,predicate1,ConditionKind.PARAM,<T>,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
PredicateUtils,andPredicate(predicate1 predicate2),ConditionKind.PARAM,predicate2,ConditionKind.PARAM,predicate1,assert (args[1]==null) == false;,,AssertionRelation.MISSING,
PredicateUtils,andPredicate(predicate1 predicate2),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,predicate2,assert args[0]==null || args[1]==null;,,AssertionRelation.MISSING,
PredicateUtils,andPredicate(predicate1 predicate2),ConditionKind.RETURN,,ConditionKind.THROWS,NullPointerException,,assert args[0] == null || args[1] == null;,AssertionRelation.UNEXPECTED,
PredicateUtils,allPredicate(predicates),ConditionKind.PARAM,predicates,ConditionKind.PARAM,<T>,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
PredicateUtils,allPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,predicates,assert args[0]==null;,assert !args[0].isEmpty() && args[0].stream().allMatch(p -> p != null);,AssertionRelation.INCOMPARABLE,
PredicateUtils,allPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert java.util.Arrays.stream(args[0]).anyMatch(e -> e==null);,assert args[0] == null;,AssertionRelation.INCOMPARABLE,
PredicateUtils,allPredicate(predicates),ConditionKind.RETURN,,ConditionKind.THROWS,NullPointerException,,assert !receiverObjectID.allPredicate(args[0]).nullIsTruePredicate(receiverObjectID.truePredicate());,AssertionRelation.UNEXPECTED,
PredicateUtils,allPredicate(predicates),ConditionKind.PARAM,predicates,ConditionKind.PARAM,<T>,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
PredicateUtils,allPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,predicates,assert args[0]==null;,assert !args[0].isEmpty() && args[0].stream().allMatch(p -> p != null);,AssertionRelation.INCOMPARABLE,
PredicateUtils,allPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,,assert args[0] == null;,AssertionRelation.UNEXPECTED,
PredicateUtils,allPredicate(predicates),ConditionKind.RETURN,,ConditionKind.THROWS,NullPointerException,,assert !receiverObjectID.allPredicate(args[0]).nullIsTrue();,AssertionRelation.UNEXPECTED,
PredicateUtils,orPredicate(predicate1 predicate2),ConditionKind.PARAM,predicate1,ConditionKind.PARAM,<T>,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
PredicateUtils,orPredicate(predicate1 predicate2),ConditionKind.PARAM,predicate2,ConditionKind.PARAM,predicate1,assert (args[1]==null) == false;,,AssertionRelation.MISSING,
PredicateUtils,orPredicate(predicate1 predicate2),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,predicate2,assert args[0]==null || args[1]==null;,,AssertionRelation.MISSING,
PredicateUtils,orPredicate(predicate1 predicate2),ConditionKind.RETURN,,ConditionKind.THROWS,NullPointerException,,assert args[0] == null || args[1] == null;,AssertionRelation.UNEXPECTED,
PredicateUtils,anyPredicate(predicates),ConditionKind.PARAM,predicates,ConditionKind.PARAM,<T>,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
PredicateUtils,anyPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,predicates,assert args[0]==null;,assert !args[0].isEmpty() && args[0].stream().allMatch(p -> p != null);,AssertionRelation.INCOMPARABLE,
PredicateUtils,anyPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert java.util.Arrays.stream(args[0]).anyMatch(e -> e==null);,assert args[0] == null;,AssertionRelation.INCOMPARABLE,
PredicateUtils,anyPredicate(predicates),ConditionKind.RETURN,,ConditionKind.THROWS,NullPointerException,,assert !args[0].stream().anyMatch(p -> p == null);,AssertionRelation.UNEXPECTED,
PredicateUtils,anyPredicate(predicates),ConditionKind.PARAM,predicates,ConditionKind.PARAM,<T>,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
PredicateUtils,anyPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,predicates,assert args[0]==null;,assert !args[0].isEmpty() && args[0].stream().allMatch(predicate -> predicate != null);,AssertionRelation.INCOMPARABLE,
PredicateUtils,anyPredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,,assert args[0] == null;,AssertionRelation.UNEXPECTED,
PredicateUtils,anyPredicate(predicates),ConditionKind.RETURN,,ConditionKind.THROWS,NullPointerException,,assert !receiverObjectID.allPredicate(args[0]).nullIsTruePredicate(null);,AssertionRelation.UNEXPECTED,
PredicateUtils,eitherPredicate(predicate1 predicate2),ConditionKind.PARAM,predicate1,ConditionKind.PARAM,<T>,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
PredicateUtils,eitherPredicate(predicate1 predicate2),ConditionKind.PARAM,predicate2,ConditionKind.PARAM,predicate1,assert (args[1]==null) == false;,,AssertionRelation.MISSING,
PredicateUtils,eitherPredicate(predicate1 predicate2),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,predicate2,assert args[0]==null || args[1]==null;,,AssertionRelation.MISSING,
PredicateUtils,eitherPredicate(predicate1 predicate2),ConditionKind.RETURN,,ConditionKind.THROWS,NullPointerException,,assert args[0] == null || args[1] == null;,AssertionRelation.UNEXPECTED,
PredicateUtils,onePredicate(predicates),ConditionKind.PARAM,predicates,ConditionKind.PARAM,<T>,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
PredicateUtils,onePredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,predicates,assert args[0]==null;,assert !Arrays.stream(args[0]).anyMatch(predicate -> predicate == null);,AssertionRelation.INCOMPARABLE,
PredicateUtils,onePredicate(predicates),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert java.util.Arrays.stream(args[0]).anyMatch(e -> e==null);,assert args[0] == null;,AssertionRelation.INCOMPARABLE,
