class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
CollectionBag,org.apache.commons.collections4.bag.CollectionBag(bag),ConditionKind.PARAM,bag,ConditionKind.PARAM,bag,assert (args[0]==null) == false;,assert args[0] != null;,AssertionRelation.EQUIVALENT,
CollectionBag,org.apache.commons.collections4.bag.CollectionBag(bag),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
CollectionBag,collectionBag(bag),ConditionKind.PARAM,bag,ConditionKind.PARAM,<E>,assert (args[0]==null) == false;,,AssertionRelation.MISSING,
CollectionBag,collectionBag(bag),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,bag,assert args[0]==null;,,AssertionRelation.MISSING,
CollectionBag,collectionBag(bag),ConditionKind.RETURN,,ConditionKind.THROWS,NullPointerException,,assert args[0] == null;,AssertionRelation.UNEXPECTED,
CollectionBag,containsAll(coll),ConditionKind.PARAM,coll,ConditionKind.PARAM,coll,,assert args[0] instanceof java.util.Collection;,AssertionRelation.UNEXPECTED,
CollectionBag,containsAll(coll),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.containsAll(args[0]);,AssertionRelation.UNEXPECTED,
CollectionBag,add(object),ConditionKind.PARAM,object,ConditionKind.PARAM,object,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
CollectionBag,add(object),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID==true;,assert methodResultID == true;,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
CollectionBag,remove(object),ConditionKind.PARAM,object,ConditionKind.PARAM,object,,assert args[0] instanceof java.lang.Object;,AssertionRelation.UNEXPECTED,
CollectionBag,remove(object),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.remove(args[0]);,AssertionRelation.UNEXPECTED,
CollectionBag,removeAll(coll),ConditionKind.PARAM,coll,ConditionKind.PARAM,coll,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
CollectionBag,removeAll(coll),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.containsAll(args[0]);,AssertionRelation.UNEXPECTED,
CollectionBag,retainAll(coll),ConditionKind.PARAM,coll,ConditionKind.PARAM,coll,,assert args[0] instanceof java.util.Collection;,AssertionRelation.UNEXPECTED,
CollectionBag,retainAll(coll),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.containsAll(args[0]);,AssertionRelation.UNEXPECTED,
CollectionBag,add(object count),ConditionKind.PARAM,object,ConditionKind.PARAM,object,,,AssertionRelation.EMPTY,
CollectionBag,add(object count),ConditionKind.PARAM,count,ConditionKind.PARAM,count,,,AssertionRelation.EMPTY,
CollectionBag,add(object count),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID==true;,assert methodResultID == true;,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
