class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
FixedOrderComparator,org.apache.commons.collections4.comparators.FixedOrderComparator(items),ConditionKind.PARAM,items,ConditionKind.PARAM,items,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
FixedOrderComparator,org.apache.commons.collections4.comparators.FixedOrderComparator(items),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
FixedOrderComparator,org.apache.commons.collections4.comparators.FixedOrderComparator(items),ConditionKind.PARAM,items,ConditionKind.PARAM,items,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
FixedOrderComparator,org.apache.commons.collections4.comparators.FixedOrderComparator(items),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
FixedOrderComparator,isLocked(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.isLocked();,AssertionRelation.UNEXPECTED,
FixedOrderComparator,checkLocked(),ConditionKind.THROWS,UnsupportedOperationException,ConditionKind.THROWS,UnsupportedOperationException,assert receiverObjectID.isLocked();,assert !receiverObjectID.isLocked();,AssertionRelation.DUAL,
FixedOrderComparator,getUnknownObjectBehavior(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getUnknownObjectBehavior();,AssertionRelation.UNEXPECTED,
FixedOrderComparator,setUnknownObjectBehavior(unknownObjectBehavior),ConditionKind.PARAM,unknownObjectBehavior,ConditionKind.PARAM,unknownObjectBehavior,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
FixedOrderComparator,setUnknownObjectBehavior(unknownObjectBehavior),ConditionKind.THROWS,UnsupportedOperationException,ConditionKind.THROWS,UnsupportedOperationException,,assert !receiverObjectID.isLocked();,AssertionRelation.UNEXPECTED,
FixedOrderComparator,setUnknownObjectBehavior(unknownObjectBehavior),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
FixedOrderComparator,add(obj),ConditionKind.PARAM,obj,ConditionKind.PARAM,obj,,assert args[0] instanceof java.lang.Object;,AssertionRelation.UNEXPECTED,
FixedOrderComparator,add(obj),ConditionKind.THROWS,UnsupportedOperationException,ConditionKind.THROWS,UnsupportedOperationException,,assert !receiverObjectID.isLocked();,AssertionRelation.UNEXPECTED,
FixedOrderComparator,add(obj),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == !receiverObjectID.add(args[0]);,AssertionRelation.UNEXPECTED,
FixedOrderComparator,addAsEqual(existingObj newObj),ConditionKind.PARAM,existingObj,ConditionKind.PARAM,existingObj,,assert args[0] instanceof java.lang.Object;,AssertionRelation.UNEXPECTED,
FixedOrderComparator,addAsEqual(existingObj newObj),ConditionKind.PARAM,newObj,ConditionKind.PARAM,newObj,,assert args[1] instanceof java.lang.Object;,AssertionRelation.UNEXPECTED,
FixedOrderComparator,addAsEqual(existingObj newObj),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,assert !receiverObjectID.add(args[0]);,AssertionRelation.UNEXPECTED,
FixedOrderComparator,addAsEqual(existingObj newObj),ConditionKind.THROWS,UnsupportedOperationException,ConditionKind.THROWS,UnsupportedOperationException,,assert receiverObjectID.isLocked();,AssertionRelation.UNEXPECTED,
FixedOrderComparator,addAsEqual(existingObj newObj),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == !receiverObjectID.addAsEqual(args[0], args[1]);",AssertionRelation.UNEXPECTED,
FixedOrderComparator,compare(obj1 obj2),ConditionKind.PARAM,obj1,ConditionKind.PARAM,obj1,,"assert receiverObjectID.isLocked() || receiverObjectID.add(args[0]) || receiverObjectID.addAsEqual(receiverObjectID.getUnknownObjectBehavior(), args[0]);",AssertionRelation.UNEXPECTED,
FixedOrderComparator,compare(obj1 obj2),ConditionKind.PARAM,obj2,ConditionKind.PARAM,obj2,,"assert receiverObjectID.isLocked() || receiverObjectID.add(args[1]) || receiverObjectID.addAsEqual(receiverObjectID.getUnknownObjectBehavior(), args[1]);",AssertionRelation.UNEXPECTED,
FixedOrderComparator,compare(obj1 obj2),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,assert !receiverObjectID.isLocked() || receiverObjectID.getUnknownObjectBehavior() != org.apache.commons.collections4.comparators.FixedOrderComparator.UnknownObjectBehavior.IGNORE;,AssertionRelation.UNEXPECTED,
FixedOrderComparator,compare(obj1 obj2),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == receiverObjectID.compare(args[0], args[1]) <= 0;",AssertionRelation.UNEXPECTED,
FixedOrderComparator,hashCode(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FixedOrderComparator,equals(object),ConditionKind.PARAM,object,ConditionKind.PARAM,object,,assert java.lang.Object.class.isAssignableFrom(args[0].getClass());,AssertionRelation.UNEXPECTED,
FixedOrderComparator,equals(object),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.equals(args[0]);,AssertionRelation.UNEXPECTED,
