class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
IfClosure,org.apache.commons.collections4.functors.IfClosure(predicate trueClosure),ConditionKind.PARAM,predicate,ConditionKind.PARAM,predicate,assert (args[0]==null) == false;,assert args[0] != null;,AssertionRelation.EQUIVALENT,
IfClosure,org.apache.commons.collections4.functors.IfClosure(predicate trueClosure),ConditionKind.PARAM,trueClosure,ConditionKind.PARAM,trueClosure,assert (args[1]==null) == false;,assert args[1] != null;,AssertionRelation.EQUIVALENT,
IfClosure,org.apache.commons.collections4.functors.IfClosure(predicate trueClosure falseClosure),ConditionKind.PARAM,predicate,ConditionKind.PARAM,predicate,assert (args[0]==null) == false;,assert args[0] != null;,AssertionRelation.EQUIVALENT,
IfClosure,org.apache.commons.collections4.functors.IfClosure(predicate trueClosure falseClosure),ConditionKind.PARAM,trueClosure,ConditionKind.PARAM,trueClosure,assert (args[1]==null) == false;,assert args[1] != null;,AssertionRelation.EQUIVALENT,
IfClosure,org.apache.commons.collections4.functors.IfClosure(predicate trueClosure falseClosure),ConditionKind.PARAM,falseClosure,ConditionKind.PARAM,falseClosure,assert (args[2]==null) == false;,assert args[2] != null;,AssertionRelation.EQUIVALENT,
IfClosure,ifClosure(predicate trueClosure),ConditionKind.PARAM,predicate,ConditionKind.PARAM,<E>,,,AssertionRelation.EMPTY,
IfClosure,ifClosure(predicate trueClosure),ConditionKind.PARAM,trueClosure,ConditionKind.PARAM,predicate,,,AssertionRelation.EMPTY,
IfClosure,ifClosure(predicate trueClosure),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,trueClosure,assert args[0]==null || args[1]==null;,,AssertionRelation.MISSING,
IfClosure,ifClosure(predicate trueClosure),ConditionKind.RETURN,,ConditionKind.THROWS,NullPointerException,,assert args[0] == null || args[1] == null;,AssertionRelation.UNEXPECTED,
IfClosure,ifClosure(predicate trueClosure falseClosure),ConditionKind.PARAM,predicate,ConditionKind.PARAM,<E>,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
IfClosure,ifClosure(predicate trueClosure falseClosure),ConditionKind.PARAM,trueClosure,ConditionKind.PARAM,predicate,,assert args[1] != null;,AssertionRelation.UNEXPECTED,
IfClosure,ifClosure(predicate trueClosure falseClosure),ConditionKind.PARAM,falseClosure,ConditionKind.PARAM,trueClosure,,assert args[2] != null;,AssertionRelation.UNEXPECTED,
IfClosure,ifClosure(predicate trueClosure falseClosure),ConditionKind.THROWS,NullPointerException,ConditionKind.PARAM,falseClosure,assert args[0]==null || args[1]==null || args[2]==null;,assert args[3] != null;,AssertionRelation.INCOMPARABLE,
IfClosure,ifClosure(predicate trueClosure falseClosure),ConditionKind.RETURN,,ConditionKind.THROWS,NullPointerException,,assert args[0] != null && args[1] != null && args[2] != null;,AssertionRelation.UNEXPECTED,
IfClosure,execute(input),ConditionKind.PARAM,input,ConditionKind.PARAM,input,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
IfClosure,getPredicate(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getPredicate();,AssertionRelation.UNEXPECTED,
IfClosure,getTrueClosure(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getTrueClosure();,AssertionRelation.UNEXPECTED,
IfClosure,getFalseClosure(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.getFalseClosure();,AssertionRelation.UNEXPECTED,
