class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
KeyAnalyzer,bitsPerElement(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.bitsPerElement();,AssertionRelation.UNEXPECTED,
KeyAnalyzer,lengthInBits(key),ConditionKind.PARAM,key,ConditionKind.PARAM,key,,assert receiverObjectID instanceof java.lang.Integer;,AssertionRelation.UNEXPECTED,
KeyAnalyzer,lengthInBits(key),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == receiverObjectID.lengthInBits(args[0]);,AssertionRelation.UNEXPECTED,
KeyAnalyzer,isBitSet(key bitIndex lengthInBits),ConditionKind.PARAM,key,ConditionKind.PARAM,key,assert (args[0]==null) == false;,assert args[0] != null;,AssertionRelation.EQUIVALENT,
KeyAnalyzer,isBitSet(key bitIndex lengthInBits),ConditionKind.PARAM,bitIndex,ConditionKind.PARAM,bitIndex,,assert args[1] instanceof Integer && ((Integer)args[1]).intValue() >= 0;,AssertionRelation.UNEXPECTED,
KeyAnalyzer,isBitSet(key bitIndex lengthInBits),ConditionKind.PARAM,lengthInBits,ConditionKind.PARAM,lengthInBits,,assert args[2] instanceof Integer && ((Integer)args[2]).intValue() >= 0;,AssertionRelation.UNEXPECTED,
KeyAnalyzer,isBitSet(key bitIndex lengthInBits),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == args[1] >= 0 && receiverObjectID.lengthInBits(args[0]) > args[1];,AssertionRelation.UNEXPECTED,
KeyAnalyzer,bitIndex(key offsetInBits lengthInBits other otherOffsetInBits otherLengthInBits),ConditionKind.PARAM,key,ConditionKind.PARAM,key,,,AssertionRelation.EMPTY,
KeyAnalyzer,bitIndex(key offsetInBits lengthInBits other otherOffsetInBits otherLengthInBits),ConditionKind.PARAM,offsetInBits,ConditionKind.PARAM,offsetInBits,,,AssertionRelation.EMPTY,
KeyAnalyzer,bitIndex(key offsetInBits lengthInBits other otherOffsetInBits otherLengthInBits),ConditionKind.PARAM,lengthInBits,ConditionKind.PARAM,lengthInBits,,,AssertionRelation.EMPTY,
KeyAnalyzer,bitIndex(key offsetInBits lengthInBits other otherOffsetInBits otherLengthInBits),ConditionKind.PARAM,other,ConditionKind.PARAM,other,,,AssertionRelation.EMPTY,
KeyAnalyzer,bitIndex(key offsetInBits lengthInBits other otherOffsetInBits otherLengthInBits),ConditionKind.PARAM,otherOffsetInBits,ConditionKind.PARAM,otherOffsetInBits,,,AssertionRelation.EMPTY,
KeyAnalyzer,bitIndex(key offsetInBits lengthInBits other otherOffsetInBits otherLengthInBits),ConditionKind.PARAM,otherLengthInBits,ConditionKind.PARAM,otherLengthInBits,,,AssertionRelation.EMPTY,
KeyAnalyzer,bitIndex(key offsetInBits lengthInBits other otherOffsetInBits otherLengthInBits),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID == args[1];,assert methodResultID != -1;,AssertionRelation.UNSUPPORTED,Error during parsing: Unexpected end
KeyAnalyzer,isPrefix(prefix offsetInBits lengthInBits key),ConditionKind.PARAM,prefix,ConditionKind.PARAM,prefix,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
KeyAnalyzer,isPrefix(prefix offsetInBits lengthInBits key),ConditionKind.PARAM,offsetInBits,ConditionKind.PARAM,offsetInBits,,assert args[1] instanceof Integer;,AssertionRelation.UNEXPECTED,
KeyAnalyzer,isPrefix(prefix offsetInBits lengthInBits key),ConditionKind.PARAM,lengthInBits,ConditionKind.PARAM,lengthInBits,,assert args[2] instanceof Integer;,AssertionRelation.UNEXPECTED,
KeyAnalyzer,isPrefix(prefix offsetInBits lengthInBits key),ConditionKind.PARAM,key,ConditionKind.PARAM,key,,assert args[3] != null;,AssertionRelation.UNEXPECTED,
KeyAnalyzer,isPrefix(prefix offsetInBits lengthInBits key),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == receiverObjectID.isPrefix(args[0], args[1], args[3]);",AssertionRelation.UNEXPECTED,
