class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
FunctionUtils,compose(f),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert true;,AssertionRelation.UNEXPECTED,
FunctionUtils,compose(f),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResult != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,compose(f),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert args[0].size() > 0;,AssertionRelation.UNEXPECTED,
FunctionUtils,compose(f),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResult instanceof org.apache.commons.math3.analysis.differentiation.UnivariateDifferentiableFunction;,AssertionRelation.UNEXPECTED,
FunctionUtils,compose(f),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert args[0] instanceof org.apache.commons.math3.analysis.DifferentiableUnivariateFunction;,AssertionRelation.UNEXPECTED,
FunctionUtils,compose(f),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResult instanceof org.apache.commons.math3.analysis.DifferentiableUnivariateFunction;,AssertionRelation.UNEXPECTED,
FunctionUtils,add(f),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,add(f),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResult != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,add(f),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert args[0] instanceof java.util.List;,AssertionRelation.UNEXPECTED,
FunctionUtils,add(f),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID instanceof org.apache.commons.math3.analysis.differentiation.UnivariateDifferentiableFunction;,AssertionRelation.UNEXPECTED,
FunctionUtils,add(f),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert f != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,add(f),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID instanceof org.apache.commons.math3.analysis.differentiation.UnivariateDifferentiableFunction;,AssertionRelation.UNEXPECTED,
FunctionUtils,multiply(f),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,multiply(f),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResult != null && methodResult instanceof org.apache.commons.math3.analysis.UnivariateFunction;,AssertionRelation.UNEXPECTED,
FunctionUtils,multiply(f),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,multiply(f),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResult != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,multiply(f),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,multiply(f),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID instanceof org.apache.commons.math3.analysis.DifferentiableUnivariateFunction;,AssertionRelation.UNEXPECTED,
FunctionUtils,combine(combiner f g),ConditionKind.PARAM,combiner,ConditionKind.PARAM,combiner,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,combine(combiner f g),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert args[1] != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,combine(combiner f g),ConditionKind.PARAM,g,ConditionKind.PARAM,g,,assert args[2] != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,combine(combiner f g),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResult instanceof org.apache.commons.math3.analysis.UnivariateFunction;,AssertionRelation.UNEXPECTED,
FunctionUtils,collector(combiner f initialValue),ConditionKind.PARAM,combiner,ConditionKind.PARAM,combiner,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,collector(combiner f initialValue),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert args[1] != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,collector(combiner f initialValue),ConditionKind.PARAM,initialValue,ConditionKind.PARAM,initialValue,,assert true;,AssertionRelation.UNEXPECTED,
FunctionUtils,collector(combiner f initialValue),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResult != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,collector(combiner initialValue),ConditionKind.PARAM,combiner,ConditionKind.PARAM,combiner,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,collector(combiner initialValue),ConditionKind.PARAM,initialValue,ConditionKind.PARAM,initialValue,,assert !Double.isNaN(args[1]);,AssertionRelation.UNEXPECTED,
FunctionUtils,collector(combiner initialValue),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResult instanceof org.apache.commons.math3.analysis.MultivariateFunction;,AssertionRelation.UNEXPECTED,
FunctionUtils,fix1stArgument(f fixed),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
FunctionUtils,fix1stArgument(f fixed),ConditionKind.PARAM,fixed,ConditionKind.PARAM,fixed,,assert true;,AssertionRelation.UNEXPECTED,
FunctionUtils,fix1stArgument(f fixed),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResult != null && methodResult instanceof org.apache.commons.math3.analysis.UnivariateFunction;,AssertionRelation.UNEXPECTED,
FunctionUtils,fix2ndArgument(f fixed),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,assert args[0] instanceof org.apache.commons.math3.analysis.BivariateFunction;,AssertionRelation.UNEXPECTED,
FunctionUtils,fix2ndArgument(f fixed),ConditionKind.PARAM,fixed,ConditionKind.PARAM,fixed,,assert !Double.isNaN(args[1]) && !Double.isInfinite(args[1]);,AssertionRelation.UNEXPECTED,
