class_fqn,param_precision,param_recall,return_precision,return_recall,throws_precision,throws_recall,overall_precision,overall_recall,overall_f1
Graph,0.038461538461538464,1.0,0.09523809523809523,0.5,0.6666666666666666,0.6666666666666666,0.16071428571428573,0.6428571428571429,
CompleteGraphGenerator,0.0,,,,1.0,1.0,0.5,1.0,
Graphs,0.05405405405405406,1.0,0.07142857142857142,0.5,0.0,0.0,0.05660377358490566,0.5,
EmptyGraphGenerator,0.0,,,,1.0,1.0,0.5,1.0,
AbstractPathElementList,0.0,,,,0.8333333333333334,1.0,0.45454545454545453,1.0,
LinearGraphGenerator,0.0,,,,1.0,1.0,0.5,1.0,
KShortestPaths,0.0,,0.0,,1.0,1.0,0.25,1.0,
AbstractGraph,0.0,,0.0,,0.5,0.5,0.07142857142857142,0.5,
DirectedSimpleCycles,0.0,,0.0,0.0,1.0,1.0,0.4,0.6666666666666666,
GraphDelegator,0.0,,,,,0.0,0.0,0.0,
PatonCycleBase,0.0,,,,1.0,1.0,0.5,1.0,
