class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Graph,getAllEdges(sourceVertex targetVertex),ConditionKind.PARAM,sourceVertex,ConditionKind.PARAM,sourceVertex,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Graph,getAllEdges(sourceVertex targetVertex),ConditionKind.PARAM,targetVertex,ConditionKind.PARAM,targetVertex,,assert args[1] != null;,AssertionRelation.UNEXPECTED,
Graph,getAllEdges(sourceVertex targetVertex),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == null || (receiverObjectID.containsVertex(args[0]) && receiverObjectID.containsVertex(args[1]));,AssertionRelation.UNEXPECTED,
Graph,getEdge(sourceVertex targetVertex),ConditionKind.PARAM,sourceVertex,ConditionKind.PARAM,sourceVertex,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Graph,getEdge(sourceVertex targetVertex),ConditionKind.PARAM,targetVertex,ConditionKind.PARAM,targetVertex,,assert args[1] != null;,AssertionRelation.UNEXPECTED,
Graph,getEdge(sourceVertex targetVertex),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == null || (receiverObjectID.containsEdge(args[0], args[1]) && receiverObjectID.getEdge(args[0], args[1]) != null);",AssertionRelation.UNEXPECTED,
Graph,getEdgeFactory(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID instanceof org.jgrapht.EdgeFactory;,AssertionRelation.UNEXPECTED,
Graph,addEdge(sourceVertex targetVertex),ConditionKind.PARAM,sourceVertex,ConditionKind.PARAM,sourceVertex,,assert receiverObjectID.containsVertex(args[0]);,AssertionRelation.UNEXPECTED,
Graph,addEdge(sourceVertex targetVertex),ConditionKind.PARAM,targetVertex,ConditionKind.PARAM,targetVertex,,assert receiverObjectID.containsVertex(args[1]);,AssertionRelation.UNEXPECTED,
Graph,addEdge(sourceVertex targetVertex),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert receiverObjectID.contains(arg[0])==false || receiverObjectID.contains(arg[1])==false;,assert !receiverObjectID.containsVertex(args[0]) || !receiverObjectID.containsVertex(args[1]);,AssertionRelation.INCOMPARABLE,
