class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
KShortestPaths,KShortestPaths(graph startVertex k),ConditionKind.PARAM,graph,ConditionKind.PARAM,graph,,assert args[0] instanceof org.jgrapht.Graph;,AssertionRelation.UNEXPECTED,
KShortestPaths,KShortestPaths(graph startVertex k),ConditionKind.PARAM,startVertex,ConditionKind.PARAM,startVertex,,assert args[1] != null;,AssertionRelation.UNEXPECTED,
KShortestPaths,KShortestPaths(graph startVertex k),ConditionKind.PARAM,k,ConditionKind.PARAM,k,,assert args[2] > 0 && (args[2] % 1 == 0);,AssertionRelation.UNEXPECTED,
KShortestPaths,KShortestPaths(graph startVertex nPaths nMaxHops),ConditionKind.PARAM,graph,ConditionKind.PARAM,graph,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
KShortestPaths,KShortestPaths(graph startVertex nPaths nMaxHops),ConditionKind.PARAM,startVertex,ConditionKind.PARAM,startVertex,,assert args[1] != null;,AssertionRelation.UNEXPECTED,
KShortestPaths,KShortestPaths(graph startVertex nPaths nMaxHops),ConditionKind.PARAM,nPaths,ConditionKind.PARAM,nPaths,,assert args[2] > 0;,AssertionRelation.UNEXPECTED,
KShortestPaths,KShortestPaths(graph startVertex nPaths nMaxHops),ConditionKind.PARAM,nMaxHops,ConditionKind.PARAM,nMaxHops,,assert args[3] > 0;,AssertionRelation.UNEXPECTED,
KShortestPaths,KShortestPaths(graph startVertex nPaths nMaxHops),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null || args[1]==null;,assert args[0] == null || args[1] == null;,AssertionRelation.IDENTICAL,
KShortestPaths,KShortestPaths(graph startVertex nPaths nMaxHops),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[2]<0 || args[2]==0;,assert args[2] < 0 || args[2] == 0;,AssertionRelation.IDENTICAL,
KShortestPaths,KShortestPaths(graph startVertex nPaths nMaxHops),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[3]<0 || args[3]==0;,assert args[3] < 0 || args[3] == 0;,AssertionRelation.IDENTICAL,
KShortestPaths,getPaths(endVertex),ConditionKind.PARAM,endVertex,ConditionKind.PARAM,endVertex,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
KShortestPaths,getPaths(endVertex),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == null || receiverObjectID.getPaths(args[0]) != null;,AssertionRelation.UNEXPECTED,
