class_fqn,param_precision,param_recall,return_precision,return_recall,throws_precision,throws_recall,overall_precision,overall_recall,overall_f1
Graph,0.0,,0.0,0.0,0.5,0.5555555555555556,0.08771929824561403,0.38461538461538464,
CompleteGraphGenerator,0.0,,,,1.0,1.0,0.5,1.0,
Graphs,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
EmptyGraphGenerator,0.0,,,,1.0,1.0,0.5,1.0,
AbstractPathElementList,0.0,,,,0.6666666666666666,0.8,0.36363636363636365,0.8,
LinearGraphGenerator,0.0,,,,1.0,1.0,0.5,1.0,
KShortestPaths,0.0,,0.0,,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.6666666666666666,
AbstractGraph,0.0,,0.0,,0.5,0.5,0.07142857142857142,0.5,
DirectedSimpleCycles,0.0,,0.0,0.0,0.5,0.5,0.2,0.3333333333333333,
GraphDelegator,0.0,,,,1.0,1.0,0.5,1.0,
PatonCycleBase,0.0,,,,1.0,1.0,0.5,1.0,
