class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Graphs,addEdge(g sourceVertex targetVertex weight),ConditionKind.PARAM,g,ConditionKind.PARAM,g,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Graphs,addEdge(g sourceVertex targetVertex weight),ConditionKind.PARAM,sourceVertex,ConditionKind.PARAM,sourceVertex,,assert args[1] != null;,AssertionRelation.UNEXPECTED,
Graphs,addEdge(g sourceVertex targetVertex weight),ConditionKind.PARAM,targetVertex,ConditionKind.PARAM,targetVertex,,assert args[2] != null;,AssertionRelation.UNEXPECTED,
Graphs,addEdge(g sourceVertex targetVertex weight),ConditionKind.PARAM,weight,ConditionKind.PARAM,weight,,assert args[3] >= 0;,AssertionRelation.UNEXPECTED,
Graphs,addEdge(g sourceVertex targetVertex weight),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == null ? methodResultID : (methodResultID != null && ((org.jgrapht.Graph)args[0]).containsEdge(((java.lang.Object)args[1]), ((java.lang.Object)args[2])));",AssertionRelation.UNEXPECTED,
Graphs,addEdgeWithVertices(g sourceVertex targetVertex),ConditionKind.PARAM,g,ConditionKind.PARAM,g,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Graphs,addEdgeWithVertices(g sourceVertex targetVertex),ConditionKind.PARAM,sourceVertex,ConditionKind.PARAM,sourceVertex,,assert args[1] != null;,AssertionRelation.UNEXPECTED,
Graphs,addEdgeWithVertices(g sourceVertex targetVertex),ConditionKind.PARAM,targetVertex,ConditionKind.PARAM,targetVertex,,assert args[2] != null;,AssertionRelation.UNEXPECTED,
Graphs,addEdgeWithVertices(g sourceVertex targetVertex),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert (methodResultID != null) == ((org.jgrapht.Graph)args[0]).addEdge(args[1], args[2]) != null;",AssertionRelation.UNEXPECTED,
Graphs,addEdgeWithVertices(targetGraph sourceGraph edge),ConditionKind.PARAM,targetGraph,ConditionKind.PARAM,targetGraph,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Graphs,addEdgeWithVertices(targetGraph sourceGraph edge),ConditionKind.PARAM,sourceGraph,ConditionKind.PARAM,sourceGraph,,assert args[1] != null;,AssertionRelation.UNEXPECTED,
Graphs,addEdgeWithVertices(targetGraph sourceGraph edge),ConditionKind.PARAM,edge,ConditionKind.PARAM,edge,,assert args[2] != null;,AssertionRelation.UNEXPECTED,
Graphs,addEdgeWithVertices(targetGraph sourceGraph edge),ConditionKind.RETURN,,ConditionKind.RETURN,,assert (args[0]==null)==false && (args[0].containsEdge(args[2]))==false?methodResultID==true:methodResultID==false;,assert methodResultID == true;,AssertionRelation.INCOMPARABLE,
Graphs,addEdgeWithVertices(g sourceVertex targetVertex weight),ConditionKind.PARAM,g,ConditionKind.PARAM,g,,assert args[0] instanceof org.jgrapht.Graph;,AssertionRelation.UNEXPECTED,
Graphs,addEdgeWithVertices(g sourceVertex targetVertex weight),ConditionKind.PARAM,sourceVertex,ConditionKind.PARAM,sourceVertex,,assert args[1] != null;,AssertionRelation.UNEXPECTED,
Graphs,addEdgeWithVertices(g sourceVertex targetVertex weight),ConditionKind.PARAM,targetVertex,ConditionKind.PARAM,targetVertex,,assert args[2] != null;,AssertionRelation.UNEXPECTED,
Graphs,addEdgeWithVertices(g sourceVertex targetVertex weight),ConditionKind.PARAM,weight,ConditionKind.PARAM,weight,,assert !Double.isNaN(args[3]);,AssertionRelation.UNEXPECTED,
Graphs,addEdgeWithVertices(g sourceVertex targetVertex weight),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == null ? (g.containsKey(sourceVertex) && g.containsKey(targetVertex)) : true;,AssertionRelation.UNEXPECTED,
Graphs,addGraph(destination source),ConditionKind.PARAM,destination,ConditionKind.PARAM,destination,,assert !(args[0] instanceof java.util.Observable);,AssertionRelation.UNEXPECTED,
Graphs,addGraph(destination source),ConditionKind.PARAM,source,ConditionKind.PARAM,source,,assert !(args[1] instanceof java.util.Observable);,AssertionRelation.UNEXPECTED,
Graphs,addGraph(destination source),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == (args[0].getVertexCount() != args[1].getVertexCount()) || (args[0].getEdgeSet().size() != args[1].getEdgeSet().size());,AssertionRelation.UNEXPECTED,
Graphs,addGraphReversed(destination source),ConditionKind.PARAM,destination,ConditionKind.PARAM,destination,,assert !destination.isModified();,AssertionRelation.UNEXPECTED,
Graphs,addGraphReversed(destination source),ConditionKind.PARAM,source,ConditionKind.PARAM,source,,assert !source.isModified();,AssertionRelation.UNEXPECTED,
Graphs,addAllEdges(destination source edges),ConditionKind.PARAM,destination,ConditionKind.PARAM,destination,,assert !args[0].isModified();,AssertionRelation.UNEXPECTED,
Graphs,addAllEdges(destination source edges),ConditionKind.PARAM,source,ConditionKind.PARAM,source,,assert !args[1].isModified();,AssertionRelation.UNEXPECTED,
Graphs,addAllEdges(destination source edges),ConditionKind.PARAM,edges,ConditionKind.PARAM,edges,,assert args[2] != null;,AssertionRelation.UNEXPECTED,
Graphs,addAllEdges(destination source edges),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == true;,AssertionRelation.UNEXPECTED,
Graphs,addAllVertices(destination vertices),ConditionKind.PARAM,destination,ConditionKind.PARAM,destination,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Graphs,addAllVertices(destination vertices),ConditionKind.PARAM,vertices,ConditionKind.PARAM,vertices,,assert args[1] != null;,AssertionRelation.UNEXPECTED,
Graphs,addAllVertices(destination vertices),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert (args[1]==null)==false && args[1].contains(null)||args[1]==null;,assert args[1].stream().anyMatch(v -> v == null) || args[0] == null;,AssertionRelation.INCOMPARABLE,
Graphs,addAllVertices(destination vertices),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == true;,AssertionRelation.UNEXPECTED,
Graphs,neighborListOf(g vertex),ConditionKind.PARAM,g,ConditionKind.PARAM,g,,assert args[0] instanceof org.jgrapht.Graph;,AssertionRelation.UNEXPECTED,
Graphs,neighborListOf(g vertex),ConditionKind.PARAM,vertex,ConditionKind.PARAM,vertex,,assert args[1] != null;,AssertionRelation.UNEXPECTED,
Graphs,neighborListOf(g vertex),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID.contains(args[1]);,AssertionRelation.UNEXPECTED,
Graphs,predecessorListOf(g vertex),ConditionKind.PARAM,g,ConditionKind.PARAM,g,,assert args[0] instanceof org.jgrapht.DirectedGraph;,AssertionRelation.UNEXPECTED,
Graphs,predecessorListOf(g vertex),ConditionKind.PARAM,vertex,ConditionKind.PARAM,vertex,,assert args[1] instanceof java.lang.Object;,AssertionRelation.UNEXPECTED,
Graphs,predecessorListOf(g vertex),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
Graphs,successorListOf(g vertex),ConditionKind.PARAM,g,ConditionKind.PARAM,g,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Graphs,successorListOf(g vertex),ConditionKind.PARAM,vertex,ConditionKind.PARAM,vertex,,assert args[1] != null;,AssertionRelation.UNEXPECTED,
Graphs,successorListOf(g vertex),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null && ((org.jgrapht.graph.DirectedGraph<? extends org.jgrapht.graph.DefaultEdge>) args[0]).getSuccessors(args[1]) == methodResultID;,AssertionRelation.UNEXPECTED,
Graphs,undirectedGraph(g),ConditionKind.PARAM,g,ConditionKind.PARAM,g,,assert !(args[0] instanceof org.jgrapht.DirectedGraph) && (args[0] instanceof org.jgrapht.Graph);,AssertionRelation.UNEXPECTED,
Graphs,undirectedGraph(g),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert !(args[0] instanceof org.jgrapht.DirectedGraph) && !(args[0] instanceof org.jgrapht.UndirectedGraph);,assert !(args[0] instanceof org.jgrapht.Graph) || (args[0] instanceof org.jgrapht.DirectedGraph && args[0] instanceof org.jgrapht.UndirectedGraph);,AssertionRelation.INCOMPARABLE,
Graphs,undirectedGraph(g),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert (methodResultID instanceof org.jgrapht.Graph) && ((org.jgrapht.Graph) methodResultID).isDirected() == false || methodResultID == args[0];,AssertionRelation.UNEXPECTED,
Graphs,testIncidence(g e v),ConditionKind.PARAM,g,ConditionKind.PARAM,g,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Graphs,testIncidence(g e v),ConditionKind.PARAM,e,ConditionKind.PARAM,e,,assert args[1] != null && ((org.jgrapht.Graph)args[0]).containsEdge(args[1]);,AssertionRelation.UNEXPECTED,
Graphs,testIncidence(g e v),ConditionKind.PARAM,v,ConditionKind.PARAM,v,,assert args[2] != null && ((org.jgrapht.Graph)args[0]).containsVertex(args[2]);,AssertionRelation.UNEXPECTED,
Graphs,testIncidence(g e v),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == ((org.jgrapht.Graph)args[0]).containsEdge((java.lang.Object)args[1], (java.lang.Object)args[2]);",AssertionRelation.UNEXPECTED,
Graphs,getOppositeVertex(g e v),ConditionKind.PARAM,g,ConditionKind.PARAM,g,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Graphs,getOppositeVertex(g e v),ConditionKind.PARAM,e,ConditionKind.PARAM,e,,"assert java.util.Objects.equals(args[1], args[2]);",AssertionRelation.UNEXPECTED,
Graphs,getOppositeVertex(g e v),ConditionKind.PARAM,v,ConditionKind.PARAM,v,,"assert java.util.Objects.equals(args[2], args[3]);",AssertionRelation.UNEXPECTED,
Graphs,getOppositeVertex(g e v),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID == ((org.jgrapht.Graph)args[0]).getVertex((java.lang.Object)args[1], (java.lang.Object)args[2]);",AssertionRelation.UNEXPECTED,
Graphs,getPathVertexList(path),ConditionKind.PARAM,path,ConditionKind.PARAM,path,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
Graphs,getPathVertexList(path),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID != null;,AssertionRelation.UNEXPECTED,
