class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
AbstractPathElementList,AbstractPathElementList(graph maxSize elementList edge),ConditionKind.PARAM,maxSize,ConditionKind.PARAM,maxSize,,assert args[1] > 0;,AssertionRelation.UNEXPECTED,
AbstractPathElementList,AbstractPathElementList(graph maxSize elementList edge),ConditionKind.PARAM,elementList,ConditionKind.PARAM,elementList,,assert args[2] != null;,AssertionRelation.UNEXPECTED,
AbstractPathElementList,AbstractPathElementList(graph maxSize elementList edge),ConditionKind.PARAM,edge,ConditionKind.PARAM,edge,,assert args[3] != null;,AssertionRelation.UNEXPECTED,
AbstractPathElementList,AbstractPathElementList(graph maxSize elementList edge),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[2]==null || args[3]==null;,assert args[2]==null || args[3]==null;,AssertionRelation.IDENTICAL,
AbstractPathElementList,AbstractPathElementList(graph maxSize elementList edge),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[1]<0 || args[1]==0;,assert args[1]<0 || args[1]==0;,AssertionRelation.IDENTICAL,
AbstractPathElementList,AbstractPathElementList(graph maxSize pathElement),ConditionKind.PARAM,maxSize,ConditionKind.PARAM,maxSize,,assert args[1] >= 0;,AssertionRelation.UNEXPECTED,
AbstractPathElementList,AbstractPathElementList(graph maxSize pathElement),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[2]==null;,assert args[2]==null;,AssertionRelation.IDENTICAL,
AbstractPathElementList,AbstractPathElementList(graph maxSize pathElement),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[1]<0 || args[1]==0;,assert (args[2]!=null && ((org.jgrapht.alg.AbstractPathElement) args[2]).size() > 0);,AssertionRelation.INCOMPARABLE,
AbstractPathElementList,AbstractPathElementList(graph maxSize pathElement),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,assert (args[2]!=null && ((org.jgrapht.alg.AbstractPathElement) args[2]).size() > 0);,AssertionRelation.UNEXPECTED,
AbstractPathElementList,AbstractPathElementList(graph maxSize vertex),ConditionKind.PARAM,maxSize,ConditionKind.PARAM,maxSize,,assert args[1] > 0;,AssertionRelation.UNEXPECTED,
AbstractPathElementList,AbstractPathElementList(graph maxSize vertex),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[1]<0 || args[1]==0;,assert args[1] < 0 || args[1] == 0;,AssertionRelation.IDENTICAL,
