class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
AbstractGraph,toString(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID instanceof String;,AssertionRelation.UNEXPECTED,
AbstractGraph,assertVertexExist(v),ConditionKind.PARAM,v,ConditionKind.PARAM,v,,assert args[0] != null;,AssertionRelation.UNEXPECTED,
AbstractGraph,assertVertexExist(v),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0] == null;,AssertionRelation.IDENTICAL,
AbstractGraph,assertVertexExist(v),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert receiverObjectID.containsVertex(arg[0])==false;,assert false;,AssertionRelation.WEAKER,
AbstractGraph,assertVertexExist(v),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == true;,AssertionRelation.UNEXPECTED,
AbstractGraph,removeAllEdges(edges),ConditionKind.PARAM,edges,ConditionKind.PARAM,edges,,assert args[0] instanceof Object[];,AssertionRelation.UNEXPECTED,
AbstractGraph,removeAllEdges(edges),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == true;,AssertionRelation.UNEXPECTED,
AbstractGraph,toStringFromSets(vertexSet edgeSet directed),ConditionKind.PARAM,vertexSet,ConditionKind.PARAM,vertexSet,,assert args[0] instanceof java.util.Collection;,AssertionRelation.UNEXPECTED,
AbstractGraph,toStringFromSets(vertexSet edgeSet directed),ConditionKind.PARAM,edgeSet,ConditionKind.PARAM,edgeSet,,assert args[1] instanceof java.util.Collection;,AssertionRelation.UNEXPECTED,
AbstractGraph,toStringFromSets(vertexSet edgeSet directed),ConditionKind.PARAM,directed,ConditionKind.PARAM,directed,,assert args[2] instanceof Boolean;,AssertionRelation.UNEXPECTED,
AbstractGraph,toStringFromSets(vertexSet edgeSet directed),ConditionKind.RETURN,,ConditionKind.RETURN,,,"assert methodResultID.toString().equals(""("" + args[0].toString() + "","" + args[1].toString() + "")"");",AssertionRelation.UNEXPECTED,
AbstractGraph,hashCode(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == (int)((this).hashCode() + ((List<Object>)(this)).edges().stream().mapToInt(e -> e.hashCode()).sum());,AssertionRelation.UNEXPECTED,
AbstractGraph,equals(obj),ConditionKind.PARAM,obj,ConditionKind.PARAM,obj,,assert args[0] instanceof Graph;,AssertionRelation.UNEXPECTED,
AbstractGraph,equals(obj),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert methodResultID == true;,AssertionRelation.UNEXPECTED,
