class_fqn,param_precision,param_recall,return_precision,return_recall,throws_precision,throws_recall,overall_precision,overall_recall,overall_f1
AnnotationUtils,0.2,0.5,0.0,0.0,0.0,,0.09090909090909091,0.3333333333333333,
ArrayFill,0.0,,0.0,,0.0,,0.0,,
DoubleRange,0.0,,0.0,,0.0,,0.0,,
Fraction,0.3333333333333333,1.0,0.0,,0.4166666666666667,0.8333333333333334,0.23076923076923078,0.8823529411764706,
ImmutablePair,0.2,1.0,0.0,,0.0,,0.1,1.0,
MutablePair,0.2727272727272727,1.0,0.0,,0.5,1.0,0.21052631578947367,1.0,
StrMatcher,0.0,,0.0,,,,0.0,,
StrTokenizer,0.0,0.0,0.0,,0.6,1.0,0.03333333333333333,0.42857142857142855,
WordUtils,0.0,0.0,0.0,,,,0.0,0.0,
NumericEntityEscaper,0.0,,0.0,,,,0.0,,
