"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"StrMatcher","charMatcher(ch)","ConditionKind.PARAM","ch","ConditionKind.PARAM","ch","","assert (args[0] == '\u0000') == false;","AssertionRelation.UNEXPECTED",""
"StrMatcher","charMatcher(ch)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"StrMatcher","charSetMatcher(chars)","ConditionKind.PARAM","chars","ConditionKind.PARAM","chars","","assert (args[0] != null && args[0].length > 0);","AssertionRelation.UNEXPECTED",""
"StrMatcher","charSetMatcher(chars)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"StrMatcher","charSetMatcher(chars)","ConditionKind.PARAM","chars","ConditionKind.PARAM","chars","","assert (args[0] != null) || !args[0].isEmpty();","AssertionRelation.UNEXPECTED",""
"StrMatcher","charSetMatcher(chars)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"StrMatcher","commaMatcher()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.commaMatcher());","AssertionRelation.UNEXPECTED",""
"StrMatcher","doubleQuoteMatcher()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.doubleQuoteMatcher());","AssertionRelation.UNEXPECTED",""
"StrMatcher","noneMatcher()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.noneMatcher());","AssertionRelation.UNEXPECTED",""
"StrMatcher","quoteMatcher()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"StrMatcher","singleQuoteMatcher()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.singleQuoteMatcher());","AssertionRelation.UNEXPECTED",""
"StrMatcher","spaceMatcher()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.spaceMatcher());","AssertionRelation.UNEXPECTED",""
"StrMatcher","splitMatcher()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.splitMatcher());","AssertionRelation.UNEXPECTED",""
"StrMatcher","stringMatcher(str)","ConditionKind.PARAM","str","ConditionKind.PARAM","str","","assert !(args[0] != null && args[0].isEmpty());","AssertionRelation.UNEXPECTED",""
"StrMatcher","stringMatcher(str)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"StrMatcher","tabMatcher()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.tabMatcher());","AssertionRelation.UNEXPECTED",""
"StrMatcher","trimMatcher()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.equals(receiverObjectID.trimMatcher());","AssertionRelation.UNEXPECTED",""
"StrMatcher","isMatch(buffer pos)","ConditionKind.PARAM","buffer","ConditionKind.PARAM","buffer","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"StrMatcher","isMatch(buffer pos)","ConditionKind.PARAM","pos","ConditionKind.PARAM","pos","","assert args[1] >= 0 && args[1] < args[0].length;","AssertionRelation.UNEXPECTED",""
"StrMatcher","isMatch(buffer pos)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= 0;","AssertionRelation.UNEXPECTED",""
"StrMatcher","isMatch(buffer pos bufferStart bufferEnd)","ConditionKind.PARAM","buffer","ConditionKind.PARAM","buffer","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"StrMatcher","isMatch(buffer pos bufferStart bufferEnd)","ConditionKind.PARAM","pos","ConditionKind.PARAM","pos","","assert args[1] >= 0 && args[1] < args[0].length;","AssertionRelation.UNEXPECTED",""
"StrMatcher","isMatch(buffer pos bufferStart bufferEnd)","ConditionKind.PARAM","bufferStart","ConditionKind.PARAM","bufferStart","","assert args[2] >= 0 && args[2] < args[0].length;","AssertionRelation.UNEXPECTED",""
"StrMatcher","isMatch(buffer pos bufferStart bufferEnd)","ConditionKind.PARAM","bufferEnd","ConditionKind.PARAM","bufferEnd","","assert args[3] > args[2] && args[3] <= args[0].length;","AssertionRelation.UNEXPECTED",""
"StrMatcher","isMatch(buffer pos bufferStart bufferEnd)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID >= 0;","AssertionRelation.UNEXPECTED",""
