"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"WordUtils","capitalize(str)","ConditionKind.PARAM","str","ConditionKind.PARAM","str","","assert args[0] == null || args[0] instanceof String;","AssertionRelation.UNEXPECTED",""
"WordUtils","capitalize(str)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (args[0] == null && methodResultID == null) || (args[0] != null && !methodResultID.equals(args[0]));","AssertionRelation.UNEXPECTED",""
"WordUtils","capitalize(str delimiters)","ConditionKind.PARAM","str","ConditionKind.PARAM","str","","assert args[0] == null || receiverObjectID != null;","AssertionRelation.UNEXPECTED",""
"WordUtils","capitalize(str delimiters)","ConditionKind.PARAM","delimiters","ConditionKind.PARAM","delimiters","assert args[1]==null;","assert args[1] == null || args[1].length > 0;","AssertionRelation.STRONGER",""
"WordUtils","capitalize(str delimiters)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"WordUtils","capitalizeFully(str)","ConditionKind.PARAM","str","ConditionKind.PARAM","str","","assert args[0] == null || args[0] instanceof String;","AssertionRelation.UNEXPECTED",""
"WordUtils","capitalizeFully(str)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (args[0] == null && methodResultID == null) || (args[0] != null && methodResultID != null);","AssertionRelation.UNEXPECTED",""
"WordUtils","capitalizeFully(str delimiters)","ConditionKind.PARAM","str","ConditionKind.PARAM","str","","assert (args[0]==null) || args[0] instanceof String;","AssertionRelation.UNEXPECTED",""
"WordUtils","capitalizeFully(str delimiters)","ConditionKind.PARAM","delimiters","ConditionKind.PARAM","delimiters","assert args[1]==null;","assert (args[1]==null) || (args[1] instanceof Character);","AssertionRelation.STRONGER",""
"WordUtils","capitalizeFully(str delimiters)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"WordUtils","containsAllWords(word words)","ConditionKind.PARAM","word","ConditionKind.PARAM","word","","assert args[0] == null || args[0] instanceof CharSequence;","AssertionRelation.UNEXPECTED",""
"WordUtils","containsAllWords(word words)","ConditionKind.PARAM","words","ConditionKind.PARAM","words","","assert args[1] == null || args[1] instanceof CharSequence;","AssertionRelation.UNEXPECTED",""
"WordUtils","containsAllWords(word words)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.containsAllWords(args[0], args[1]);","AssertionRelation.UNEXPECTED",""
"WordUtils","initials(str)","ConditionKind.PARAM","str","ConditionKind.PARAM","str","","assert args[0] == null || args[0] instanceof String;","AssertionRelation.UNEXPECTED",""
"WordUtils","initials(str)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (args[0] == null && methodResultID == null) || (args[0] != null && methodResultID != null);","AssertionRelation.UNEXPECTED",""
"WordUtils","initials(str delimiters)","ConditionKind.PARAM","str","ConditionKind.PARAM","str","","assert (args[0]==null) || args[0] instanceof String;","AssertionRelation.UNEXPECTED",""
"WordUtils","initials(str delimiters)","ConditionKind.PARAM","delimiters","ConditionKind.PARAM","delimiters","assert args[1]==null;","assert (args[1]==null) || args[1] instanceof Character;","AssertionRelation.STRONGER",""
"WordUtils","initials(str delimiters)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"WordUtils","swapCase(str)","ConditionKind.PARAM","str","ConditionKind.PARAM","str","","assert args[0] == null || args[0] instanceof String;","AssertionRelation.UNEXPECTED",""
"WordUtils","swapCase(str)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (args[0] == null && methodResultID == null) || (args[0] != null && methodResultID != null);","AssertionRelation.UNEXPECTED",""
"WordUtils","uncapitalize(str)","ConditionKind.PARAM","str","ConditionKind.PARAM","str","","assert args[0] == null || args[0] instanceof String;","AssertionRelation.UNEXPECTED",""
"WordUtils","uncapitalize(str)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (args[0] == null && methodResultID == null) || (args[0] != null && !methodResultID.equals(args[0]) && methodResultID.toLowerCase().equals(args[0].toLowerCase()));","AssertionRelation.UNEXPECTED",""
"WordUtils","uncapitalize(str delimiters)","ConditionKind.PARAM","str","ConditionKind.PARAM","str","","assert (args[0]==null) || args[0] instanceof String;","AssertionRelation.UNEXPECTED",""
"WordUtils","uncapitalize(str delimiters)","ConditionKind.PARAM","delimiters","ConditionKind.PARAM","delimiters","assert args[1]==null;","assert (args[1]==null) || (args[1] instanceof Character);","AssertionRelation.STRONGER",""
"WordUtils","uncapitalize(str delimiters)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"WordUtils","wrap(str wrapLength)","ConditionKind.PARAM","str","ConditionKind.PARAM","str","","assert args[0] == null || args[0].getClass().getSimpleName().equals(""String"");","AssertionRelation.UNEXPECTED",""
"WordUtils","wrap(str wrapLength)","ConditionKind.PARAM","wrapLength","ConditionKind.PARAM","wrapLength","assert args[1]<1;","assert args[1].getClass().getSimpleName().equals(""Integer"") && (int)args[1] >= 1;","AssertionRelation.UNSUPPORTED","Variable 'args[1]' used as both Type.INT and Type.REF"
"WordUtils","wrap(str wrapLength)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (args[0] == null) == (methodResultID == null);","AssertionRelation.UNEXPECTED",""
"WordUtils","wrap(str wrapLength newLineStr wrapLongWords)","ConditionKind.PARAM","str","ConditionKind.PARAM","str","","assert args[0] != null || args[0].isEmpty() : ""str is empty"";","AssertionRelation.UNEXPECTED",""
"WordUtils","wrap(str wrapLength newLineStr wrapLongWords)","ConditionKind.PARAM","wrapLength","ConditionKind.PARAM","wrapLength","assert args[1]<1;","assert args[1] >= 1 : ""wrapLength must be greater than or equal to 1"";","AssertionRelation.UNSUPPORTED","Error during parsing: Extra tokens at end: :"
"WordUtils","wrap(str wrapLength newLineStr wrapLongWords)","ConditionKind.PARAM","newLineStr","ConditionKind.PARAM","newLineStr","assert args[2]==null;","assert args[2] != null || args[2].isEmpty() : ""newLineStr is empty"";","AssertionRelation.UNSUPPORTED","Error during parsing: Extra tokens at end: :"
"WordUtils","wrap(str wrapLength newLineStr wrapLongWords)","ConditionKind.PARAM","wrapLongWords","ConditionKind.PARAM","wrapLongWords","assert args[3]==true;","assert args[3] == true || args[3] == false : ""wrapLongWords must be a boolean"";","AssertionRelation.UNSUPPORTED","Error during parsing: Extra tokens at end: :"
"WordUtils","wrap(str wrapLength newLineStr wrapLongWords)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"WordUtils","wrap(str wrapLength newLineStr wrapLongWords wrapOn)","ConditionKind.PARAM","str","ConditionKind.PARAM","str","","assert args[0] != null : ""str is null"";","AssertionRelation.UNEXPECTED",""
"WordUtils","wrap(str wrapLength newLineStr wrapLongWords wrapOn)","ConditionKind.PARAM","wrapLength","ConditionKind.PARAM","wrapLength","assert args[1]<1;","assert args[1] >= 1 : ""wrapLength must be greater than or equal to 1"";","AssertionRelation.UNSUPPORTED","Error during parsing: Extra tokens at end: :"
"WordUtils","wrap(str wrapLength newLineStr wrapLongWords wrapOn)","ConditionKind.PARAM","newLineStr","ConditionKind.PARAM","newLineStr","assert args[2]==null;","assert args[2] != null || System.getProperty(""line.separator"") != null : ""newLineStr is null and system property line separator is null"";","AssertionRelation.UNSUPPORTED","Error during parsing: Extra tokens at end: :"
"WordUtils","wrap(str wrapLength newLineStr wrapLongWords wrapOn)","ConditionKind.PARAM","wrapLongWords","ConditionKind.PARAM","wrapLongWords","assert args[3]==true;","assert args[3] == true || args[3] == false : ""wrapLongWords must be a boolean value"";","AssertionRelation.UNSUPPORTED","Error during parsing: Extra tokens at end: :"
"WordUtils","wrap(str wrapLength newLineStr wrapLongWords wrapOn)","ConditionKind.PARAM","wrapOn","ConditionKind.PARAM","wrapOn","","assert args[4] != null && !args[4].isEmpty() : ""wrapOn must not be empty"";","AssertionRelation.UNEXPECTED",""
"WordUtils","wrap(str wrapLength newLineStr wrapLongWords wrapOn)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
