"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"ImmutablePair","org.apache.commons.lang3.tuple.ImmutablePair(left right)","ConditionKind.PARAM","left","ConditionKind.PARAM","left","","assert true;","AssertionRelation.UNEXPECTED",""
"ImmutablePair","org.apache.commons.lang3.tuple.ImmutablePair(left right)","ConditionKind.PARAM","right","ConditionKind.PARAM","right","","assert true;","AssertionRelation.UNEXPECTED",""
"ImmutablePair","emptyArray()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.length == 0;","AssertionRelation.UNEXPECTED",""
"ImmutablePair","left(left)","ConditionKind.PARAM","left","ConditionKind.PARAM","left","","assert true;","AssertionRelation.UNEXPECTED",""
"ImmutablePair","left(left)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"ImmutablePair","nullPair()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.getLeft() == null && methodResultID.getRight() == null;","AssertionRelation.UNEXPECTED",""
"ImmutablePair","of(left right)","ConditionKind.PARAM","left","ConditionKind.PARAM","left","","assert true;","AssertionRelation.UNEXPECTED",""
"ImmutablePair","of(left right)","ConditionKind.PARAM","right","ConditionKind.PARAM","right","","assert true;","AssertionRelation.UNEXPECTED",""
"ImmutablePair","of(left right)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"ImmutablePair","of(pair)","ConditionKind.PARAM","pair","ConditionKind.PARAM","pair","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"ImmutablePair","of(pair)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID.getLeft() == args[0].getKey() && methodResultID.getRight() == args[0].getValue();","AssertionRelation.UNEXPECTED",""
"ImmutablePair","ofNonNull(left right)","ConditionKind.PARAM","left","ConditionKind.PARAM","left","assert (args[0]==null) == false;","assert (args[0] == null) == false;","AssertionRelation.IDENTICAL",""
"ImmutablePair","ofNonNull(left right)","ConditionKind.PARAM","right","ConditionKind.PARAM","right","assert (args[1]==null) == false;","assert (args[1] == null) == false;","AssertionRelation.IDENTICAL",""
"ImmutablePair","ofNonNull(left right)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","","assert args[0]==null || args[1]==null;","AssertionRelation.UNEXPECTED",""
"ImmutablePair","ofNonNull(left right)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null && methodResultID.getLeft() == args[0] && methodResultID.getRight() == args[1];","AssertionRelation.UNEXPECTED",""
"ImmutablePair","right(right)","ConditionKind.PARAM","right","ConditionKind.PARAM","right","","assert true;","AssertionRelation.UNEXPECTED",""
"ImmutablePair","right(right)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
"ImmutablePair","setValue(value)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","","assert true;","AssertionRelation.UNEXPECTED",""
"ImmutablePair","setValue(value)","ConditionKind.THROWS","UnsupportedOperationException","ConditionKind.THROWS","UnsupportedOperationException","","assert true;","AssertionRelation.UNEXPECTED",""
"ImmutablePair","setValue(value)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert false;","AssertionRelation.UNEXPECTED",""
