"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"AnnotationUtils","equals(a1 a2)","ConditionKind.PARAM","a1","ConditionKind.PARAM","a1","","assert (args[0] != null) || (args[1] == null);","AssertionRelation.UNEXPECTED",""
"AnnotationUtils","equals(a1 a2)","ConditionKind.PARAM","a2","ConditionKind.PARAM","a2","","assert (args[1] != null) || (args[0] == null);","AssertionRelation.UNEXPECTED",""
"AnnotationUtils","equals(a1 a2)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert args[0].equals(args[1]) ? methodResultID == true : methodResultID == false;","assert methodResultID == (args[0] == null && args[1] == null) || (args[0] != null && args[0].equals(args[1]));","AssertionRelation.STRONGER",""
"AnnotationUtils","hashCode(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","assert (args[0]==null) == false;","assert (args[0] == null) == false;","AssertionRelation.IDENTICAL",""
"AnnotationUtils","hashCode(a)","ConditionKind.THROWS","RuntimeException","ConditionKind.THROWS","RuntimeException","","assert args[0] == null || !(receiverObjectID.isValidAnnotationMemberType(args[0].getClass()));","AssertionRelation.UNEXPECTED",""
"AnnotationUtils","hashCode(a)","ConditionKind.THROWS","IllegalStateException","ConditionKind.THROWS","IllegalStateException","","assert args[0] == null;","AssertionRelation.UNEXPECTED",""
"AnnotationUtils","hashCode(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.hashCode(args[0]);","AssertionRelation.UNEXPECTED",""
"AnnotationUtils","isValidAnnotationMemberType(type)","ConditionKind.PARAM","type","ConditionKind.PARAM","type","assert args[0]==null;","assert (args[0] != null);","AssertionRelation.DUAL",""
"AnnotationUtils","isValidAnnotationMemberType(type)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == (args[0] instanceof String || args[0] instanceof Class || args[0] instanceof Annotation || args[0] instanceof Enum);","AssertionRelation.UNEXPECTED",""
"AnnotationUtils","toString(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","assert (args[0] == null) == false;","AssertionRelation.UNEXPECTED",""
"AnnotationUtils","toString(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null;","AssertionRelation.UNEXPECTED",""
