"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"RegExUtils","dotAll(regex)","ConditionKind.PARAM","regex","ConditionKind.PARAM","regex","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"RegExUtils","dotAll(regex)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (methodResultID.flags() & java.util.regex.Pattern.DOTALL) == java.util.regex.Pattern.DOTALL && methodResultID.pattern().equals(args[0]);","AssertionRelation.UNEXPECTED",""
"RegExUtils","dotAllMatcher(regex text)","ConditionKind.PARAM","regex","ConditionKind.PARAM","regex","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"RegExUtils","dotAllMatcher(regex text)","ConditionKind.PARAM","text","ConditionKind.PARAM","text","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"RegExUtils","dotAllMatcher(regex text)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof java.util.regex.Matcher;","AssertionRelation.UNEXPECTED",""
"RegExUtils","dotAllMatcher(regex text)","ConditionKind.PARAM","regex","ConditionKind.PARAM","regex","","assert (args[0] != null);","AssertionRelation.UNEXPECTED",""
"RegExUtils","dotAllMatcher(regex text)","ConditionKind.PARAM","text","ConditionKind.PARAM","text","","assert (args[1] != null);","AssertionRelation.UNEXPECTED",""
"RegExUtils","dotAllMatcher(regex text)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID instanceof java.util.regex.Matcher;","AssertionRelation.UNEXPECTED",""
"RegExUtils","removeAll(text regex)","ConditionKind.PARAM","text","ConditionKind.PARAM","text","","","AssertionRelation.EMPTY",""
"RegExUtils","removeAll(text regex)","ConditionKind.PARAM","regex","ConditionKind.PARAM","regex","","","AssertionRelation.EMPTY",""
"RegExUtils","removeAll(text regex)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (args[0] == null) ? methodResultID == null : methodResultID.equals(args[0].replaceAll(args[1].pattern(), """"));","AssertionRelation.UNEXPECTED",""
"RegExUtils","removeAll(text regex)","ConditionKind.PARAM","text","ConditionKind.PARAM","text","","","AssertionRelation.EMPTY",""
"RegExUtils","removeAll(text regex)","ConditionKind.PARAM","regex","ConditionKind.PARAM","regex","","","AssertionRelation.EMPTY",""
"RegExUtils","removeAll(text regex)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (args[0] == null && methodResultID == null) || (args[0] != null && methodResultID != null);","AssertionRelation.UNEXPECTED",""
"RegExUtils","removeAll(text regex)","ConditionKind.PARAM","text","ConditionKind.PARAM","text","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"RegExUtils","removeAll(text regex)","ConditionKind.PARAM","regex","ConditionKind.PARAM","regex","","assert args[1] != null;","AssertionRelation.UNEXPECTED",""
"RegExUtils","removeAll(text regex)","ConditionKind.THROWS","PatternSyntaxException","ConditionKind.THROWS","java.util.regex.PatternSyntaxException","","assert !java.util.regex.Pattern.compile(args[1]).matcher("" "").find();","AssertionRelation.UNEXPECTED",""
"RegExUtils","removeAll(text regex)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (args[0] == null) ? methodResultID == null : methodResultID.equals(args[0].replaceAll(args[1], """"));","AssertionRelation.UNEXPECTED",""
"RegExUtils","removeFirst(text regex)","ConditionKind.PARAM","text","ConditionKind.PARAM","text","","assert args[0] == null || args[0] instanceof CharSequence;","AssertionRelation.UNEXPECTED",""
"RegExUtils","removeFirst(text regex)","ConditionKind.PARAM","regex","ConditionKind.PARAM","regex","","assert args[1] == null || args[1] instanceof java.util.regex.Pattern;","AssertionRelation.UNEXPECTED",""
